segment_name,Min_Biaya,Max_Biaya,Rata_Rata,Jumlah_Kampus
Loc_7-Type_1,201750001.0,276850001.0,253543104.44827586,58
Loc_3-Type_1,168250000.0,242400055.0,173363796.89655173,29
Loc_4-Type_2,5760000.0,262250000.0,68182410.99601594,251
Loc_5-Type_0,1200000.0,234470600.0,42597795.95209581,501
Loc_1-Type_2,26550000.0,48115001.0,41138088.9117647,34
Loc_9-Type_1,29350000.0,34250000.0,33637500.0,8
Loc_0-Type_2,2200000.0,401975000.0,33240727.434169278,1276
Loc_8-Type_0,1500000.0,243400000.0,31988054.458333332,432
Loc_7-Type_2,3200000.0,91025000.0,28534112.068965517,348
Loc_4-Type_1,1750000.0,55500000.0,23707268.77929155,367
Loc_8-Type_1,3000000.0,75500000.0,23180183.241635688,269
Loc_6-Type_1,13625000.0,25500000.0,21421285.714285713,21
Loc_2-Type_0,18700000.0,29900000.0,19820000.0,20
Loc_5-Type_1,3750000.0,71250000.0,17995514.850427352,468
Loc_3-Type_2,3250000.0,57900000.0,15114159.292035399,226
Loc_4-Type_0,3498000.0,85850000.0,14904659.38095238,210
Loc_0-Type_1,1900000.0,115100000.0,14688780.650731707,1025
Loc_1-Type_1,5800000.0,27000000.0,13858839.285714285,56
Loc_8-Type_2,900000.0,50250000.0,11636156.38095238,441
Loc_7-Type_0,2600000.0,85250000.0,10635102.23325062,403
Loc_0-Type_0,1100000.0,52160000.0,9200877.974761255,1466
Loc_5-Type_2,900000.0,31050000.0,8983799.597855227,373
Loc_9-Type_2,800000.0,19250000.0,8715348.101265823,79
Loc_6-Type_0,6560000.0,9590000.0,7837500.0,36
Loc_3-Type_0,2630000.0,40805000.0,7652566.071428572,280
Loc_1-Type_0,4350000.0,11000000.0,7533450.0,90
Loc_6-Type_2,3500000.0,14400000.0,7033054.216216216,37
Loc_9-Type_0,5600000.0,6200000.0,5766666.666666667,18
Loc_2-Type_1,1650000.0,8000000.0,4797656.25,32
Loc_2-Type_2,3000000.0,4000000.0,3956521.7391304346,23
