average_semester_fee,student_amount,lecturer_amount,institution_name,faculty,edu_level,accreditation,body_type,province,campus_accreditation,klaster
3700000.0,7982.0,199.0,IKIP PGRI PONTIANAK,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,S1,B,SWASTA,KALIMANTAN,B,2
3700000.0,7982.0,199.0,IKIP PGRI PONTIANAK,FAKULTAS MIPA DAN TEKNOLOGI,S1,B,SWASTA,KALIMANTAN,B,2
8000000.0,3106.0,114.0,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,BISNIS,S1,UNGGUL,SWASTA,JAWA BARAT,B,2
8000000.0,3106.0,114.0,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,BISNIS,S1,BAIK,SWASTA,JAWA BARAT,B,2
8000000.0,3106.0,114.0,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,BISNIS,S1,BAIK SEKALI,SWASTA,JAWA BARAT,B,3
8000000.0,3106.0,114.0,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,INFORMATIKA & PARIWISATA,S1,BAIK,SWASTA,JAWA BARAT,B,2
8000000.0,3106.0,114.0,INSTITUT BISNIS DAN INFORMATIKA KESATUAN,INFORMATIKA & PARIWISATA,S1,BAIK,SWASTA,JAWA BARAT,B,2
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,A,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,A,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
14500000.0,2784.0,102.0,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
7236250.0,2084.0,87.0,INSTITUT BISNIS NUSANTARA,FAKULTAS EKONOMI,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,2
