institution_name,province,campus_accreditation,acc_score,cost_per_year,cluster_lokasi_lvl1,cluster_institusi_lvl2
LONDON SCHOOL OF PUBLIC RELATIONS,DKI JAKARTA,A,4.0,52500000.0,,
PRESIDENT UNIVERSITY,JAWA BARAT,A,4.0,36000000.0,,
BINUS UNIVERSITY,DKI JAKARTA,A,4.0,35300000.0,,
UNIVERSITAS CIPUTRA,JAWA TIMUR,A,4.0,27200000.0,1.0,3.0
TRISAKTI SCHOOL OF MANAGEMENT,DKI JAKARTA,A,4.0,26500000.0,,
TELKOM UNIVERSITY,JAWA BARAT,A,4.0,22000000.0,,
UNIVERSITAS PELITA HARAPAN SURABAYA,JAWA TIMUR,C,0.0,19750000.0,1.0,1.0
INSTITUT TEKNOLOGI NASIONAL,JAWA BARAT,B,2.0,16725000.0,,
UNIVERSITAS SAHID JAKARTA,DKI JAKARTA,B,2.0,14500000.0,,
UNIVERSITAS GAJAYANA MALANG,JAWA TIMUR,B,2.0,8500000.0,1.0,3.0
UNIVERSITAS MUSLIM NUSANTARA AL,SUMATERA UTARA,B,2.0,8000000.0,,
UNIVERSITAS MUSLIM INDONESIA MAKASSAR,SULAWESI SELATAN,A,4.0,7950000.0,,
UNIVERSITAS PEMBANGUNAN JAYA TANGERANG,BANTEN,B,2.0,7500000.0,,
UNIVERSITAS ISLAM AS,DKI JAKARTA,C,0.0,5850000.0,,
UNIVERSITAS DR. SOETOMO,JAWA TIMUR,B,2.0,5100000.0,1.0,3.0
UNIVERSITAS BSI BANDUNG,JAWA BARAT,B,2.0,4150000.0,,
UNIVERSITAS AL MUSLIM,ACEH,B,2.0,2200000.0,,
INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,JAWA BARAT,BAIK SEKALI,3.0,8600000.0,,
UNIVERSITAS HKBP NOMMENSEN,SUMATERA UTARA,B,2.0,7000000.0,,
UNIVERSITAS NASIONAL PASIM,JAWA BARAT,BAIK,1.0,3600000.0,,
UNIVERSITAS CIPTA MANDIRI,ACEH,BAIK,1.0,3800000.0,,
UNIVERSITAS DIAN NUSANTARA,DKI JAKARTA,BAIK SEKALI,3.0,9400000.0,,
STIMI SAMARINDA,KALIMANTAN TIMUR,BAIK,1.0,4500000.0,,
UNIVERSITAS SATYAGAMA,DKI JAKARTA,BAIK,1.0,21600000.0,,
STMIK ADHI GUNA,SULAWESI TENGAH,BAIK,1.0,7512000.0,,
UNIVERSITAS PASUNDAN,JAWA BARAT,A,4.0,48250000.0,,
UNIVERSITAS BATURAJA,SUMATERA SELATAN,BAIK SEKALI,3.0,4800000.0,,
UNIVERSITAS BINA INSAN,SUMATERA SELATAN,BAIK,1.0,4620000.0,,
UNIVERSITAS RESPATI INDONESIA,DKI JAKARTA,B,2.0,14400000.0,,
UNIVERSITAS MUHAMMADIYAH PURWOKERTO,JAWA TENGAH,B,2.0,91025000.0,,
UNIVERSITAS PGRI PALEMBANG,SUMATERA SELATAN,B,2.0,401975000.0,,
UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,DKI JAKARTA,A,4.0,289650000.0,,
UNIVERSITAS PGRI PALANGKA RAYA,KALIMANTAN TENGAH,BAIK,1.0,287400000.0,,
UNIVERSITAS KRISTEN SATYA WACANA,JAWA TENGAH,A,4.0,276850001.0,,
UNIVERSITAS YARSI,DKI JAKARTA,B,2.0,262250000.0,,
SEKOLAH TINGGI ILMU HUKUM GUNUNG JATI,BANTEN,BAIK,1.0,251500000.0,,
INSTITUT TEKNOLOGI HARAPAN BANGSA,JAWA BARAT,BAIK SEKALI,3.0,243400000.0,,
SEKOLAH TINGGI ILMU EKONOMI PELITA BUANA,SULAWESI SELATAN,BAIK,1.0,242400055.0,,
UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,JAWA TIMUR,A,4.0,234470600.0,1.0,2.0
UNIVERSITAS MUHAMMADIYAH PALEMBANG,SUMATERA SELATAN,UNGGUL,5.0,38610000.0,,
UNIVERSITAS ISLAM SULTAN AGUNG,JAWA TENGAH,B,2.0,201750001.0,,
UNIVERSITAS TRISAKTI,DKI JAKARTA,A,4.0,168450000.0,,
UNIVERSITAS BOSOWA,SULAWESI SELATAN,BAIK SEKALI,3.0,168250000.0,,
UNIVERSITAS HANG TUAH,JAWA TIMUR,B,2.0,146900000.0,1.0,2.0
UNIVERSITAS MUHAMMADIYAH SURABAYA,JAWA TIMUR,UNGGUL,5.0,142200000.0,1.0,2.0
UNIVERSITAS PANCASILA,DKI JAKARTA,A,4.0,136680000.0,,
UNIVERSITAS HINDU INDONESIA,BALI,B,2.0,142175000.0,,
UNIVERSITAS PERTAMINA,DKI JAKARTA,BAIK,1.0,126000000.0,,
UNIVERSITAS ISLAM AL-AZHAR,NUSA TENGGARA BARAT,BAIK SEKALI,3.0,115100000.0,,
UNIVERSITAS 17 AGUSTUS 1945 JAKARTA,DKI JAKARTA,BAIK SEKALI,3.0,114980000.0,,
UNIVERSITAS BINA NUSANTARA,DKI JAKARTA,UNGGUL,5.0,95259501.0,,
UNIVERSITAS ISLAM BANDUNG,JAWA BARAT,UNGGUL,5.0,93250000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BUDI KEMULIAAN,DKI JAKARTA,BAIK,1.0,85850000.0,,
UNIVERSITAS AL-IRSYAD CILACAP,JAWA TENGAH,BAIK,1.0,85250000.0,,
INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS,JAWA TENGAH,BAIK SEKALI,3.0,89700000.0,,
UNIVERSITAS PRESIDEN,JAWA BARAT,UNGGUL,5.0,79700500.0,,
UNIVERSITAS KALBIS,DKI JAKARTA,BAIK SEKALI,3.0,78860000.0,,
UNIVERSITAS MUHAMMADIYAH PROF DR HAMKA,DKI JAKARTA,UNGGUL,5.0,75800000.0,,
UNIVERSITAS 17 AGUSTUS 1945 CIREBON,JAWA BARAT,BAIK SEKALI,3.0,75500000.0,,
UNIVERSITAS MUHAMMADIYAH SURAKARTA,JAWA TENGAH,A,4.0,72100000.0,,
UNIVERSITAS KADIRI,JAWA TIMUR,BAIK SEKALI,3.0,71250000.0,1.0,3.0
STIKES PASAPUA AMBON,MALUKU,BAIK,1.0,70700004.0,,
UNIVERSITAS MUHAMMADIYAH TANGERANG,BANTEN,B,2.0,68250000.0,,
UNIVERSITAS ISLAM NUSANTARA,JAWA BARAT,BAIK SEKALI,3.0,67040000.0,,
UNIVERSITAS KATOLIK PARAHYANGAN,JAWA BARAT,A,4.0,66400000.0,,
UNIVERSITAS KEBANGSAAN REPUBLIK INDONESIA,JAWA BARAT,BAIK SEKALI,3.0,66200003.0,,
INSTITUT IPMI,DKI JAKARTA,BAIK SEKALI,3.0,65000000.0,,
INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM,SUMATERA UTARA,UNGGUL,5.0,62000000.0,,
UNIVERSITAS PELITA HARAPAN,BANTEN,B,2.0,61000000.0,,
UNIVERSITAS LINTAS INTERNASIONAL INDONESIA,BANTEN,BAIK SEKALI,3.0,61000000.0,,
UNIVERSITAS TARUMANAGARA,DKI JAKARTA,A,4.0,60100000.0,,
UNIVERSITAS CIPUTRA SURABAYA,JAWA TIMUR,UNGGUL,5.0,59000000.0,1.0,3.0
UNIVERSITAS SWISS GERMAN,BANTEN,BAIK SEKALI,3.0,59000000.0,,
INSTITUT BISNIS DAN KEUANGAN NITRO,SULAWESI SELATAN,B,2.0,57900000.0,,
UNIVERSITAS KOPERASI INDONESIA,JAWA BARAT,BAIK SEKALI,3.0,57050000.0,,
UNIVERSITAS KRISTEN KRIDA WACANA,DKI JAKARTA,C,0.0,56000000.0,,
INSTITUT SAINS DAN TEKNOLOGI NASIONAL,DKI JAKARTA,B,2.0,55500000.0,,
UNIVERSITAS INDO GLOBAL MANDIRI,SUMATERA SELATAN,TERAKREDITASI,0.0,55000000.0,,
UNIVERSITAS LOGISTIK DAN BISNIS INTERNASIONAL,JAWA BARAT,B,2.0,53900000.0,,
UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,JAWA TIMUR,A,4.0,53150000.0,1.0,3.0
UNIVERSITAS KRISTEN MARANATHA,JAWA BARAT,B,2.0,52352500.0,,
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,DKI JAKARTA,BAIK SEKALI,3.0,51500000.0,,
UNIVERSITAS PRASETIYA MULYA,DKI JAKARTA,BAIK SEKALI,3.0,51000000.0,,
SEKOLAH TINGGI ILMU KESEHATAN BORNEO NUSANTARA,KALIMANTAN SELATAN,BAIK,1.0,50500000.0,,
STMIK BANDUNG,JAWA BARAT,BAIK,1.0,50250000.0,,
SAE INDONESIA,DKI JAKARTA,B,2.0,50000000.0,,
UNIVERSITAS METHODIST INDONESIA,SUMATERA UTARA,B,2.0,50000000.0,,
INSTITUT TRANSPORTASI  DAN LOGISTIK TRISAKTI,DKI JAKARTA,BAIK SEKALI,3.0,48675030.0,,
STIKES HUTAMA ABDI HUSADA TULUNGAGUNG,JAWA TIMUR,BAIK SEKALI,3.0,48500000.0,1.0,3.0
UNIVERSITAS PGRI DELTA,JAWA TIMUR,BAIK SEKALI,3.0,48480000.0,1.0,3.0
SEKOLAH TINGGI TEKNOLOGI RONGGOLAWE,JAWA TENGAH,BAIK,1.0,48360000.0,,
INSTITUT TEKNOLOGI NASIONAL BANDUNG,JAWA BARAT,UNGGUL,5.0,48335000.0,,
UNIVERSITAS MUHAMMADIYAH METRO,LAMPUNG,BAIK SEKALI,3.0,48115001.0,,
SEKOLAH TINGGI FARMASI INDONESIA,JAWA BARAT,B,2.0,84000000.0,,
UNIVERSITAS NAHDLATUL ULAMA SURABAYA,JAWA TIMUR,UNGGUL,5.0,47476000.0,1.0,3.0
UNIVERSITAS MUHAMMADIYAH JEMBER,JAWA TIMUR,B,2.0,46860200.0,1.0,3.0
UNIVERSITAS HAMZANWADI,NUSA TENGGARA BARAT,B,2.0,46850000.0,,
STIKES SENIOR MEDAN,SUMATERA UTARA,BAIK,1.0,46200000.0,,
UNIVERSITAS AISYIYAH PALEMBANG,SUMATERA SELATAN,BAIK,1.0,45650000.0,,
SEKOLAH TINGGI ILMU EKONOMI APRIN,SUMATERA SELATAN,B,2.0,45500000.0,,
SEKOLAH TINGGI ILMU EKONOMI KUSUMA NEGARA,DKI JAKARTA,BAIK,1.0,45000000.0,,
INSTITUT KESEHATAN HELVETIA,SUMATERA UTARA,B,2.0,42400000.0,,
SEKOLAH TINGGI ILMU EKONOMI STAN IM,JAWA BARAT,BAIK,1.0,42400000.0,,
UNIVERSITAS SARI MULIA,KALIMANTAN SELATAN,BAIK,1.0,41850000.0,,
