average_semester_fee,student_amount,lecturer_amount,faculty,edu_level,accreditation,body_type,province,campus_accreditation,klaster
3700000.0,7982.0,199.0,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,S1,B,SWASTA,KALIMANTAN,B,3
3700000.0,7982.0,199.0,FAKULTAS MIPA DAN TEKNOLOGI,S1,B,SWASTA,KALIMANTAN,B,3
8000000.0,3106.0,114.0,BISNIS,S1,UNGGUL,SWASTA,JAWA BARAT,B,3
8000000.0,3106.0,114.0,BISNIS,S1,BAIK,SWASTA,JAWA BARAT,B,3
8000000.0,3106.0,114.0,BISNIS,S1,BAIK SEKALI,SWASTA,JAWA BARAT,B,2
8000000.0,3106.0,114.0,INFORMATIKA & PARIWISATA,S1,BAIK,SWASTA,JAWA BARAT,B,3
8000000.0,3106.0,114.0,INFORMATIKA & PARIWISATA,S1,BAIK,SWASTA,JAWA BARAT,B,3
14500000.0,2784.0,102.0,SARJANA,S1,UNGGUL,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
14500000.0,2784.0,102.0,SARJANA,S1,A,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
14500000.0,2784.0,102.0,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
14500000.0,2784.0,102.0,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
14500000.0,2784.0,102.0,SARJANA,S1,A,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,2
14500000.0,2784.0,102.0,SARJANA,S1,B,SWASTA,D.K.I. JAKARTA,BAIK SEKALI,3
7236250.0,2084.0,87.0,FAKULTAS EKONOMI,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
7236250.0,2084.0,87.0,FAKULTAS KOMUNIKASI,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
7236250.0,2084.0,87.0,FAKULTAS EKONOMI,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
7236250.0,2084.0,87.0,FAKULTAS KOMPUTER,S1,C,SWASTA,D.K.I. JAKARTA,BAIK,3
12000000.0,4453.0,223.0,TEKNOLOGI DAN MANAJEMEN KESEHATAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,FARMASI,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KESEHATAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KESEHATAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KEDOKTERAN GIGI,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KESEHATAN,S1,BAIK SEKALI,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,TEKNOLOGI DAN MANAJEMEN KESEHATAN,S1,UNGGUL,SWASTA,JAWA TIMUR,UNGGUL,2
12000000.0,4453.0,223.0,KESEHATAN,S1,BAIK,SWASTA,JAWA TIMUR,UNGGUL,2
8000000.0,3798.0,3798.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,A,SWASTA,D.K.I. JAKARTA,BAIK,3
8000000.0,3798.0,3798.0,FAKULTAS ILMU KOMUNIKASI,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
8000000.0,3798.0,3798.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
8000000.0,3798.0,3798.0,FAKULTAS ILMU SOSIAL DAN ILMU POLITIK,S1,B,SWASTA,D.K.I. JAKARTA,BAIK,3
5126000.0,5821.0,5821.0,FAKULTAS BISNIS DAN EKONOMI,S1,B,SWASTA,LAMPUNG,BAIK SEKALI,3
5126000.0,5821.0,5821.0,FAKULTAS ILMU KOMPUTER,S1,B,SWASTA,LAMPUNG,BAIK SEKALI,3
5126000.0,5821.0,5821.0,FAKULTAS ILMU KOMPUTER,S1,B,SWASTA,LAMPUNG,BAIK SEKALI,3
5126000.0,5821.0,5821.0,FAKULTAS BISNIS DAN EKONOMI,S1,B,SWASTA,LAMPUNG,BAIK SEKALI,3
5126000.0,5821.0,5821.0,FAKULTAS ILMU KOMPUTER,S1,C,SWASTA,LAMPUNG,BAIK SEKALI,2
7500000.0,230.0,42.0,KESEHATAN LINGKUNGAN,S1,B,SWASTA,DKI JAKARTA,BAIK,3
7500000.0,230.0,42.0,PSIKOLOGI,S1,BAIK,SWASTA,DKI JAKARTA,BAIK,2
3500000.0,1548.0,43.0,SARJANA,S1,BAIK,SWASTA,JAWA BARAT,B,3
3500000.0,1548.0,43.0,SARJANA,S1,B,SWASTA,JAWA BARAT,B,3
3500000.0,1548.0,43.0,SARJANA,S1,B,SWASTA,JAWA BARAT,B,3
5178125.0,3374.0,111.0,PERTANIAN,S1,A,SWASTA,D.I. YOGYAKARTA,B,4
5178125.0,3374.0,111.0,PERTANIAN,S1,A,SWASTA,D.I. YOGYAKARTA,B,4
5178125.0,3374.0,111.0,KEHUTANAN,S1,B,SWASTA,D.I. YOGYAKARTA,B,3
5178125.0,3374.0,111.0,TEKNOLOGI PERTANIAN,S1,B,SWASTA,D.I. YOGYAKARTA,B,3
