institution_name,province,average_yearly_fee,campus_accreditation,segment_name
IKIP PGRI BOJONEGORO,JAWA TIMUR,14180000.0,BAIK,Loc_5-Type_2
IKIP PGRI BOJONEGORO,JAWA TIMUR,14180000.0,BAIK,Loc_5-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
IKIP PGRI PONTIANAK,KALIMANTAN,7400000.0,B,Loc_0-Type_2
INSTITUT ADMINISTRASI DAN KESEHATAN SETIH SETIO MUARA BUNGO,JAMBI,12285000.0,B,Loc_0-Type_2
INSTITUT ADMINISTRASI DAN KESEHATAN SETIH SETIO MUARA BUNGO,JAMBI,12285000.0,B,Loc_0-Type_2
INSTITUT ADMINISTRASI DAN KESEHATAN SETIH SETIO MUARA BUNGO,JAMBI,12285000.0,B,Loc_0-Type_2
INSTITUT BAKTI NUSANTARA,LAMPUNG,6520000.0,BAIK,Loc_1-Type_0
INSTITUT BAKTI NUSANTARA,LAMPUNG,6520000.0,BAIK,Loc_1-Type_0
INSTITUT BAKTI NUSANTARA,LAMPUNG,6520000.0,BAIK,Loc_1-Type_0
INSTITUT BATARI TOJA BONE,SULAWESI SELATAN,2630000.0,TERAKREDITASI,Loc_3-Type_0
INSTITUT BATARI TOJA BONE,SULAWESI SELATAN,2630000.0,TERAKREDITASI,Loc_3-Type_0
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,D.K.I. JAKARTA,51500000.0,BAIK SEKALI,Loc_4-Type_2
INSTITUT BISNIS DAN EKONOMI INDONESIA,KALIMANTAN BARAT,6143000.0,BAIK,Loc_6-Type_2
INSTITUT BISNIS DAN EKONOMI INDONESIA,KALIMANTAN BARAT,6143000.0,BAIK,Loc_6-Type_2
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KESATUAN,JAWA BARAT,16000000.0,B,Loc_8-Type_0
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,D.K.I. JAKARTA,29000000.0,BAIK SEKALI,Loc_4-Type_1
INSTITUT BISNIS DAN KEUANGAN NITRO,SULAWESI SELATAN,57900000.0,B,Loc_3-Type_2
INSTITUT BISNIS DAN KEUANGAN NITRO,SULAWESI SELATAN,57900000.0,B,Loc_3-Type_2
INSTITUT BISNIS DAN KEUANGAN NITRO,SULAWESI SELATAN,57900000.0,B,Loc_3-Type_2
