institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,cluster_label,link
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AGRIBISNIS,A,27000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,A,27000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,27000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,27000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,AKUNTANSI,A,25000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,EKONOMI,A,25000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,25000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,MANAJEMEN,A,25000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,BAIK,19000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,BAIK,19000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,AKUNTANSI,B,18925000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sanata-dharma
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,EKONOMI,A,18925000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sanata-dharma
UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,MANAJEMEN,B,18925000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sanata-dharma
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,A,18000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,18000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,18000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN BISNIS INTERNASIONAL,A,18000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,ADMINISTRASI RUMAH SAKIT,BAIK,17995000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,B,17800000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,AKUNTANSI,B,16000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,B,16000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,MANAJEMEN,B,16000000.0,DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
