institution_code,institution_name,province,prodi_normalized,campus_accreditation,average_yearly_fee,contact,cluster_label,link
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AGRIBISNIS,A,27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,A,27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
186,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,27000000.0,"{""website"": ""www.umy.ac.id"", ""email"": ""bhp@umy.ac.id"", ""phone"": ""0274-387656""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-muhammadiyah-yogyakarta
210,UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,AKUNTANSI,A,25000000.0,"{""website"": ""www.uii.ac.id | pmb.uii.ac.id"", ""email"": ""info@uii.ac.id"", ""phone"": ""0274-898444""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
210,UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,EKONOMI,A,25000000.0,"{""website"": ""www.uii.ac.id | pmb.uii.ac.id"", ""email"": ""info@uii.ac.id"", ""phone"": ""0274-898444""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
210,UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,25000000.0,"{""website"": ""www.uii.ac.id | pmb.uii.ac.id"", ""email"": ""info@uii.ac.id"", ""phone"": ""0274-898444""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
210,UNIVERSITAS ISLAM INDONESIA,DI YOGYAKARTA,MANAJEMEN,A,25000000.0,"{""website"": ""www.uii.ac.id | pmb.uii.ac.id"", ""email"": ""info@uii.ac.id"", ""phone"": ""0274-898444""}",DI YOGYAKARTA | Ekonomi & Bisnis | Mahal (20-50jt) | Unggul / A,https://campus.quipper.com/directory/universitas-islam-indonesia
529,UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),19000000.0,"{""website"": ""www.unjaya.ac.id"", ""email"": ""biroaa.unjaya@gmail.com"", ""phone"": ""0274552489 / 0274557228""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
529,UNIVERSITAS JENDERAL ACHMAD YANI YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),19000000.0,"{""website"": ""www.unjaya.ac.id"", ""email"": ""biroaa.unjaya@gmail.com"", ""phone"": ""0274552489 / 0274557228""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
312,UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),18925000.0,"{""website"": ""www.usd.ac.id"", ""email"": ""rektorat@usd.ac.id"", ""phone"": ""0274-513301 / 0274-562383""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sanata-dharma
312,UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,EKONOMI,A,18925000.0,"{""website"": ""www.usd.ac.id"", ""email"": ""rektorat@usd.ac.id"", ""phone"": ""0274-513301 / 0274-562383""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-sanata-dharma
312,UNIVERSITAS SANATA DHARMA,DI YOGYAKARTA,MANAJEMEN,B (BAIK),18925000.0,"{""website"": ""www.usd.ac.id"", ""email"": ""rektorat@usd.ac.id"", ""phone"": ""0274-513301 / 0274-562383""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-sanata-dharma
331,UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,A,18000000.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
331,UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,A,18000000.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
331,UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN,A,18000000.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
331,UNIVERSITAS ATMA JAYA YOGYAKARTA,DI YOGYAKARTA,MANAJEMEN BISNIS INTERNASIONAL,A,18000000.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Unggul / A,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta
335,SEKOLAH TINGGI ILMU KESEHATAN BETHESDA YAKKUM,DI YOGYAKARTA,ADMINISTRASI RUMAH SAKIT,B (BAIK),17995000.0,"{""website"": ""www.stikesbethesda.ac.id"", ""email"": ""info@stikesbethesda.ac.id"", ""phone"": ""+62-274-517065 / +62-274-524565""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,-
339,UNIVERSITAS RESPATI YOGYAKARTA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),17800000.0,"{""website"": ""www.respati.ac.id"", ""email"": ""unriyo@respati.ac.id"", ""phone"": ""0274 488781 / 0274 489780""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://rencanamu.id/cari-kampus/universitas-respati-yogyakarta
378,UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,AKUNTANSI,B (BAIK),16000000.0,"{""website"": ""www.uad.ac.id"", ""email"": ""info@uad.ac.id"", ""phone"": ""0274 - 563515, 511830, 379418, 371120""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
378,UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,EKONOMI PEMBANGUNAN,B (BAIK),16000000.0,"{""website"": ""www.uad.ac.id"", ""email"": ""info@uad.ac.id"", ""phone"": ""0274 - 563515, 511830, 379418, 371120""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
378,UNIVERSITAS AHMAD DAHLAN,DI YOGYAKARTA,MANAJEMEN,B (BAIK),16000000.0,"{""website"": ""www.uad.ac.id"", ""email"": ""info@uad.ac.id"", ""phone"": ""0274 - 563515, 511830, 379418, 371120""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-ahmad-dahlan
376,UNIVERSITAS KRISTEN DUTA WACANA,DI YOGYAKARTA,AKUNTANSI,B (BAIK),16000000.0,"{""website"": ""www.ukdw.ac.id"", ""email"": ""humas@staff.ukdw.ac.id"", ""phone"": ""0274-563929""}",DI YOGYAKARTA | Ekonomi & Bisnis | Menengah (10-20jt) | Baik Sekali / B,https://campus.quipper.com/directory/universitas-kristen-duta-wacana
