institution_code,institution_name,body_type,link,student_amount,lecturer_amount,contact,description,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,address,province,campus_accreditation,quipper_code,pddikti_code,rencanamu_code,banpt_code,TUGAS,CHECKED,NOTES,
17,INSTITUT TEKNOLOGI DAN KESEHATAN MAHARDIKA,SWASTA,-,-1,-1,"{""website"": ""https://mahardika.ac.id/"", ""email"": ""akademik@mahardika.ac.id"", ""phone"": ""+231 488 123""}",-,4300000,3600000,5000000,8600000,7200000,10000000,KOTA CIREBON,JAWA BARAT,BAIK SEKALI,-,pddikti-1245,-,banpt-2083,mary,TRUE,,FALSE
18,UNIVERSITAS HKBP NOMMENSEN,SWASTA,https://campus.quipper.com/directory/universitas-hkbp-nommensen,14690,363,"{""website"": ""https://uhn.ac.id/"", ""email"": ""uhn@uhn.ac.id"", ""phone"": ""0614522922 / 0614571426""}",Universitas HKBP Nommensen  merupakan salah satu universitas swasta terkemuka di Sumatera Utara yang telah berdiri selama 63 tahun. Kata Nommensen diambil dari nama salah satu misionaris yang memberitakan Kristus ke Tanah Batak yaitu Dr. I. L. Nommensen. Kampus yang mengemban visi untuk menjadi universitas terkemuka di Asia Tenggara ini tercatat telah melahirkan lebih dari 300 alumni lho Quipperian.,3500000,1000000,6000000,7000000,2000000,12000000,"Jalan Dr Sutomo No 4-A, KOTA MEDAN",SUMATERA UTARA,B,quipper-712,pddikti-2455,rencanamu-139,banpt-1044,,TRUE,,FALSE
19,UNIVERSITAS NASIONAL PASIM,SWASTA,-,-1,-1,"{""website"": ""www.pasim.ac.id"", ""email"": ""informasi@pasim.ac.id"", ""phone"": ""022-6072803 / 022-6072803""}",-,1840000,1400000,2200000,3680000,2800000,4400000,"Jalan Terusan Pasteur No 167, KOTA BANDUNG",JAWA BARAT,BAIK,-,pddikti-552,-,banpt-951,,TRUE,"nemunya bukan di web official, di web official gk ada",FALSE
20,UNIVERSITAS CIPTA MANDIRI,SWASTA,-,-1,-1,"{""website"": ""http://uncm.ac.id"", ""email"": ""info@uncm.ac.id"", ""phone"": ""082289901960""}",-,1900000,1900000,1900000,3800000,3800000,3800000,"Jl. Lintas Barat Sumatera  Peunaga Cut Ujong  Kecamatan Meureubo, KABUPATEN ACEH BARAT",ACEH,BAIK,-,pddikti-776,-,banpt-922,,TRUE,"datanya gkjelas, gabung sm almamater jd hitung sndiri",FALSE
21,UNIVERSITAS DIAN NUSANTARA,SWASTA,-,-1,-1,"{""website"": ""http://www.undira.ac.id"", ""email"": ""rektorat@undira.ac.id"", ""phone"": ""021-21194454""}",-,4200000,4200000,4200000,9400000,9400000,9400000,"Jl. Tj. Duren Bar. 2 No.1  RT.1/RW.5  Tj. Duren Utara, KOTA JAKARTA BARAT",D.K.I. JAKARTA,BAIK SEKALI,-,pddikti-680,-,banpt-900,,TRUE,,FALSE
22,STIKOM TUNAS BANGSA,SWASTA,-,-1,-1,"{""website"": ""https://stikomtb.ac.id/"", ""email"": ""admin@amiktunasbangsa.ac.id"", ""phone"": ""0622 - 22431 / 0622 - 7436800""}",-,17250003287500,3125000,34500003450000,34500006575000,6250000,69000006900000,KOTA PEMATANG SIANTAR,SUMATERA UTARA,BAIK,-,pddikti-1922,-,banpt-3766,,FALSE,gk nemu,FALSE
23,STIMI SAMARINDA,SWASTA,-,-1,-1,"{""website"": ""https://www.stimisamarinda.ac.id"", ""email"": ""admin@stimisamarinda.ac.id"", ""phone"": ""0541-765182 / 0541-739933""}",-,2250000,2250000,2250000,4500000,4500000,4500000,"Jalan M. Yamin RT VIII No.78   Samarinda, KOTA SAMARINDA",KALIMANTAN TIMUR,BAIK,-,pddikti-1350,-,banpt-3885,,TRUE,,FALSE
24,UNIVERSITAS KRISTEN INDONESIA MALUKU,SWASTA,https://rencanamu.id/cari-kampus/universitas-kristen-indonesia-maluku,3513,3513,"{""website"": ""ukim.ac.id"", ""email"": ""ukim_maluku@yahoo.com"", ""phone"": ""0911-348521 / 0911-346206""}",-,"8,984,275","3,735,000","14,835,000",17968550,7470000,29670000,"Jalan OT Pattimaipauw. TANAH LAPANG KECIL - 97115 AMBON, KOTA AMBON",MALUKU,B,-,pddikti-2633,rencanamu-178,banpt-3563,,TRUE,,FALSE
25,UNIVERSITAS SATYAGAMA,SWASTA,https://campus.quipper.com/directory/universitas-satyagama,4593,143,"{""website"": ""www.satyagama.ac.id"", ""email"": ""info@satyagama.ac.id"", ""phone"": ""5452377-78 / 54391325""}","Tahukah Quipperian bahwa seluruh program studi yang ada di Universitas Satyagama telah terakreditasi oleh Badan Akreditasi Nasional Perguruan Tinggi ? Oleh karena itu, lulusan Universitas Satyagama dapat dipercaya dan diterima, serta dapat berkarya dengan baik di Instansi Pemerintah, swasta, maupun sebagai wiraswasta yang mandiri.",2900000,1600000,20000000,5800000,3200000,40000000,"Jalan Kamal Raya No 2-A Cengkareng, KOTA JAKARTA BARAT",D.K.I. JAKARTA,BAIK,quipper-579,pddikti-132,rencanamu-262,banpt-1230,,TRUE,,FALSE
26,STMIK ADHI GUNA,SWASTA,-,-1,-1,"{""website"": ""stmikadhiguna.ac.id"", ""email"": ""info@stmikadhiguna.ac.id"", ""phone"": ""0451-455530 / 0451-452920""}",-,3756000,3512000,4000000,7512000,7024000,8000000,"Jl. Undata No. 03 PALU, KOTA PALU",SULAWESI TENGAH,BAIK,-,pddikti-431,-,banpt-437,,TRUE,,FALSE
27,UNIVERSITAS PASUNDAN,SWASTA,https://rencanamu.id/cari-kampus/universitas-pasundan,14385,14385,"{""website"": ""www.unpas.ac.id"", ""email"": ""rektorat@unpas.ac.id"", ""phone"": ""+62 22 86032233 / +62 22 86032244""}","Pengkuh Agamana, Luhung Elmuna, Jembar Budayana. Begitulah slogan Universitas Pasundan  yang bertujuan melahirkan generasi berkualitas dalam aspek agama, ilmu dan budaya. Kampus yang berdiri sejak 14 November 1960 meraih akreditasi ""A""  dari BAN-PT dan menempati rangking ke-8 sebagai perguruan tinggi swasta terbaik se indonesia versi 4lcu",19254300,10750000,37500000,38508600,21500000,75000000,"Jalan Dr. Setiabudi No 193, KOTA BANDUNG",JAWA BARAT,A,quipper-434,pddikti-657,rencanamu-236,banpt-2072,,TRUE,,FALSE
28,POLITEKNIK WILMAR BISNIS INDONESIA,SWASTA,-,-1,-1,"{""website"": ""http://wbi.ac.id/"", ""email"": ""humas@wbi.ac.id"", ""phone"": ""+626142074111 / +626180011100""}",-,28250000,5000000,6500000,56500000,10000000,13000000,"Jalan Batu Sihombing  Desa Medan Estate, KABUPATEN DELI SERDANG",SUMATERA UTARA,BAIK,-,pddikti-65,-,banpt-1908,,TRUE,,FALSE
29,UNIVERSITAS BATURAJA,SWASTA,https://rencanamu.id/cari-kampus/universitas-baturaja,4975,4975,"{""website"": ""www.unbara.ac.id"", ""email"": ""info@unbara.ac.id"", ""phone"": ""0735-326122 / 0735-321822""}",-,2400000,1900000,2900000,4800000,3800000,5800000,"Jl Ratu Penghulu No 2301, KABUPATEN OGAN KOMERING ULU",SUMATERA SELATAN,BAIK SEKALI,-,pddikti-2568,rencanamu-107,banpt-819,,TRUE,,FALSE
30,UNIVERSITAS BINA INSAN,SWASTA,-,-1,-1,"{""website"": ""univbinainsan.ac.id"", ""email"": ""admin@univbinainsan.ac.id"", ""phone"": ""07334553932""}",-,2283333.333,2020000,2600000,4566666.667,4040000,5200000,KOTA LUBUK LINGGAU,SUMATERA SELATAN,BAIK,-,pddikti-264,-,banpt-682,,TRUE,,FALSE
31,UNIVERSITAS RESPATI INDONESIA,SWASTA,https://campus.quipper.com/directory/universitas-respati-indonesia,2449,125,"{""website"": ""www.urindo.ac.id"", ""email"": ""info@urindo.ac.id"", ""phone"": ""8454731 / 847628""}","Universitas Respati Indonesia  resmi berdiri pada tahun 1986, cikal bakalnya dimulai dengan berdirinya Akademi Manajemen Respati Indonesia  pada tahun 1982. Universitas Respati Indonesia berada dibawah naungan Yayasan Pendidikan dan Kebudayaan Respati.",4800000,4800000,4800000,9600000,9600000,19200000,"Jl Bambu Apus I No 3  Cipayung  Jakarta Timur, KOTA JAKARTA TIMUR",D.K.I. JAKARTA,B,quipper-286,pddikti-1596,-,banpt-1755,,TRUE,,FALSE
32,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-purwokerto,6614,6614,"{""website"": ""www.ump.ac.id"", ""email"": ""sekretariat@ump.ac.id"", ""phone"": ""0281-636751 / 0281-637239""}",-,10000000,5000000,15000000,545525000,2050000,180000000,"Jl. KH. Ahmad Dahlan  PO BOX 202, KABUPATEN BANYUMAS",JAWA TENGAH,B,-,pddikti-464,rencanamu-215,banpt-2401,Kelly,TRUE,,FALSE
34,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,SWASTA,https://rencanamu.id/cari-kampus/universitas-katolik-indonesia-atma-jaya,6974,6974,Tel: (021) 570-3306,"Universitas Katolik Indonesia Atma Jaya Unika Atma Jaya merupakan salah satu Perguruan Tinggi Swasta terbaik se-Indonesia. Unika Atma Jaya mendapatkan akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi . Salah satu prestasi yang telah diraih yaitu masuk dalam daftar 50 Promising Indonesian Universities dari Direktorat Jenderal Pendidikan Tinggi . Selain itu, Unika Atma Jaya merupakan salah satu dari 17 Perguruan Tinggi Indonesia Terbaik Peringkat Asia versi Quacquarelli Symonds  Asia University Rankings 2018. Pada tahun 2020, kampus ini juga meraih bintang lima untuk kategori Online Learning Pemeringkatan yang dilakukan oleh lembaga peringkat dunia berbasis di London, Quacquarelli Symonds  Stars. Kini, Unika Atma Jaya memiliki 3 lokasi yaitu Kampus 1 Semanggi, Kampus 2 Pluit dan Kampus 3 BSD.",24137500,6000000,42275000,289650000,72000000,507300000,"Jalan Jenderal Sudirman 51, KOTA JAKARTA SELATAN",DKI JAKARTA,A,quipper-47,pddikti-1477,rencanamu-165,banpt-2378,,TRUE,,FALSE
42,UNIVERSITAS MUHAMMADIYAH PALEMBANG,SWASTA,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-palembang,3751,3751,"{""website"": ""www.um-palembang.ac.id"", ""email"": ""humas@um-palembang.ac.id"", ""phone"": ""0711-513022 / 0711-513078""}",-,19305000,3700000,34910000,212024276,7400000,69820000,"Jalan Jenderal Ahmad Yani 13 ULU PLAJU PALEMBANG, KOTA PALEMBANG",SUMATERA SELATAN,UNGGUL,-,pddikti-1757,rencanamu-212,banpt-236,,TRUE,,FALSE
