wilayah,tipe_lokasi,jumlah_prodi,rata_biaya
Bali-Nusa Tenggara,Daerah,417,13099163.458033573
Bali-Nusa Tenggara,Kota Sedang,173,18256067.05202312
Jabodetabek,Kota Besar,1002,43250071.12974052
Jawa,Kota Besar,3733,25590670.685507633
Jawa,Kota Sedang,398,21170913.3040201
Kalimantan,Daerah,398,15595754.718592964
Maluku-Papua,Daerah,318,8079965.408805031
Sulawesi,Daerah,362,12811774.378453039
Sulawesi,Kota Sedang,535,19787044.13084112
Sumatera,Daerah,488,11378221.358606558
Sumatera,Kota Sedang,1144,22649874.01486014
