prodi,jumlah_kampus,total_kampus,rata_biaya,min_biaya,max_biaya,rata_akreditasi
MANAJEMEN,669,669,18642174.630792227,900000.0,401975000.0,3.095665171898356
AKUNTANSI,510,510,21010652.639215685,900000.0,401975000.0,3.107843137254902
INFORMATIKA,478,478,20149535.516736403,1100000.0,401975000.0,2.8870292887029287
HUKUM,393,393,22111140.117048346,1100000.0,401975000.0,3.1806615776081424
SISTEM INFORMASI,376,376,17776854.989361703,900000.0,289650000.0,2.976063829787234
SIPIL,277,277,21549085.862815883,800000.0,401975000.0,2.88086642599278
MATEMATIKA,242,242,19786759.698347107,1100000.0,401975000.0,2.987603305785124
GURU SEKOLAH DASAR,215,215,20521815.98604651,1100000.0,401975000.0,3.1627906976744184
KEPERAWATAN,215,215,21906218.98604651,900000.0,276850001.0,3.144186046511628
INDUSTRI,209,209,24883701.272727273,1100000.0,289650000.0,2.827751196172249
AGRIBISNIS,197,197,15559026.680203045,2200000.0,276850001.0,3.00507614213198
ILMU KOMUNIKASI,196,196,26578609.147959184,2250000.0,289650000.0,3.0969387755102042
ELEKTRO,192,192,31235581.213541668,2000000.0,401975000.0,2.8958333333333335
AGROTEKNOLOGI,182,182,16546627.027472528,2150000.0,276850001.0,2.9945054945054945
MESIN,178,178,22451645.466292135,2000000.0,289650000.0,3.00561797752809
BISNIS DIGITAL,175,175,20928844.137142856,900000.0,401975000.0,2.994285714285714
FARMASI,172,172,27807118.651162792,900000.0,289650000.0,2.877906976744186
BIOLOGI,145,145,26234516.020689655,2150000.0,401975000.0,3.0965517241379312
KEBIDANAN,133,133,22378313.55639098,2200000.0,201750001.0,3.0225563909774436
ARSITEKTUR,130,130,24350327.515384614,2200000.0,168450000.0,3.046153846153846
PSIKOLOGI,125,125,36002350.84,3600000.0,289650000.0,3.072
TEKNOLOGI INFORMASI,120,120,17350513.316666666,1500000.0,243400000.0,3.1166666666666667
ADMINISTRASI NEGARA,108,108,16125634.194444444,2200000.0,168250000.0,2.9444444444444446
SASTRA INGGRIS,103,103,23103902.067961164,4000000.0,276850001.0,3.058252427184466
DESAIN KOMUNIKASI VISUAL,99,99,29013574.505050506,3950000.0,276850001.0,3.272727272727273
GURU ANAK USIA DINI,98,98,28257515.030612245,1200000.0,401975000.0,3.183673469387755
KIMIA,94,94,29924663.74468085,2400132.0,401975000.0,2.882978723404255
EKONOMI,92,92,24819463.663043477,2200000.0,289650000.0,3.108695652173913
KOMPUTER,91,91,21815313.043956045,1800000.0,276850001.0,3.098901098901099
KESEHATAN MASYARAKAT,91,91,18646388.967032965,2700000.0,89700000.0,3.2857142857142856
