wilayah,nama_kampus,akreditasi,jumlah_prodi,biaya_tahunan,provinsi
Bali-Nusa Tenggara,UNIVERSITAS MUHAMMADIYAH MATARAM,Baik Sekali,21,8000000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS NUSA NIPA,Baik Sekali,20,6220000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS HAMZANWADI,Baik Sekali,18,46850000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,Baik Sekali,16,7725000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS PENDIDIKAN MANDALIKA,Baik Sekali,16,7050000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS MAHASARASWATI DENPASAR,Baik Sekali,15,13344800.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS BUMIGORA,Baik Sekali,14,6160000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KRISTEN ARTHA WACANA,Baik Sekali,13,4400000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS SAMAWA,Baik Sekali,13,16755000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS NAHDLATUL WATHAN MATARAM,Baik Sekali,12,8000000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS NGGUSUWARU,Baik Sekali,12,6400000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KRISTEN WIRA WACANA SUMBA,Baik Sekali,11,19330000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS MUHAMMADIYAH KUPANG,Baik Sekali,11,22700000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS TRIBUANA KALABAHI,Baik Sekali,11,5040000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS WARMADEWA,Unggul,11,13675000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS PGRI MAHADEWA INDONESIA,Baik Sekali,10,14350000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS BALI DWIPA,Baik Sekali,9,12350000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS CITRA BANGSA,Baik Sekali,9,11600000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS CORDOVA,Baik Sekali,9,9724000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS DHYANA PURA,Baik Sekali,9,13500000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS FLORES,Baik Sekali,9,9305000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS PERSATUAN GURU 1945 NTT,Baik Sekali,9,3002112.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS QAMARUL HUDA BADARUDDIN BAGU,Baik Sekali,9,26500000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS TRIATMA MULYA,Baik Sekali,9,7400000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS ISLAM AL-AZHAR,Baik Sekali,8,115100000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KATOLIK INDONESIA SANTU PAULUS RUTENG,Baik Sekali,8,5800000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS KATOLIK WEETEBULA,Baik Sekali,8,5370000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS MUHAMMADIYAH MAUMERE,Baik Sekali,8,5610000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS NAHDLATUL ULAMA NUSA TENGGARA BARAT,Baik Sekali,8,8200000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS FLORES,C,7,9305000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS PENDIDIKAN NASIONAL,Baik Sekali,7,29000000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS PRIMAKARA,Baik Sekali,7,32470000.0,Bali
Bali-Nusa Tenggara,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN CITRA BAKTI,Baik Sekali,6,6320000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS 45 MATARAM,Baik Sekali,6,4200000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS ARYASATYA DEO MURI,Baik Sekali,6,5000000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS DHYANA PURA,C,6,13500000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS DWIJENDRA,Baik Sekali,6,11000000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS GUNUNG RINJANI,Baik Sekali,6,4800000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS HINDU INDONESIA,Baik Sekali,6,142175000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS PANJI SAKTI SINGARAJA,Baik Sekali,6,3855000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS TABANAN,Baik Sekali,6,10000000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS TEKNOLOGI MATARAM,Baik Sekali,6,5064000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI SOSIAL DAN KESEHATAN MUHAMMADIYAH SELONG,Baik Sekali,5,3400000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS MAHENDRADATTA,Baik Sekali,5,7250000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS MUHAMMADIYAH BIMA,Baik Sekali,5,1800000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS MUHAMMADIYAH MATARAM,C,5,8000000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS NGURAH RAI,Baik Sekali,5,6900000.0,Bali
Bali-Nusa Tenggara,UNIVERSITAS WARMADEWA,Baik Sekali,5,13675000.0,Bali
Bali-Nusa Tenggara,INSTITUT FILSAFAT DAN TEKNOLOGI KREATIF LEDALERO,Baik Sekali,4,6150000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,INSTITUT PENDIDIKAN NUSANTARA GLOBAL,Baik Sekali,4,26400000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,INSTITUT PENDIDIKAN SOE,Baik Sekali,4,9075000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI DAN BISNIS STIKOM BALI,Baik Sekali,4,13900000.0,Bali
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI DAN KESEHATAN ASPIRASI,Baik Sekali,4,1500000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI DAN KESEHATAN BALI,Baik Sekali,4,22400000.0,Bali
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI DAN KESEHATAN BINTANG PERSADA,Baik Sekali,4,8900000.0,Bali
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI DAN PENDIDIKAN MARKANDEYA BALI,Baik Sekali,4,4432000.0,Bali
Bali-Nusa Tenggara,STKIP HARAPAN BIMA,Baik Sekali,4,2800000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,STKIP TAMAN SISWA BIMA,Baik Sekali,4,13900000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KATOLIK WIDYA MANDIRA KUPANG,C,4,7725000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,INSTITUT DESAIN DAN BISNIS BALI,Baik Sekali,3,12750000.0,Bali
Bali-Nusa Tenggara,INSTITUT KESEHATAN YARSI MATARAM,Baik Sekali,3,19904000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,INSTITUT NASIONAL FLORES,Baik Sekali,3,7830000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI ALBERTH FOENAY,Baik Sekali,3,6000000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,INSTITUT TEKNOLOGI LOMBOK,Baik Sekali,3,7840000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,STKIP AL AMIN DOMPU,Baik Sekali,3,3600000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,STKIP SINAR PANCASILA,Baik Sekali,3,24000024.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS HAMZANWADI,C,3,46850000.0,Nusa Tenggara Barat
Bali-Nusa Tenggara,UNIVERSITAS KARYADARMA KUPANG,Baik Sekali,3,33660000.0,Nusa Tenggara Timur
Bali-Nusa Tenggara,UNIVERSITAS PENDIDIKAN NASIONAL,Unggul,3,29000000.0,Bali
