institution_name,prodi_name,jenjang,akreditasi_prodi,status_pencocokan
IKIP VETERAN JAWA TENGAH,PENDIDIKAN EKONOMI,S1,B,GAGAL COCOK
SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH PALOPO,EKONOMI PEMBANGUNAN,S1,B,GAGAL COCOK
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,AQIDAH DAN FILSAFAT ISLAM,S2,A,BERHASIL
AKADEMI MARITIM SUAKA BAHARI,TEKNIKA,D-III,BAIK SEKALI,BERHASIL
UNIVERSITAS KARIMUN,AKUNTANSI,S1,BAIK,BERHASIL
UNIVERSITAS TEKNOLOGI SUMBAWA,EKONOMI PEMBANGUNAN,S1,BAIK,BERHASIL
STKIP MUHAMMADIYAH BONE,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,GAGAL COCOK
UNIVERSITAS ISLAM MADURA,AKUNTANSI,S1,B,BERHASIL
SEKOLAH TINGGI ILMU KOMPUTER AMBON,TEKNIK INFORMATIKA,S1,BAIK,BERHASIL
INSTITUT AGAMA ISLAM ULUWIYAH MOJOKERTO,EKONOMI SYARIAH,S1,B,BERHASIL
INSTITUT ILMU KEISLAMAN ZAINUL HASAN GENGGONG,PENDIDIKAN BAHASA ARAB,S1,B,GAGAL COCOK
"INSTITUT AGAMA ISLAM DARULLUGHAH WADDA&#039;WAH BANGIL, PASURUAN",EKONOMI SYARIAH,S1,B,GAGAL COCOK
UNIVERSITAS GALUH CIAMIS,TEKNIK MESIN,S1,BAIK,GAGAL COCOK
UNIVERSITAS TIDAR,PENDIDIKAN MATEMATIKA,S1,BAIK,BERHASIL
POLITEKNIK AHLI USAHA PERIKANAN,PENYULUHAN PERIKANAN,D-IV,BAIK SEKALI,BERHASIL
INSTITUT SENI BUDAYA INDONESIA BANDUNG,ANTROPOLOGI BUDAYA,S1,BAIK,BERHASIL
UNIVERSITAS PADJADJARAN,AKUNTANSI,S2,A,BERHASIL
UNIVERSITAS NAHDLATUL ULAMA SURAKARTA,EKONOMI SYARIAH,S1,BAIK,BERHASIL
UNIVERSITAS PESANTREN TINGGI DARUL  ULUM,ILMU ADMINISTRASI NIAGA,S1,B,BERHASIL
UNIVERSITAS SAINS DAN TEKNOLOGI JAYAPURA,TEKNIK LINGKUNGAN,S1,B,BERHASIL
UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAKARTA,TEKNIK INFORMATIKA,S1,B,BERHASIL
"AKADEMI FARMASI BINA FARMASI, PALU",FARMASI,D-III,C,BERHASIL
"SEKOLAH TINGGI ILMU KESEHATAN RUMAH SAKIT ANWAR MEDIKA, SIDOARJO",TEKNOLOGI LABORATORIUM MEDIS,D-III,B,GAGAL COCOK
POLITEKNIK NEGERI BALI,TEKNIK SIPIL,D-III,B,BERHASIL
STMIK TIME,TEKNIK INFORMATIKA,S1,B,BERHASIL
STKIP PGRI BLITAR,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,GAGAL COCOK
SEKOLAH TINGGI ILMU MANAJEMEN YKPN,MANAJEMEN PERUSAHAAN,D-III,B,GAGAL COCOK
STKIP MUHAMMADIYAH SORONG,PENDIDIKAN BIOLOGI,S1,B,GAGAL COCOK
UNIVERSITAS MUHAMMADIYAH PALEMBANG,BUDIDAYA PERAIRAN,S1,B,BERHASIL
UNIVERSITAS KRISTEN PAPUA SORONG,TEOLOGI,S1,B,GAGAL COCOK
UNIVERSITAS TAMANSISWA,TEKNIK SIPIL,S1,BAIK,BERHASIL
UNIVERSITAS PAPUA,EKOWISATA,D-III,BAIK,BERHASIL
UNIVERSITAS IBRAHIMY SUKOREJO SITUBONDO,MANAJEMEN DAN BISNIS SYARIAH,S1,BAIK,GAGAL COCOK
STKIP PGRI SUKABUMI,PENDIDIKAN EKONOMI,S1,BAIK,GAGAL COCOK
STAI BAKTI NEGARA TEGAL,PENDIDIKAN AGAMA ISLAM,S1,B,GAGAL COCOK
STMIK MUSI RAWAS,TEKNIK INFORMATIKA,S1,C,GAGAL COCOK
STKIP MUHAMMADIYAH BULUKUMBA,PENDIDIKAN BIOLOGI,S1,B,GAGAL COCOK
UNIVERSITAS KHAIRUN,TEKNOLOGI PERTANIAN,S1,B,BERHASIL
STKIP PGRI JOMBANG,PENDIDIKAN BAHASA INDONESIA,S1,B,GAGAL COCOK
UNIVERSITAS PAMULANG,AKUNTANSI,D-III,B,BERHASIL
POLITEKNIK NEGERI PADANG,ADMINISTRASI BISNIS,D-III,B,BERHASIL
UNIVERSITAS BENGKULU,PENDIDIKAN MATEMATIKA,S1,B,BERHASIL
IKIP GUNUNG SITOLI,PENDIDIKAN EKONOMI,S1,B,GAGAL COCOK
UNIVERSITAS BENGKULU,ILMU KELAUTAN,S1,B,BERHASIL
UNIVERSITAS TARUMANAGARA,PERENCANAAN WILAYAH DAN KOTA,S1,B,BERHASIL
INSTITUT TEKNOLOGI HARAPAN BANGSA,SISTEM INFORMASI,S1,B,BERHASIL
