institution_code,institution_name,akreditasi_institusi,no_sk,tahun_sk,wilayah,tanggal_kadaluarsa
banpt-1,Universitas Dr Soetomo,Baik Sekali,2785/SK/BAN-PT/Ak.KP/PT/X/2025,2025,07,2026-11-25
banpt-2,STAI Sayid Sabiq Indramayu,Baik,2807/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-3,Sekolah Tinggi Teologi Borneo,Baik,2799/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-4,Institut Keislaman Tuah Negeri,Baik,2816/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-5,Sekolah Tinggi Agama Islam Al-Utsmani Bondowoso,Baik,2810/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-6,Akademi Teknik Alat Berat Indonesia,Baik,2800/SK/BAN-PT/Ak/PT/X/2025,2025,07,2030-10-07
banpt-7,Institut Darul Ulum Sarolangun,Baik Sekali,2809/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-8,Politeknik Indotec Kendari,Baik,2802/SK/BAN-PT/Ak/PT/X/2025,2025,09,2030-10-07
banpt-9,"STAI Al-Jami Banjarmasin, Kalimantan Selatan",Baik Sekali,2808/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-10,Institut Teknologi Pendidikan dan Bisnis Qana'ah Sidenreng Rappang,Baik,2811/SK/BAN-PT/Ak/PT/X/2025,2025,09,2030-10-07
banpt-11,Akademi Keuangan Perbankan Nusantara,Baik,2812/SK/BAN-PT/Ak/PT/X/2025,2025,13,2030-10-07
banpt-12,Sekolah Tinggi Teknologi Pekerjaan Umum,Baik,2803/SK/BAN-PT/Ak/PT/X/2025,2025,03,2030-10-07
banpt-13,STKPK  Bina Insan,Baik,2820/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-14,Institut Teknologi dan Kesehatan Permata Ilmu Maros,Baik,2784/SK/BAN-PT/Ak/PT/X/2025,2025,09,2030-10-07
banpt-15,Universitas Muhammadiyah Enrekang,Baik Sekali,2821/SK/BAN-PT/Ak/PT/X/2025,2025,09,2030-10-07
banpt-16,Sekolah Tinggi Ilmu Tarbiyah Hidayatunnajah Bekasi,Baik,2818/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-17,STAI Ar-Ridho Bagansiapiapi,Baik,2798/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-18,Sekolah Tinggi Ilmu Tarbiyah Qurrota Ayun,Baik,2797/SK/BAN-PT/Ak/PT/X/2025,2025,PTAS,2030-10-07
banpt-19,STIKES Marendeng Majene,Baik,2815/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,09,2030-06-29
banpt-20,Sekolah Tinggi Ilmu Kesehatan Rustida,Baik,2814/SK/BAN-PT/Ak.Ppj/PT/X/2025,2025,07,2030-04-20
