institution_code,institution_name,akreditasi_institusi,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
banpt-1,UNIVERSITAS DR SOETOMO,BAIK SEKALI,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-6,AKADEMI TEKNIK ALAT BERAT INDONESIA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-8,POLITEKNIK INDOTEC KENDARI,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-10,INSTITUT TEKNOLOGI PENDIDIKAN DAN BISNIS QANA'AH SIDENRENG RAPPANG,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-11,AKADEMI KEUANGAN PERBANKAN NUSANTARA,BAIK,-,-,ACEH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-12,SEKOLAH TINGGI TEKNOLOGI PEKERJAAN UMUM,BAIK,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-14,INSTITUT TEKNOLOGI DAN KESEHATAN PERMATA ILMU MAROS,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-15,UNIVERSITAS MUHAMMADIYAH ENREKANG,BAIK SEKALI,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-19,STIKES MARENDENG MAJENE,BAIK,-,-,SULAWESI SELATAN,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-20,SEKOLAH TINGGI ILMU KESEHATAN RUSTIDA,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-21,UNIVERSITAS 17 AGUSTUS 1945 CIREBON,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-22,UNIVERSITAS MEDIKA SUHERMAN,BAIK SEKALI,-,-,JAWA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-23,UNIVERSITAS SLAMET RIYADI,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-25,UNIVERSITAS DHARMA AUB SURAKARTA,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-27,INSTITUT TEKNOLOGI KESEHATAN CENDEKIA UTAMA KUDUS,BAIK SEKALI,-,-,JAWA TENGAH,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-28,INSTITUT BIO SCIENTIA INTERNASIONAL INDONESIA,BAIK SEKALI,-,-,DKI JAKARTA,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-29,INSTITUT KESEHATAN YARSI MATARAM,BAIK,-,-,BALI DAN NUSA TENGGARA BARAT,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
banpt-30,AKADEMI KELAUTAN BANYUWANGI,BAIK,-,-,JAWA TIMUR,-,-1,-1,-1,-1,-1,-1,-,-,-1,-1,-
