prodi_name,jenjang,akreditasi_prodi,institution_code
PENDIDIKAN EKONOMI,S1,B,BANPT-IKIP VETERAN JAWA TENGAH
EKONOMI PEMBANGUNAN,S1,B,BANPT-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH PALOPO
AQIDAH DAN FILSAFAT ISLAM,S2,A,BANPT-2062
TEKNIKA,D-III,BAIK SEKALI,BANPT-2215
AKUNTANSI,S1,BAIK,BANPT-3992
EKONOMI PEMBANGUNAN,S1,BAIK,BANPT-3190
PENDIDIKAN EKONOMI,S1,BAIK SEKALI,BANPT-STKIP MUHAMMADIYAH BONE
AKUNTANSI,S1,B,BANPT-31
TEKNIK INFORMATIKA,S1,BAIK,BANPT-3931
EKONOMI SYARIAH,S1,B,BANPT-3680
PENDIDIKAN BAHASA ARAB,S1,B,BANPT-INSTITUT ILMU KEISLAMAN ZAINUL HASAN GENGGONG
EKONOMI SYARIAH,S1,B,BANPT-INSTITUT AGAMA ISLAM DARULLUGHAH WADDA&#039;WAH BANGIL
TEKNIK MESIN,S1,BAIK,BANPT-UNIVERSITAS GALUH CIAMIS
PENDIDIKAN MATEMATIKA,S1,BAIK,BANPT-2169
PENYULUHAN PERIKANAN,D-IV,BAIK SEKALI,BANPT-3357
ANTROPOLOGI BUDAYA,S1,BAIK,BANPT-3631
AKUNTANSI,S2,A,BANPT-2088
EKONOMI SYARIAH,S1,BAIK,BANPT-3114
ILMU ADMINISTRASI NIAGA,S1,B,BANPT-2482
TEKNIK LINGKUNGAN,S1,B,BANPT-2640
TEKNIK INFORMATIKA,S1,B,BANPT-762
FARMASI,D-III,C,BANPT-502
TEKNOLOGI LABORATORIUM MEDIS,D-III,B,BANPT-SEKOLAH TINGGI ILMU KESEHATAN RUMAH SAKIT ANWAR MEDIKA
TEKNIK SIPIL,D-III,B,BANPT-2782
TEKNIK INFORMATIKA,S1,B,BANPT-3689
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-STKIP PGRI BLITAR
MANAJEMEN PERUSAHAAN,D-III,B,BANPT-SEKOLAH TINGGI ILMU MANAJEMEN YKPN
PENDIDIKAN BIOLOGI,S1,B,BANPT-STKIP MUHAMMADIYAH SORONG
BUDIDAYA PERAIRAN,S1,B,BANPT-182
TEOLOGI,S1,B,BANPT-UNIVERSITAS KRISTEN PAPUA SORONG
TEKNIK SIPIL,S1,BAIK,BANPT-3895
EKOWISATA,D-III,BAIK,BANPT-3186
MANAJEMEN DAN BISNIS SYARIAH,S1,BAIK,BANPT-UNIVERSITAS IBRAHIMY SUKOREJO SITUBONDO
PENDIDIKAN EKONOMI,S1,BAIK,BANPT-STKIP PGRI SUKABUMI
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-STAI BAKTI NEGARA TEGAL
TEKNIK INFORMATIKA,S1,C,BANPT-STMIK MUSI RAWAS
PENDIDIKAN BIOLOGI,S1,B,BANPT-STKIP MUHAMMADIYAH BULUKUMBA
TEKNOLOGI PERTANIAN,S1,B,BANPT-212
PENDIDIKAN BAHASA INDONESIA,S1,B,BANPT-STKIP PGRI JOMBANG
AKUNTANSI,D-III,B,BANPT-1778
ADMINISTRASI BISNIS,D-III,B,BANPT-3873
PENDIDIKAN MATEMATIKA,S1,B,BANPT-13
PENDIDIKAN EKONOMI,S1,B,BANPT-IKIP GUNUNG SITOLI
ILMU KELAUTAN,S1,B,BANPT-13
PERENCANAAN WILAYAH DAN KOTA,S1,B,BANPT-3103
SISTEM INFORMASI,S1,B,BANPT-1739
PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,BANPT-3445
HUKUM EKONOMI SYARI`AH,S1,UNGGUL,BANPT-3318
INFORMATIKA,S1,B,BANPT-3846
SENI,S2,A,BANPT-3806
PENDIDIKAN TEKNIK MESIN,S1,UNGGUL,BANPT-3295
MANAJEMEN INFORMATIKA,D-III,B,BANPT-INSTITUT SAINS DAN TEKNOLOGI AKPRIND
TEKNIK INDUSTRI,S1,C,BANPT-SEKOLAH TINGGI TEKNOLOGI MITRA KARYA
MANAJEMEN INFORMATIKA,D-III,B,BANPT-STMIK BINA INSANI
PENDIDIKAN AGAMA ISLAM,S1,C,BANPT-SEKOLAH TINGGI ILMU TARBIYAH KUPANG
AKUNTANSI,D-III,B,BANPT-AKADEMI AKUNTANSI BINA INSANI
TEKNIK ELEKTRO,S1,C,BANPT-SEKOLAH TINGGI TEKNOLOGI MITRA KARYA
HUKUM EKONOMI SYARIAH,S2,A,BANPT-IAIN PURWOKERTO
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,A,BANPT-2191
ILMU FALAK,S1,B,BANPT-1262
DESAIN KOMUNIKASI VISUAL,S1,BAIK,BANPT-447
PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,BANPT-3755
BUDIDAYA TANAMAN PANGAN,D-III,BAIK,BANPT-1022
PROFESI ARSITEK,PROFESI,B,BANPT-2679
EKONOMI SYARIAH,S1,BAIK,BANPT-INSTITUT MANAJEMEN KOPERASI INDONESIA
DOKTOR ILMU TEKNIK PERTANIAN,S3,A,BANPT-2699
PROFESI AKUNTAN,PROFESI,A,BANPT-2174
STATISTIKA,S1,B,BANPT-3199
AKUNTANSI,S1,B,BANPT-2790
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-3993
MANAJEMEN,S1,B,BANPT-2003
AGRIBISNIS,S1,B,BANPT-2843
PENDIDIKAN BIOLOGI,S1,B,BANPT-STKIP PGRI SUMATERA BARAT
PENDIDIKAN EKONOMI,S1,B,BANPT-STKIP PGRI SUMATERA BARAT
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-STKIP PGRI SUMATERA BARAT
PENDIDIKAN BAHASA ARAB,S1,BAIK,BANPT-2924
EKONOMI PEMBANGUNAN,S1,BAIK,BANPT-UNIVERSITAS TEKNOLOGI SULAWESI UTARA
PENDIDIKAN BAHASA INDONESIA,S1,BAIK,BANPT-3622
TEKNIK ELEKTRO,S2,BAIK,BANPT-570
PENYULUHAN PERTANIAN,S1,BAIK,BANPT-3234
EKONOMI SYARIAH,S1,BAIK,BANPT-315
FISIKA,S1,BAIK,BANPT-2673
PARIWISATA,S1,BAIK,BANPT-387
AKUNTANSI,S1,BAIK,BANPT-693
TEKNIK SIPIL KAMPUS KAB TOJO UNA-UNA,S1,BAIK,BANPT-1909
ILMU PETERNAKAN,S3,BAIK SEKALI,BANPT-2680
TADRIS BAHASA INDONESIA,S1,BAIK,BANPT-517
ILMU HUKUM,S1,BAIK,BANPT-760
SUMBER DAYA AKUATIK,S2,BAIK,BANPT-3186
PENDIDIKAN OLAHRAGA,S1,BAIK,BANPT-1872
TEKNIK INDUSTRI,S1,BAIK,BANPT-570
BUDIDAYA PERAIRAN,S1,BAIK,BANPT-1900
BAHASA INGGRIS,S1,BAIK,BANPT-1887
TEKNIK SIPIL,S2,BAIK SEKALI,BANPT-629
TEKNOLOGI AGROINDUSTRI,S2,UNGGUL,BANPT-2088
PENGOLAHAN HASIL LAUT,D-III,BAIK,BANPT-3372
MANAJEMEN,S2,BAIK SEKALI,BANPT-1411
PENDIDIKAN SEJARAH,S1,BAIK,BANPT-1150
AKUNTANSI,S1,BAIK,BANPT-3950
PENDIDIKAN BIOLOGI,S1,BAIK,BANPT-2915
ADMINISTRASI PUBLIK,S1,BAIK SEKALI,BANPT-2314
MANAJEMEN,S2,BAIK SEKALI,BANPT-3197
PERBANKAN SYARI'AH,S1,BAIK,BANPT-1874
KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,BANPT-1262
PENDIDIKAN KHUSUS,S1,BAIK,BANPT-3943
PENDIDIKAN AGAMA ISLAM,S1,BAIK,BANPT-3704
HUKUM EKONOMI SYARIAH,S1,BAIK,BANPT-3163
PENDIDIKAN BAHASA INGGRIS,S2,BAIK SEKALI,BANPT-1898
PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,BANPT-UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM
SENI RUPA MURNI,S1,BAIK SEKALI,BANPT-2727
NAUTIKA,D-III,BAIK SEKALI,BANPT-2215
MANAJEMEN,S1,B,BANPT-1179
BAHASA INGGRIS,D-III,B,BANPT-668
ILMU EKONOMI,S2,A,BANPT-3295
ILMU KOMUNIKASI,S1,B,BANPT-1056
PEPERANGAN ASIMETRIS,S2,A,BANPT-3306
MANAJEMEN,S1,B,BANPT-2634
AKUNTANSI,S1,B,BANPT-2634
PENDIDIKAN TEKNIK ELEKTRO,S1,B,BANPT-3295
ADMINISTRASI NEGARA,D-III,A,BANPT-2698
PENDIDIKAN JASMANI,S1,B,BANPT-3877
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-1544
TEKNOLOGI INDUSTRI PERTANIAN,S1,B,BANPT-13
TEKNIK INFORMATIKA,S1,B,BANPT-STMIK HANDAYANI MAKASSAR
BIMBINGAN DAN KONSELING,S1,B,BANPT-310
PENDIDIKAN FISIKA,S1,B,BANPT-1705
MANAJEMEN,S1,B,BANPT-SEKOLAH TINGGI ILMU EKONOMI AKA
SISTEM INFORMASI,D-III,B,BANPT-2135
PENDIDIKAN EKONOMI,S1,B,BANPT-3029
SISTEM INFORMASI,S1,B,BANPT-STMIK NUSA MANDIRI JAKARTA
MANAJEMEN INFORMATIKA,D-III,A,BANPT-464
PERENCANAAN PEMBANGUNAN WILAYAH DAN PENGELOLAAN LINGKUNGAN,S2,A,BANPT-1605
FISIKA,S2,B,BANPT-310
MANAJEMEN,S3,UNGGUL,BANPT-3198
MANAJEMEN INFORMATIKA,D-III,BAIK,BANPT-699
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S2,B,BANPT-1119
MANAJEMEN PERHOTELAN,D-IV,B,BANPT-SEKOLAH TINGGI PARIWISATA BALI INTERNASIONAL
PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,BANPT-1544
TEKNIK SIPIL,D-III,B,BANPT-3295
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-2469
AGROTEKNOLOGI,S1,B,BANPT-3609
ILMU KOMUNIKASI,S1,B,BANPT-2634
ADMINISTRASI PENDIDIKAN,S2,A,BANPT-13
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-STKIP SETIABUDHI
NAUTIKA,D-III,B,BANPT-2173
PENGELOLAAN LINGKUNGAN,S2,B,BANPT-UNIVERSITAS SYIAH KUALA
TEKNOLOGI INDUSTRI PERTANIAN,S1,A,BANPT-608
PERPUSTAKAAN,D-III,B,BANPT-668
PENDIDIKAN GURU PENDIDIKAN ANAK  USIA DINI,S1,B,BANPT-3877
ILMU EKONOMI,S3,A,BANPT-2063
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-313
EKONOMI PEMBANGUNAN,S1,B,BANPT-763
ILMU HUKUM,S1,B,BANPT-2996
DESAIN INTERIOR,S1,BAIK,BANPT-447
AKUNTANSI,S1,BAIK,BANPT-2037
AGRIBISNIS,S1,BAIK,BANPT-3871
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-UNIVERSITAS DR. SOETOMO
PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,BANPT-3575
AQIDAH DAN FILSAFAT ISLAM,S1,B,BANPT-IAIN BENGKULU
SISTEM INFORMASI,S1,B,BANPT-3259
PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,B,BANPT-2241
MANAJEMEN PEMASARAN,D-III,B,BANPT-90
PEMBANGUNAN WILAYAH DAN PEDESAAN,S2,A,BANPT-2063
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,BANPT-1119
PERHOTELAN,D-III,B,BANPT-AKADEMI PARIWISATA PATRIA INDONESIA
AKUNTANSI,S1,B,BANPT-3245
HUKUM KELUARGA,S1,B,BANPT-1957
ILMU KESEJAHTERAAN SOSIAL,S1,A,BANPT-310
ADMINISTRASI PERKANTORAN,D-III,A,BANPT-2679
PENDIDIKAN FISIKA,S1,B,BANPT-1302
PENDIDIKAN INFORMATIKA,S1,B,BANPT-3285
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,BANPT-STKIP PGRI TULUNGAGUNG
ILMU KOMUNIKASI,S1,B,BANPT-3542
PENDIDIKAN MATEMATIKA,S1,B,BANPT-2028
"PENDIDIKAN JASMANI, KESEHATAN & REKREASI",S1,B,BANPT-2659
ILMU HUKUM,S2,B,BANPT-2694
ILMU FILSAFAT,S1,B,BANPT-3637
PETERNAKAN,S2,A,BANPT-310
ARSITEKTUR,S1,B,BANPT-202
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,BANPT-2083
USAHA PERJALANAN WISATA,D-IV,B,BANPT-3938
