prodi_name,jenjang,akreditasi_prodi,institution_code
PENDIDIKAN EKONOMI,S1,B,banpt-ikip veteran jawa tengah
EKONOMI PEMBANGUNAN,S1,B,banpt-sekolah tinggi ilmu ekonomi muhammadiyah palopo
EKONOMI PEMBANGUNAN,S1,Baik,BANPT-3215
PENDIDIKAN EKONOMI,S1,Baik Sekali,banpt-stkip muhammadiyah bone
AKUNTANSI,S1,B,BANPT-80
TEKNIK INFORMATIKA,S1,Baik,BANPT-3951
TEKNIK MESIN,S1,Baik,banpt-universitas galuh ciamis
EKONOMI SYARIAH,S1,Baik,BANPT-3139
ILMU ADMINISTRASI NIAGA,S1,B,BANPT-2510
TEKNIK LINGKUNGAN,S1,B,BANPT-2667
TEKNIK INFORMATIKA,S1,B,BANPT-3710
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-stkip pgri blitar
PENDIDIKAN BIOLOGI,S1,B,banpt-stkip muhammadiyah sorong
BUDIDAYA PERAIRAN,S1,B,BANPT-236
TEOLOGI,S1,B,banpt-universitas kristen papua sorong
TEKNIK SIPIL,S1,Baik,BANPT-3915
MANAJEMEN DAN BISNIS SYARIAH,S1,Baik,banpt-universitas ibrahimy sukorejo situbondo
PENDIDIKAN EKONOMI,S1,Baik,banpt-stkip pgri sukabumi
TEKNIK INFORMATIKA,S1,C,banpt-stmik musi rawas
PENDIDIKAN BIOLOGI,S1,B,banpt-stkip muhammadiyah bulukumba
PENDIDIKAN BAHASA INDONESIA,S1,B,banpt-stkip pgri jombang
PENDIDIKAN EKONOMI,S1,B,banpt-ikip gunung sitoli
PERENCANAAN WILAYAH DAN KOTA,S1,B,BANPT-3128
SISTEM INFORMASI,S1,B,BANPT-1774
HUKUM EKONOMI SYARI`AH,S1,Unggul,BANPT-3341
INFORMATIKA,S1,B,BANPT-3866
TEKNIK INDUSTRI,S1,C,banpt-sekolah tinggi teknologi mitra karya
TEKNIK ELEKTRO,S1,C,banpt-sekolah tinggi teknologi mitra karya
DESAIN KOMUNIKASI VISUAL,S1,Baik,BANPT-500
EKONOMI SYARIAH,S1,Baik,banpt-institut manajemen koperasi indonesia
STATISTIKA,S1,B,BANPT-3224
AKUNTANSI,S1,B,BANPT-2817
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-4013
MANAJEMEN,S1,B,BANPT-2034
AGRIBISNIS,S1,B,BANPT-2870
PENDIDIKAN BIOLOGI,S1,B,banpt-stkip pgri sumatera barat
PENDIDIKAN EKONOMI,S1,B,banpt-stkip pgri sumatera barat
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-stkip pgri sumatera barat
EKONOMI PEMBANGUNAN,S1,Baik,banpt-universitas teknologi sulawesi utara
PENDIDIKAN BAHASA INDONESIA,S1,Baik,BANPT-3643
EKONOMI SYARIAH,S1,Baik,BANPT-369
PARIWISATA,S1,Baik,BANPT-441
AKUNTANSI,S1,Baik,BANPT-743
ILMU HUKUM,S1,Baik,BANPT-810
PENDIDIKAN OLAHRAGA,S1,Baik,BANPT-1903
BUDIDAYA PERAIRAN,S1,Baik,BANPT-1931
BAHASA INGGRIS,S1,Baik,BANPT-1918
PENDIDIKAN SEJARAH,S1,Baik,BANPT-1194
AKUNTANSI,S1,Baik,BANPT-3970
PENDIDIKAN BIOLOGI,S1,Baik,BANPT-2941
ADMINISTRASI PUBLIK,S1,Baik Sekali,BANPT-2344
PENDIDIKAN KHUSUS,S1,Baik,BANPT-3963
SENI RUPA MURNI,S1,Baik Sekali,BANPT-2754
MANAJEMEN,S1,B,BANPT-1223
AGROTEKNOLOGI,S1,B,BANPT-3630
ILMU KOMUNIKASI,S1,B,BANPT-2661
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-stkip setiabudhi
AKUNTANSI,S1,Baik,BANPT-2068
AGRIBISNIS,S1,Baik,BANPT-3891
SISTEM INFORMASI,S1,B,BANPT-3284
AKUNTANSI,S1,B,BANPT-3270
PENDIDIKAN FISIKA,S1,B,BANPT-1344
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,banpt-stkip pgri tulungagung
ILMU KOMUNIKASI,S1,B,BANPT-3563
PENDIDIKAN MATEMATIKA,S1,B,BANPT-2059
PENDIDIKAN JASMANI,S1,B,BANPT-2686
ILMU FILSAFAT,S1,B,BANPT-3658
ARSITEKTUR,S1,B,BANPT-256
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,BANPT-2114
PENDIDIKAN BAHASA INDONESIA,S1,Baik,BANPT-2941
PARIWISATA,S1,B,banpt-universitas garut
TEKNIK INFORMATIKA,S1,Baik,banpt-stmik ibbi
AKUNTANSI,S1,B,BANPT-1635
ILMU ADMINISTRASI NEGARA,S1,B,banpt-universitas madako toli-toli
HUKUM EKONOMI SYARI'AH,S1,B,BANPT-1002
PENDIDIKAN EKONOMI,S1,B,banpt-stkip pembangunan indonesia
EKONOMI PEMBANGUNAN,S1,B,BANPT-3289
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-stkip pgri lamongan
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-3961
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-1934
PENDIDIKAN,S1,B,banpt-stkip muhammadiyah muara bungo
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-2004
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-stkip nias selatan
PSIKOLOGI,S1,B,BANPT-141
PENDIDIKAN SEJARAH,S1,B,BANPT-1740
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,BANPT-1725
TEKNIK SIPIL,S1,B,banpt-universitas widya dharma
PENDIDIKAN SENI KARAWITAN KEAGAMAAN HINDU,S1,A,BANPT-3122
TEKNIK INFORMATIKA,S1,B,BANPT-1780
ILMU ADMINISTRASI NEGARA,S1,B,BANPT-2191
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BANPT-80
PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,BANPT-2349
SISTEM KOMPUTER,S1,B,BANPT-2398
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,BANPT-1970
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-stkip suar bangli
EKONOMI PEMBANGUNAN,S1,B,BANPT-814
BIOLOGI,S1,B,BANPT-525
TEKNIK SIPIL,S1,Baik,banpt-universitas azzahra
TEKNIK SIPIL,S1,Baik,BANPT-2034
TEKNIK INDUSTRI,S1,Baik,BANPT-3830
PSIKOLOGI,S1,Baik Sekali,BANPT-3827
AKUNTANSI,S1,B,BANPT-1872
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-stkip nias selatan
ILMU PEMERINTAHAN,S1,B,banpt-universitas madako toli-toli
MANAJEMEN,S1,B,banpt-universitas madako toli-toli
SISTEM INFORMASI,S1,B,BANPT-2060
TEOLOGI,S1,B,BANPT-3822
MANAJEMEN,S1,B,BANPT-3289
MANAJEMEN,S1,B,BANPT-2289
ILMU HUKUM,S1,A,BANPT-51
SISTEM INFORMASI,S1,B,BANPT-3710
HUKUM,S1,B,BANPT-2344
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-2205
MANAJEMEN,S1,B,BANPT-3602
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-stkip nias selatan
PENDIDIKAN  BAHASA INGGRIS,S1,Baik,BANPT-2498
ARSITEKTUR,S1,Baik,BANPT-678
ILMU HUKUM,S1,Baik,BANPT-466
BUDIDAYA PERAIRAN,S1,B,BANPT-319
ILMU HUKUM,S1,B,BANPT-474
SASTRA INGGRIS,S1,B,BANPT-1044
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-stkip pgri jombang
MANAJEMEN,S1,B,BANPT-2416
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-2142
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-institut keguruan dan ilmu pendidikan pgri pontianak
TEKNIK INDUSTRI,S1,B,banpt-universitas galuh ciamis
EKONOMI PEMBANGUNAN,S1,B,banpt-sekolah tinggi ilmu ekonomi muhammadiyah tanjung redeb
AKUNTANSI,S1,B,banpt-sekolah tinggi ilmu ekonomi muhammadiyah tanjung redeb
PENDIDIKAN BAHASA DAN SASTRA DAERAH,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan muhammadiyah kuningan
MANAJEMEN,S1,A,BANPT-1146
SISTEM INFORMASI,S1,B,banpt-sekolah tinggi manajemen informatika dan komputer widya pratama
MANAJEMEN SUMBER DAYA PERAIRAN,S1,B,BANPT-3280
ILMU ADMINISTRASI NEGARA,S1,B,BANPT-2034
DESAIN PRODUK,S1,B,BANPT-2144
TEKNIK PERTANIAN,S1,B,BANPT-2971
PENDIDIKAN MATEMATIKA,S1,B,BANPT-1903
KOMUNIKASI PENYIARAN ISLAM,S1,B,BANPT-1903
SASTRA INDONESIA,S1,B,BANPT-366
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-1989
AGROTEKNOLOGI,S1,B,BANPT-3416
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-institut keguruan dan ilmu pendidikan pgri bojonegoro
PENDIDIKAN MATEMATIKA,S1,B,BANPT-135
AGRIBISNIS,S1,B,BANPT-2604
AKUNTANSI,S1,B,BANPT-3336
PENDIDIKAN BIOLOGI,S1,B,BANPT-2059
KIMIA,S1,B,BANPT-525
AKUNTANSI,S1,B,BANPT-3901
SENI MUSIK,S1,B,BANPT-3723
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-3961
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,BANPT-463
AGROTEKNOLOGI,S1,B,BANPT-2358
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BANPT-2004
PENDIDIKAN OLAH RAGA,S1,B,BANPT-3296
DESAIN PRODUK,S1,A,BANPT-3161
ILMU HUKUM,S1,B,BANPT-137
MANAJEMEN,S1,B,BANPT-1823
STATISTIKA,S1,Baik,BANPT-2498
PENDIDIKAN KIMIA,S1,Baik,BANPT-3820
AGRIBISNIS,S1,Baik,BANPT-3075
PENDIDIKAN KIMIA,S1,Baik,BANPT-2941
TEKNIK INDUSTRI,S1,Baik Sekali,BANPT-1019
BIOLOGI,S1,Baik,BANPT-2848
AKUNTANSI,S1,B,BANPT-43
MANAJEMEN,S1,B,BANPT-2927
MANAJEMEN,S1,B,banpt-sekolah tinggi ilmu ekonomi pertiwi
AKUNTANSI,S1,B,banpt-sekolah tinggi ilmu ekonomi yppi
TEKNIK INFORMATIKA,S1,B,BANPT-2691
MANAJEMEN,S1,B,BANPT-2547
MANAJEMEN,S1,B,BANPT-2308
ILMU ADMINISTRASI NEGARA,S1,Baik,BANPT-3809
TEKNIK INDUSTRI,S1,Tidak Terakreditasi,BANPT-3963
PENDIDIKAN MATEMATIKA,S1,B,banpt-stkip nias selatan
ILMU KOMUNIKASI,S1,B,BANPT-887
EKONOMI PEMBANGUNAN,S1,B,banpt-universitas madako toli-toli
HUKUM EKONOMI SYARIAH,S1,B,BANPT-2114
ILMU KOMUNIKASI,S1,B,BANPT-815
SASTRA INGGRIS,S1,B,BANPT-2541
AGRIBISNIS,S1,Baik,BANPT-1194
PENDIDIKAN MATEMATIKA,S1,Baik,BANPT-4036
ADMINISTRASI PUBLIK,S1,B,BANPT-2963
PENDIDIKAN BAHASA INGGRIS,S1,B,BANPT-1990
MANAJEMEN,S1,B,BANPT-2349
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-stkip muhammadiyah bone
TADRIS BAHASA INGGRIS,S1,B,BANPT-1930
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,BANPT-2901
ILMU ADMINISTRASI NEGARA,S1,B,BANPT-3099
PENDIDIKAN AGAMA ISLAM,S1,B,BANPT-2226
MANAJEMEN,S1,B,BANPT-1022
ANTROPOLOGI SOSIAL,S1,B,BANPT-2547
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,BANPT-2547
ILMU TEOLOGI,S1,B,banpt-sekolah tinggi filsafat fajar timur jayapura
PSIKOLOGI,S1,B,BANPT-138
PENDIDIKAN EKONOMI,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan nurul huda
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-sekolah tinggi keguruan dan ilmu pendidikan nurul huda
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,BANPT-2593
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,BANPT-441
BIMBINGAN DAN KONSELING,S1,B,BANPT-337
AKUNTANSI,S1,B,BANPT-2076
