prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
1,PENDIDIKAN EKONOMI,S1,B,
2,EKONOMI PEMBANGUNAN,S1,B,
3,AQIDAH DAN FILSAFAT ISLAM,S2,A,2062
4,TEKNIKA,D-III,BAIK SEKALI,2215
5,AKUNTANSI,S1,BAIK,3992
6,EKONOMI PEMBANGUNAN,S1,BAIK,3190
7,PENDIDIKAN EKONOMI,S1,BAIK SEKALI,
8,AKUNTANSI,S1,B,31
9,TEKNIK INFORMATIKA,S1,BAIK,3931
10,EKONOMI SYARIAH,S1,B,3680
11,PENDIDIKAN BAHASA ARAB,S1,B,
12,EKONOMI SYARIAH,S1,B,
13,TEKNIK MESIN,S1,BAIK,
14,PENDIDIKAN MATEMATIKA,S1,BAIK,2169
15,PENYULUHAN PERIKANAN,D-IV,BAIK SEKALI,3357
16,ANTROPOLOGI BUDAYA,S1,BAIK,3631
17,AKUNTANSI,S2,A,2088
18,EKONOMI SYARIAH,S1,BAIK,3114
19,ILMU ADMINISTRASI NIAGA,S1,B,2482
20,TEKNIK LINGKUNGAN,S1,B,2640
21,TEKNIK INFORMATIKA,S1,B,762
22,FARMASI,D-III,C,502
23,TEKNOLOGI LABORATORIUM MEDIS,D-III,B,
24,TEKNIK SIPIL,D-III,B,2782
25,TEKNIK INFORMATIKA,S1,B,3689
26,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,
27,MANAJEMEN PERUSAHAAN,D-III,B,
28,PENDIDIKAN BIOLOGI,S1,B,
29,BUDIDAYA PERAIRAN,S1,B,182
30,TEOLOGI,S1,B,
31,TEKNIK SIPIL,S1,BAIK,3895
32,EKOWISATA,D-III,BAIK,3186
33,MANAJEMEN DAN BISNIS SYARIAH,S1,BAIK,
34,PENDIDIKAN EKONOMI,S1,BAIK,
35,PENDIDIKAN AGAMA ISLAM,S1,B,
36,TEKNIK INFORMATIKA,S1,C,
37,PENDIDIKAN BIOLOGI,S1,B,
38,TEKNOLOGI PERTANIAN,S1,B,212
39,PENDIDIKAN BAHASA INDONESIA,S1,B,
40,AKUNTANSI,D-III,B,1778
41,ADMINISTRASI BISNIS,D-III,B,3873
42,PENDIDIKAN MATEMATIKA,S1,B,13
43,PENDIDIKAN EKONOMI,S1,B,
44,ILMU KELAUTAN,S1,B,13
45,PERENCANAAN WILAYAH DAN KOTA,S1,B,3103
46,SISTEM INFORMASI,S1,B,1739
47,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,3445
48,HUKUM EKONOMI SYARI`AH,S1,UNGGUL,3318
49,INFORMATIKA,S1,B,3846
50,SENI,S2,A,3806
51,PENDIDIKAN TEKNIK MESIN,S1,UNGGUL,3295
52,MANAJEMEN INFORMATIKA,D-III,B,
53,TEKNIK INDUSTRI,S1,C,
54,MANAJEMEN INFORMATIKA,D-III,B,
55,PENDIDIKAN AGAMA ISLAM,S1,C,
56,AKUNTANSI,D-III,B,
57,TEKNIK ELEKTRO,S1,C,
58,HUKUM EKONOMI SYARIAH,S2,A,
59,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,A,2191
60,ILMU FALAK,S1,B,1262
61,DESAIN KOMUNIKASI VISUAL,S1,BAIK,447
62,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,3755
63,BUDIDAYA TANAMAN PANGAN,D-III,BAIK,1022
64,PROFESI ARSITEK,PROFESI,B,2679
65,EKONOMI SYARIAH,S1,BAIK,
66,DOKTOR ILMU TEKNIK PERTANIAN,S3,A,2699
67,PROFESI AKUNTAN,PROFESI,A,2174
68,STATISTIKA,S1,B,3199
69,AKUNTANSI,S1,B,2790
70,PENDIDIKAN BAHASA INGGRIS,S1,B,3993
71,MANAJEMEN,S1,B,2003
72,AGRIBISNIS,S1,B,2843
73,PENDIDIKAN BIOLOGI,S1,B,
74,PENDIDIKAN EKONOMI,S1,B,
75,PENDIDIKAN BAHASA INGGRIS,S1,B,
76,PENDIDIKAN BAHASA ARAB,S1,BAIK,2924
77,EKONOMI PEMBANGUNAN,S1,BAIK,
78,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,3622
79,TEKNIK ELEKTRO,S2,BAIK,570
80,PENYULUHAN PERTANIAN,S1,BAIK,3234
81,EKONOMI SYARIAH,S1,BAIK,315
82,FISIKA,S1,BAIK,2673
83,PARIWISATA,S1,BAIK,387
84,AKUNTANSI,S1,BAIK,693
85,TEKNIK SIPIL KAMPUS KAB TOJO UNA-UNA,S1,BAIK,1909
86,ILMU PETERNAKAN,S3,BAIK SEKALI,2680
87,TADRIS BAHASA INDONESIA,S1,BAIK,517
88,ILMU HUKUM,S1,BAIK,760
89,SUMBER DAYA AKUATIK,S2,BAIK,3186
90,PENDIDIKAN OLAHRAGA,S1,BAIK,1872
91,TEKNIK INDUSTRI,S1,BAIK,570
92,BUDIDAYA PERAIRAN,S1,BAIK,1900
93,BAHASA INGGRIS,S1,BAIK,1887
94,TEKNIK SIPIL,S2,BAIK SEKALI,629
95,TEKNOLOGI AGROINDUSTRI,S2,UNGGUL,2088
96,PENGOLAHAN HASIL LAUT,D-III,BAIK,3372
97,MANAJEMEN,S2,BAIK SEKALI,1411
98,PENDIDIKAN SEJARAH,S1,BAIK,1150
99,AKUNTANSI,S1,BAIK,3950
100,PENDIDIKAN BIOLOGI,S1,BAIK,2915
101,ADMINISTRASI PUBLIK,S1,BAIK SEKALI,2314
102,MANAJEMEN,S2,BAIK SEKALI,3197
103,PERBANKAN SYARI'AH,S1,BAIK,1874
104,KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,1262
105,PENDIDIKAN KHUSUS,S1,BAIK,3943
106,PENDIDIKAN AGAMA ISLAM,S1,BAIK,3704
107,HUKUM EKONOMI SYARIAH,S1,BAIK,3163
108,PENDIDIKAN BAHASA INGGRIS,S2,BAIK SEKALI,1898
109,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,
110,SENI RUPA MURNI,S1,BAIK SEKALI,2727
111,NAUTIKA,D-III,BAIK SEKALI,2215
112,MANAJEMEN,S1,B,1179
113,BAHASA INGGRIS,D-III,B,668
114,ILMU EKONOMI,S2,A,3295
115,ILMU KOMUNIKASI,S1,B,1056
116,PEPERANGAN ASIMETRIS,S2,A,3306
117,MANAJEMEN,S1,B,2634
118,AKUNTANSI,S1,B,2634
119,PENDIDIKAN TEKNIK ELEKTRO,S1,B,3295
120,ADMINISTRASI NEGARA,D-III,A,2698
121,PENDIDIKAN JASMANI,S1,B,3877
122,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,1544
123,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,13
124,TEKNIK INFORMATIKA,S1,B,
125,BIMBINGAN DAN KONSELING,S1,B,310
126,PENDIDIKAN FISIKA,S1,B,1705
127,MANAJEMEN,S1,B,
128,SISTEM INFORMASI,D-III,B,2135
129,PENDIDIKAN EKONOMI,S1,B,3029
130,SISTEM INFORMASI,S1,B,
131,MANAJEMEN INFORMATIKA,D-III,A,464
132,PERENCANAAN PEMBANGUNAN WILAYAH DAN PENGELOLAAN LINGKUNGAN,S2,A,1605
133,FISIKA,S2,B,310
134,MANAJEMEN,S3,UNGGUL,3198
135,MANAJEMEN INFORMATIKA,D-III,BAIK,699
136,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S2,B,1119
137,MANAJEMEN PERHOTELAN,D-IV,B,
138,PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,1544
139,TEKNIK SIPIL,D-III,B,3295
140,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,2469
141,AGROTEKNOLOGI,S1,B,3609
142,ILMU KOMUNIKASI,S1,B,2634
143,ADMINISTRASI PENDIDIKAN,S2,A,13
144,PENDIDIKAN GURU SEKOLAH DASAR,S1,B,
145,NAUTIKA,D-III,B,2173
146,PENGELOLAAN LINGKUNGAN,S2,B,
147,TEKNOLOGI INDUSTRI PERTANIAN,S1,A,608
148,PERPUSTAKAAN,D-III,B,668
149,PENDIDIKAN GURU PENDIDIKAN ANAK  USIA DINI,S1,B,3877
150,ILMU EKONOMI,S3,A,2063
151,PENDIDIKAN BAHASA INGGRIS,S1,B,313
152,EKONOMI PEMBANGUNAN,S1,B,763
153,ILMU HUKUM,S1,B,2996
154,DESAIN INTERIOR,S1,BAIK,447
155,AKUNTANSI,S1,BAIK,2037
156,AGRIBISNIS,S1,BAIK,3871
157,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,
158,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK,3575
159,AQIDAH DAN FILSAFAT ISLAM,S1,B,
160,SISTEM INFORMASI,S1,B,3259
161,PENDIDIKAN ILMU PENGETAHUAN ALAM,S1,B,2241
162,MANAJEMEN PEMASARAN,D-III,B,90
163,PEMBANGUNAN WILAYAH DAN PEDESAAN,S2,A,2063
164,PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,1119
165,PERHOTELAN,D-III,B,
166,AKUNTANSI,S1,B,3245
167,HUKUM KELUARGA,S1,B,1957
168,ILMU KESEJAHTERAAN SOSIAL,S1,A,310
169,ADMINISTRASI PERKANTORAN,D-III,A,2679
170,PENDIDIKAN FISIKA,S1,B,1302
171,PENDIDIKAN INFORMATIKA,S1,B,3285
172,PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,
