CLUSTER ANALYSIS SUMMARY

1. Distribusi berdasarkan Jenis Institusi:
cluster,body_type,count
1,SWASTA,1693
2,SWASTA,31
3,SWASTA,8
4,SWASTA,4
5,SWASTA,31
6,SWASTA,54
7,SWASTA,6
8,SWASTA,3
9,SWASTA,3
10,SWASTA,3
11,SWASTA,12
12,SWASTA,4
13,SWASTA,3
14,SWASTA,5
15,SWASTA,6
16,SWASTA,3
17,SWASTA,3
18,SWASTA,3
19,SWASTA,3
20,SWASTA,3
21,SWASTA,3
22,SWASTA,3
23,SWASTA,3
24,SWASTA,3
25,SWASTA,3

2. Distribusi berdasarkan Akreditasi:
cluster,campus_accreditation,count
1,A,132
1,B,495
1,BAIK,589
1,BAIK SEKALI,437
1,C,24
1,TERAKREDITASI,16
2,UNGGUL,31
3,A,8
4,BAIK,3
4,BAIK SEKALI,1
5,A,3
5,B,10
5,BAIK,5
5,BAIK SEKALI,13
6,UNGGUL,54
7,UNGGUL,6
8,BAIK SEKALI,3
9,B,3
10,BAIK,3
11,TIDAK TERAKREDITASI,3
11,UNGGUL,9
12,BAIK SEKALI,4
13,BAIK SEKALI,3
14,BAIK SEKALI,1
14,C,4
15,B,5
15,BAIK,1
16,B,3
17,UNGGUL,3
18,BAIK SEKALI,3
19,BAIK SEKALI,3
20,B,3
21,UNGGUL,3
22,UNGGUL,3
23,B,2
23,BAIK,1
24,B,2
24,BAIK,1
25,UNGGUL,3

3. Range Biaya per Cluster:
Cluster,Biaya_Min,Biaya_Max,Biaya_Rata
1,800000.0,545525000.0,22088183.007678676
2,5000000.0,95259501.0,38281951.741935484
3,2512650000.0,2512650000.0,2512650000.0
4,5900000.0,10000000.0,7650000.0
5,3950000.0,72100000.0,17838238.93548387
6,5000000.0,95259501.0,28907201.0
7,10000000.0,26750000.0,17255733.333333332
8,51000000.0,51000000.0,51000000.0
9,722275000.0,722275000.0,722275000.0
10,126000000.0,126000000.0,126000000.0
11,7410000.0,62000000.0,30491250.083333332
12,48115001.0,48115001.0,48115001.0
13,168250000.0,168250000.0,168250000.0
14,5850000.0,51000000.0,24190000.0
15,4000000.0,12000000.0,8516666.666666666
16,43995014537456.0,43995014537456.0,43995014537456.0
17,75800000.0,93250000.0,81616666.66666667
18,2000.0,2000.0,2000.0
19,13500000.0,51500000.0,32033333.333333332
20,19270000.0,30000001.0,24756667.333333332
21,142200000.0,142200000.0,142200000.0
22,26000000.0,93250000.0,65016666.666666664
23,12.0,20.0,14.666666666666666
24,23750002779025.0,24000004650000.0,23833336736016.668
25,20000000.0,26000000.0,22000000.0
