Cluster,Jumlah_PTS,Jumlah_Prodi,Akreditasi_Institusi,Akreditasi_Prodi,Provinsi_Dominan,Jenis,Fakultas_Dominan,Biaya_Min,Biaya_Max,Biaya_Rata
Cluster 1,785,1693,BAIK,BAIK,JAWA TIMUR,SWASTA,-,800000.0,545525000.0,22088183.007678676
Cluster 2,14,31,UNGGUL,UNGGUL,JAWA TIMUR,SWASTA,-,5000000.0,95259501.0,38281951.741935484
Cluster 3,1,8,A,A,JAWA BARAT,SWASTA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,2512650000.0,2512650000.0,2512650000.0
Cluster 4,4,4,BAIK,TERAKREDITASI SEMENTARA,SULAWESI SELATAN,SWASTA,-,5900000.0,10000000.0,7650000.0
Cluster 5,29,31,BAIK SEKALI,UNGGUL,JAWA TENGAH,SWASTA,-,3950000.0,72100000.0,17838238.93548387
Cluster 6,27,54,UNGGUL,BAIK,JAWA TENGAH,SWASTA,-,5000000.0,95259501.0,28907201.0
Cluster 7,3,6,UNGGUL,B,BALI,SWASTA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,10000000.0,26750000.0,17255733.333333332
Cluster 8,1,3,BAIK SEKALI,C,D.K.I. JAKARTA,SWASTA,SCHOOL OF APPLIED STEM,51000000.0,51000000.0,51000000.0
Cluster 9,1,3,B,BAIK SEKALI,D.K.I. JAKARTA,SWASTA,FAKULTAS TEKNOLOGI INFORMASI,722275000.0,722275000.0,722275000.0
Cluster 10,1,3,BAIK,BAIK SEKALI,D.K.I. JAKARTA,SWASTA,FAKULTAS SAINS DAN KOMPUTER,126000000.0,126000000.0,126000000.0
Cluster 11,5,12,UNGGUL,BAIK,SUMATERA UTARA,SWASTA,-,7410000.0,62000000.0,30491250.083333332
Cluster 12,1,4,BAIK SEKALI,C,LAMPUNG,SWASTA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,48115001.0,48115001.0,48115001.0
Cluster 13,1,3,BAIK SEKALI,UNGGUL,SULAWESI SELATAN,SWASTA,-,168250000.0,168250000.0,168250000.0
Cluster 14,4,5,C,-,DKI JAKARTA,SWASTA,-,5850000.0,51000000.0,24190000.0
Cluster 15,5,6,B,UNGGUL,SULAWESI SELATAN,SWASTA,-,4000000.0,12000000.0,8516666.666666666
Cluster 16,1,3,B,B,SUMATERA UTARA,SWASTA,-,43995014537456.0,43995014537456.0,43995014537456.0
Cluster 17,2,3,UNGGUL,-,D.K.I. JAKARTA,SWASTA,FAKULTAS AGAMA ISLAM,75800000.0,93250000.0,81616666.66666667
Cluster 18,1,3,BAIK SEKALI,BAIK SEKALI,JAWA TIMUR,SWASTA,-,2000.0,2000.0,2000.0
Cluster 19,3,3,BAIK SEKALI,UNGGUL,D.K.I. JAKARTA,SWASTA,-,13500000.0,51500000.0,32033333.333333332
Cluster 20,3,3,B,-,SUMATERA UTARA,SWASTA,FAKULTAS PERTANIAN,19270000.0,30000001.0,24756667.333333332
Cluster 21,1,3,UNGGUL,BAIK SEKALI,JAWA TIMUR,SWASTA,FAKULTAS TEKNIK,142200000.0,142200000.0,142200000.0
Cluster 22,3,3,UNGGUL,-,JAWA BARAT,SWASTA,FAKULTAS KEDOKTERAN,26000000.0,93250000.0,65016666.666666664
Cluster 23,2,3,B,B,JAWA TIMUR,SWASTA,-,12.0,20.0,14.666666666666666
Cluster 24,2,3,B,BAIK,MALUKU,SWASTA,-,23750002779025.0,24000004650000.0,23833336736016.668
Cluster 25,2,3,UNGGUL,C,JAWA TENGAH,SWASTA,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,20000000.0,26000000.0,22000000.0
