faculty,building_name,address,quipper_institution_code
Fakultas Ekonomi dan Bisnis,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",1
Fakultas Psikologi,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",1
Fakultas Ilmu Sosial dan Humaniora,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",1
Fakultas Teknik dan Ilmu Komputer,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",1
Fakultas Kedokteran dan Ilmu Kesehatan,Kampus 2,"Jl. Arjuna Utara no. 6, Jakarta Barat",1
ALL,Kampus 3,"Kokan Permata Blok A no. 6-8, Jl. Boulevard Bukit Gading Raya, Kelapa Gading, Jakarta Utara",1
Event Management,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",2
Culinary Arts,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",2
Hotel Management,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",2
ALL,Cilandak Campus,"Jl. RA. Kartini (TB Simatupang), Cilandak Barat Jakarta Selatan, Jakarta Selatan 12430",3
ALL,Kampus BSD,"BSD City Kavling Edutown I.1 Jl. BSD Raya Utama, BSD City 15339 Kabupaten Tangerang, Indonesia",3
ALL,Kantor PPM Center Jababeka,Kawasan Industri Jababeka 1.  Jl. Jababeka Raya Kav A-2 Cikarang JB 17530 – Indonesia),4
ALL,Kantor PPM Center Surabaya,"Graha Pena, Jl. Ahmad Yani No.88, Ketintang, Gayungan, Kota SBY, Jawa Timur 60234",4
Ekonomi,Kampus Utama,"Jl. Menteng Raya No.9-19, RT.1/RW.10, Kb. Sirih, Menteng, Jakarta Pusat, DKI Jakarta 10340",4
ALL,Kantor PPM Center Makassar,"Jl. Boto Lempangan No.52, Sawerigading, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90115",4
Fakultas Teknologi Industri,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Teknik,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Hukum,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Teknobiologi,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Bisnis dan Ekonomika,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Ilmu Sosial dan Politik,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Program Internasional,Universitas Atma Jaya Yogyakarta,Jl. Babarsari 44 Yogyakarta 55281,5
Fakultas Keguruan dan Ilmu Pendidikan,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Ilmu Komunikasi,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Ilmu Komputer,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Teknik,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Fisioterapi,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Desain dan Industri Kreatif,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
Fakultas Ekonomi dan Bisnis,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",6
