faculty,building_name,address,institution_code
ALL,Kantor PPM Center Jababeka,Kawasan Industri Jababeka 1.  Jl. Jababeka Raya Kav A-2 Cikarang JB 17530 – Indonesia,quipper-1
ALL,Kantor PPM Center Surabaya,"Graha Pena, Jl. Ahmad Yani No.88, Ketintang, Gayungan, Kota SBY, Jawa Timur 60234",quipper-1
EKONOMI,Kampus Utama,"Jl. Menteng Raya No.9-19, RT.1/RW.10, Kb. Sirih, Menteng, Jakarta Pusat, DKI Jakarta 10340",quipper-1
ALL,Kantor PPM Center Makassar,"Jl. Boto Lempangan No.52, Sawerigading, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90115",quipper-1
ALL,Cilandak Campus,"Jl. RA. Kartini , Cilandak Barat Jakarta Selatan, Jakarta Selatan 12430",quipper-2
ALL,Kampus BSD,"BSD City Kavling Edutown I.1 Jl. BSD Raya Utama, BSD City 15339 Kabupaten Tangerang, Indonesia",quipper-2
EVENT MANAGEMENT,Politeknik Internasional Bali,"Jalan Pantai Nyanyi, Beraban",quipper-3
CULINARY ARTS,Politeknik Internasional Bali,"Jalan Pantai Nyanyi, Beraban",quipper-3
HOTEL MANAGEMENT,Politeknik Internasional Bali,"Jalan Pantai Nyanyi, Beraban",quipper-3
FAKULTAS EKONOMI DAN BISNIS,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
FAKULTAS PSIKOLOGI,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
FAKULTAS ILMU SOSIAL DAN HUMANIORA,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,Kampus 2,"Jl. Arjuna Utara no. 6, Jakarta Barat",quipper-4
ALL,Kampus 3,"Kokan Permata Blok A no. 6-8, Jl. Boulevard Bukit Gading Raya, Kelapa Gading, Jakarta Utara",quipper-4
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS ILMU KOMUNIKASI,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS ILMU KOMPUTER,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS TEKNIK,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS FISIOTERAPI,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS EKONOMI DAN BISNIS,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
FAKULTAS PSIKOLOGI,Universitas Esa Unggul,"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
