institution_name,province,campus_accreditation,average_yearly_fee,kategori_final,link
SEKOLAH TINGGI TEKNIK ISKANDAR THANI,ACEH,BAIK,32400000.0,ACEH - Menengah (15-40 Jt) - Baik,-
STIKES DARUSSALAM LHOKSEUMAWE,ACEH,BAIK,28000000.0,ACEH - Menengah (15-40 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH ACEH,ACEH,BAIK SEKALI,15505000.0,ACEH - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-muhammadiyah-aceh
STIKES MEDIKA SERAMOE BARAT,ACEH,BAIK,11400000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS JABAL GHAFUR,ACEH,BAIK SEKALI,10000000.0,ACEH - Terjangkau (5-15 Jt) - Baik Sekali (B),https://campus.quipper.com/directory/universitas-jabal-ghafur
UNIVERSITAS BINA BANGSA GETSEMPENA,ACEH,TERAKREDITASI,9300000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SAINS CUT NYAK DHIEN,ACEH,BAIK,9000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
STIKES MEDIKA NURUL ISLAM,ACEH,BAIK,8000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
STKIP MUHAMMADIYAH ACEH BARAT DAYA,ACEH,BAIK,7000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
STIKES BUSTANUL ULUM LANGSA,ACEH,BAIK,6600000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS MUHAMMADIYAH MAHAKARYA ACEH,ACEH,BAIK SEKALI,6600000.0,ACEH - Sangat Hemat (< 5 Jt) - Baik Sekali (B),-
UNIVERSITAS ISLAM KEBANGSAAN INDONESIA,ACEH,BAIK,6400000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
STIKES ASSYIFA ACEH,ACEH,BAIK,6400000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS SERAMBI MEKKAH,ACEH,BAIK,6300000.0,ACEH - Terjangkau (5-15 Jt) - Baik,https://campus.quipper.com/directory/universitas-serambi-mekkah
UNIVERSITAS ISKANDAR MUDA,ACEH,BAIK,6000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
STIKES MUHAMMADIYAH LHOKSEUMAWE,ACEH,BAIK,6000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN SIHAT BEURATA BANDA ACEH,ACEH,BAIK,6000000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
AMIK JABAL GHAFUR,ACEH,TIDAK TERAKREDITASI,5900000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
SEKOLAH TINGGI ILMU KESEHATAN JABAL GHAFUR,ACEH,BAIK,5900000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS GAJAH PUTIH,ACEH,BAIK,5900000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
UNIVERSITAS BUMI PERSADA,ACEH,BAIK,5600000.0,ACEH - Terjangkau (5-15 Jt) - Baik,-
