quipper_institution_code,email,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
1,admisi@ukrida.ac.id,Universitas Kristen Krida Wacana (Ukrida),Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-krida-wacana,Rp 12.000.000 kisaran per-semester (non-kedokteran),3000,300,"{""website"": ""www.ukrida.ac.id"", ""email"": ""admisi@ukrida.ac.id"", ""phone"": ""021-5669999, 021-5666952, ext 1171/1172, 081280961970""}","Universitas Kristen Krida Wacana (UKRIDA) merupakan perguruan tinggi swasta yang berdiri sejak tahun 1967 di bawah naungan GKI Sinode Jakarta Barat. UKRIDA memiliki tiga kampus dan dua rumah sakit pendidikan, dengan 5 fakultas dan 13 program studi, serta didukung program soft skills untuk menyiapkan mahasiswanya siap terjun di dunia karier.",{}
2,admission@pib.ac.id,Politeknik Internasional Bali,Politeknik Swasta,https://campus.quipper.com/directory/politeknik-internasional-bali,Culinary Arts: Rp35.000.000 per semester | Hotel Management: Rp16.500.000 per semester | Event Management: Rp15.500.000 per semester | Digital Business: Rp10.656.250 per semester,,,"{""website"": ""www.pib.ac.id"", ""email"": ""admission@pib.ac.id"", ""phone"": ""085157377153""}","Politeknik Internasional Bali (PIB), The Leading Vocational Campus for Tourism, Digital, and Creative Industries, secara resmi didirikan melalui Surat Keputusan Kementerian Riset, Teknologi, dan Pendidikan Tinggi Republik Indonesia No.187/KPT/I/2017.",{}
3,info@prasetiyamulya.ac.id,Universitas Prasetiya Mulya,Universitas Swasta,https://campus.quipper.com/directory/universitas-prasetiya-mulya,Rp 22.000.000 – Rp 25.000.000 kisaran per-semester,4704,185,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""info@prasetiyamulya.ac.id"", ""phone"": ""(021) 304-50-500 / 0815-1166-2005""}","Universitas Prasetiya Mulya, atau yang lebih dikenal dengan nama Prasmul, didirikan pada tahun 1982 berkat inisiasi lebih dari 70 pengusaha Indonesia terkemuka kala itu, di antaranya Soedono Salim (Salim Group), William Soeryadjaya (Astra International), Susanta Lyman (Lyman Group), dan Eka Tjipta Widjaja (Sinarmas Group) yang berkolaborasi dengan para akademisi seperti Harry Tjan Silalahi dan Jusuf Wanandi. Awalnya, Prasetiya Mulya lahir sebagai pionir program MBA di Indonesia dan berkembang dengan menghadirkan program S1 tahun 2005.",{}
4,smb-ppm@ppm-manajemen.ac.id,PPM School of Management,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/ppm-school-of-management,Rp6.000.000 kisaran per-semester,938,82,"{""website"": ""www.ppmschool.ac.id"", ""email"": ""smb-ppm@ppm-manajemen.ac.id"", ""phone"": ""0878-7618-5364""}","PPM School of Management merupakan pelopor dan salah satu institusi lembaga pendidikan yang unggul di bidang studi Manajemen di Indonesia. Bentuk keunggulan kampus ini antara lain menjalin kemitraan dengan berbagai organisasi baik organisasi pemerintah, BUMN, swasta atau pun organisasi nirlaba dalam berbagi pengalaman di bidang pembelajaran teori dan praktik manajemen. Dengan kerja sama ini tentu kamu akan mendapatkan banyak pengalaman, terutama di bidang praktisi pada saat kuliah nanti, Quipperian! Selain itu, untuk memperkaya pengetahuan mahasiswanya, PPM School of Management merancang kurikulum yang terintegrasi dengan soft skill development hingga sertifikasi yang memudahkan lulusannya berkarier di berbagai negara di dunia. Kampus ini juga memiliki berbagai kegiatan pertukaran mahasiswa ke berbagai universitas yang tersebar di Australia, Prancis, Korea, India, Taiwan, Vietnam, dan negara ASEAN lainnya. Keren banget, kan?",{}
5,kkp.promosi@uajy.ac.id,Universitas Atma Jaya Yogyakarta (UAJY),Universitas Swasta,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta,Rp9.000.000 kisaran per-semester,,,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}","Pendirian Universitas Atma Jaya Yogyakarta digagas dan diawali oleh Pengurus Ikatan Sarjana Katolik (ISKAT) cabang Yogyakarta. Pada tanggal 13 Mei 1965, terbentuklah Yayasan Universitas Katolik Indonesia Atma Jaya Cabang Yogyakarta, yang sekarang menjadi Yayasan Slamet Rijadi Yogyakarta.",{}
6,humas@esaunggul.ac.id,Universitas Esa Unggul (UEU),Universitas Swasta,https://campus.quipper.com/directory/universitas-esa-unggul,Rp11.000.000 - Rp14.000.000 kisaran per-semester,15749,592,"{""website"": ""www.esaunggul.ac.id"", ""email"": ""humas@esaunggul.ac.id"", ""phone"": ""021-5674223""}","Universitas Esa Unggul didirikan tahun 1993 di bawah naungan Yayasan Pendidikan Kemala Mencerdaskan Bangsa. Universitas Esa Unggul adalah Perguruan Tinggi Swasta terkemuka dan menjadi salah satu universitas swasta terbaik di Indonesia yang memiliki visi, Menjadi perguruan tinggi kelas dunia berbasis intelektualitas, kreatifitas dan kewirausahaan yang unggul dalam mutu pengelolaan (proses) dan hasil (output) kegiatan Tridharma Perguruan Tinggi. Adapun misinya adalah: menyelenggarakan pendidikan yang bermutu dan relevan, menciptakan suasana akademik yang kondusif, dan menciptakan pemimpin yang berkarakter dan berdaya saing tinggi.",{}
7,sttaa@sttaa.ac.id,Sekolah Tinggi Teologi Amanat Agung,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/sekolah-tinggi-teologi-amanat-agung,Rp20.000.000 - Rp32.000.000 (selama masa studi),79,19,"{""website"": ""sttaa.ac.id"", ""email"": ""sttaa@sttaa.ac.id"", ""phone"": ""021 5835 7685""}",Sekolah Tinggi Teologi (STT) Amanat Agung adalah lembaga pendidikan teologi yang didirikan oleh Sinode Gereja Kristus Yesus pada tahun 1997 dengan misi menghasilkan pekerja-pekerja bermutu bagi pekerjaan di ladang Tuhan. Sekolah tinggi ini berkomitmen untuk mempersiapkan dan menghasilkan rohaniwan berwawasan Pastor-Theologian.,{}
8,humas@stikes-yrsds.ac.id,STIKES Yayasan RS Dr. Soetomo,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-yayasan-rs-dr-soetomo,Rp5.500.000-Rp6.500.000 per semester,429,24,"{""website"": ""www.stikes-yrsds.ac.id"", ""email"": ""humas@stikes-yrsds.ac.id"", ""phone"": ""031-59181757""}","Sekolah Tinggi Ilmu Kesehatan Yayasan RSUD Dr. Soetomo (STIKES Yayasan RS Dr. Soetomo) Surabaya adalah perguruan tinggi swasta yang berada di bawah naungan Yayasan RSUD Dr. Soetomo Surabaya. Pada awal didirikan, kampus ini bernama Akademi Perekam Medis dan Informatika Kesehatan (APIKES) PENA HUSADA SURABAYA. Seiring berkembangnya waktu, APIKES berubah menjadi STIKES dan saat ini memiliki dua jenjang pendidikan yaitu program diploma dan sarjana.",{}
9,"humas@unida.ac.id, pmb@unida.ac.id",Universitas Djuanda,Universitas Swasta,https://campus.quipper.com/directory/universitas-djuanda,Rp4.000.000 semester,6507,241,"{""website"": ""www.unida.ac.id"", ""email"": ""humas@unida.ac.id, pmb@unida.ac.id"", ""phone"": ""0251-8240773, 0251-8240985""}","Universitas Djuanda adalah salah satu perguruan tinggi swasta di Bogor yang didirikan pada tanggal 21 Maret 1987 di bawah naungan Yayasan Pusat Studi dan Pengembangan Islam Amaliyah Indonesia. Nama Djuanda diabadikan menjadi nama perguruan tinggi ini sebagai bentuk penghormatan kepada pahlawan kemerdekaan nasional berdarah sunda, Ir. H. Djoeanda Kartawidjaja yang banyak berkiprah di bidang pemerintahan di Republik Indonesia.",{}
10,info@STIKesmuhcrb.ac.id,STIKes Muhammadiyah Cirebon,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/stikes-muhammadiyah-cirebon,Rp5.500.000-Rp18.100.000 per-semester,309,27,"{""website"": ""STIKesmuhcrb.ac.id"", ""email"": ""info@STIKesmuhcrb.ac.id"", ""phone"": ""0231-490677""}","STIKes Muhammadiyah Cirebon adalah salah satu Amal Usaha Muhammadiyah (AUM) yang berdiri sejak 31 Juli 2006 sebagai bentuk transformasi dari Akademi Kebidanan Muhammadiyah Cirebon. Sebagai kampus Muhammadiyah, STIKes Muhammadiyah Cirebon memiliki Catur Darma Perguruan Tinggi sebagai fungsi keberadaannya sebagai institusi Perguruan Tinggi yaitu Pendidikan dan Pengajaran, Penelitian, Pengabdian kepada Masyarakat dan Al-Islam Kemuhammadiyahan. Awal pendirian STIKes Muhammadiyah Cirebon berangkat dari prinsip persyarikatan Muhammadiyah sebagai gerakan Islam amar ma’ruf nahi munkar yang bergerak di bidang pendidikan kesehatan dan kesejahteraan sosial.",{}
