quipper_institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
1,POLITEKNIK INTERNASIONAL BALI,POLITEKNIK SWASTA,https://campus.quipper.com/directory/politeknik-internasional-bali,Culinary Arts: Rp35.000.000 per semester | Hotel Management: Rp16.500.000 per semester | Event Management: Rp15.500.000 per semester | Digital Business: Rp10.656.250 per semester,-1.0,-1.0,"{""website"": ""www.pib.ac.id"", ""email"": ""admission@pib.ac.id"", ""phone"": ""085157377153""}","Politeknik Internasional Bali , The Leading Vocational Campus for Tourism, Digital, and Creative Industries, secara resmi didirikan melalui Surat Keputusan Kementerian Riset, Teknologi, dan Pendidikan Tinggi Republik Indonesia No.187/KPT/I/2017.",{}
2,PPM SCHOOL OF MANAGEMENT,SEKOLAH TINGGI SWASTA,https://campus.quipper.com/directory/ppm-school-of-management,Rp6.000.000 kisaran per-semester,938.0,82.0,"{""website"": ""www.ppmschool.ac.id"", ""email"": ""smb-ppm@ppm-manajemen.ac.id"", ""phone"": ""0878-7618-5364""}","PPM School of Management merupakan pelopor dan salah satu institusi lembaga pendidikan yang unggul di bidang studi Manajemen di Indonesia. Bentuk keunggulan kampus ini antara lain menjalin kemitraan dengan berbagai organisasi baik organisasi pemerintah, BUMN, swasta atau pun organisasi nirlaba dalam berbagi pengalaman di bidang pembelajaran teori dan praktik manajemen. Dengan kerja sama ini tentu kamu akan mendapatkan banyak pengalaman, terutama di bidang praktisi pada saat kuliah nanti, Quipperian! Selain itu, untuk memperkaya pengetahuan mahasiswanya, PPM School of Management merancang kurikulum yang terintegrasi dengan soft skill development hingga sertifikasi yang memudahkan lulusannya berkarier di berbagai negara di dunia. Kampus ini juga memiliki berbagai kegiatan pertukaran mahasiswa ke berbagai universitas yang tersebar di Australia, Prancis, Korea, India, Taiwan, Vietnam, dan negara ASEAN lainnya. Keren banget, kan?",{}
3,UNIVERSITAS PRASETIYA MULYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-prasetiya-mulya,Rp 22.000.000 – Rp 25.000.000 kisaran per-semester,4704.0,185.0,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""info@prasetiyamulya.ac.id"", ""phone"": "" 304-50-500 / 0815-1166-2005""}","Universitas Prasetiya Mulya, atau yang lebih dikenal dengan nama Prasmul, didirikan pada tahun 1982 berkat inisiasi lebih dari 70 pengusaha Indonesia terkemuka kala itu, di antaranya Soedono Salim , William Soeryadjaya , Susanta Lyman , dan Eka Tjipta Widjaja  yang berkolaborasi dengan para akademisi seperti Harry Tjan Silalahi dan Jusuf Wanandi. Awalnya, Prasetiya Mulya lahir sebagai pionir program MBA di Indonesia dan berkembang dengan menghadirkan program S1 tahun 2005.",{}
4,UNIVERSITAS KRISTEN KRIDA WACANA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-kristen-krida-wacana,Rp 12.000.000 kisaran per-semester,3000.0,300.0,"{""website"": ""www.ukrida.ac.id"", ""email"": ""admisi@ukrida.ac.id"", ""phone"": ""021-5669999, 021-5666952, ext 1171/1172, 081280961970""}","Universitas Kristen Krida Wacana  merupakan perguruan tinggi swasta yang berdiri sejak tahun 1967 di bawah naungan GKI Sinode Jakarta Barat. UKRIDA memiliki tiga kampus dan dua rumah sakit pendidikan, dengan 5 fakultas dan 13 program studi, serta didukung program soft skills untuk menyiapkan mahasiswanya siap terjun di dunia karier.",{}
5,UNIVERSITAS ATMA JAYA YOGYAKARTA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta,Rp9.000.000 kisaran per-semester,-1.0,-1.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}","Pendirian Universitas Atma Jaya Yogyakarta digagas dan diawali oleh Pengurus Ikatan Sarjana Katolik  cabang Yogyakarta. Pada tanggal 13 Mei 1965, terbentuklah Yayasan Universitas Katolik Indonesia Atma Jaya Cabang Yogyakarta, yang sekarang menjadi Yayasan Slamet Rijadi Yogyakarta.",{}
6,UNIVERSITAS ESA UNGGUL,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-esa-unggul,Rp11.000.000 - Rp14.000.000 kisaran per-semester,15749.0,592.0,"{""website"": ""www.esaunggul.ac.id"", ""email"": ""humas@esaunggul.ac.id"", ""phone"": ""021-5674223""}","Universitas Esa Unggul didirikan tahun 1993 di bawah naungan Yayasan Pendidikan Kemala Mencerdaskan Bangsa. Universitas Esa Unggul adalah Perguruan Tinggi Swasta terkemuka dan menjadi salah satu universitas swasta terbaik di Indonesia yang memiliki visi, Menjadi perguruan tinggi kelas dunia berbasis intelektualitas, kreatifitas dan kewirausahaan yang unggul dalam mutu pengelolaan  dan hasil  kegiatan Tridharma Perguruan Tinggi. Adapun misinya adalah: menyelenggarakan pendidikan yang bermutu dan relevan, menciptakan suasana akademik yang kondusif, dan menciptakan pemimpin yang berkarakter dan berdaya saing tinggi.",{}
7,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-katolik-indonesia-atma-jaya,Rp5.000.000-Rp15.000.000 per semester,9484.0,454.0,"{""website"": ""www.atmajaya.ac.id"", ""email"": ""corcomm@atmajaya.ac.id"", ""phone"": ""081298988960""}","Universitas Katolik Indonesia Atma Jaya Unika Atma Jaya merupakan salah satu Perguruan Tinggi Swasta terbaik se-Indonesia. Unika Atma Jaya mendapatkan akreditasi A dari Badan Akreditasi Nasional Perguruan Tinggi . Salah satu prestasi yang telah diraih yaitu masuk dalam daftar 50 Promising Indonesian Universities dari Direktorat Jenderal Pendidikan Tinggi . Selain itu, Unika Atma Jaya merupakan salah satu dari 17 Perguruan Tinggi Indonesia Terbaik Peringkat Asia versi Quacquarelli Symonds  Asia University Rankings 2018. Pada tahun 2020, kampus ini juga meraih bintang lima untuk kategori Online Learning Pemeringkatan yang dilakukan oleh lembaga peringkat dunia berbasis di London, Quacquarelli Symonds  Stars. Kini, Unika Atma Jaya memiliki 3 lokasi yaitu Kampus 1 Semanggi, Kampus 2 Pluit dan Kampus 3 BSD.",{}
8,UNIVERSITAS PRAMITA INDONESIA,UNIVERSITAS SWASTA,https://campus.quipper.com/directory/universitas-pramita-indonesia,Rp395.000 per bulan,1500.0,80.0,"{""website"": ""www.unpri.ac.id"", ""email"": ""marketingunpri@gmail.com"", ""phone"": ""081381862747""}","Universitas Pramita Indonesia  adalah perguruan tinggi inovatif yang banyak menjalin kemitraan dengan industri dan pemerintah. UNPRI menjawab kebutuhan generasi muda yang memerlukan pendidikan perguruan tinggi dalam mempersiapkan diri menjadi sumber daya manusia yang terdidik, unggul, dan link and match  dengan Dunia Usaha, Dunia Industri, dan Dunia Kerja  di Kabupaten Tangerang dan Provinsi Banten di lingkungan yang inklusif serta kolaboratif.",{}
9,POLITEKNIK PELAYARAN SURABAYA,POLITEKNIK NEGERI,https://campus.quipper.com/directory/politeknik-pelayaran-surabaya,Rp1.800.000 - Rp9.100.000 per semester,1226.0,73.0,"{""website"": ""www.poltekpel-sby.ac.id"", ""email"": ""info@poltekpel-sby.ac.id"", ""phone"": ""031-8714673, 8714643""}","Politeknik Pelayaran Surabaya berada di bawah naungan Kementerian Perhubungan Indonesia. Pada awal berdirinya, kampus ini bernama Balai Pendidikan dan Pelatihan Ilmu Pelayaran  Surabaya. Politeknik Pelayaran Surabaya siap mendidik tarunanya menjadi GIAT, yang merupakan akronim dari Gigih, Integritas, Amanah, dan Terampil. Nah, apakah Quipperian sedang mencari kampus di bidang pelayaran? Yuk, kenali kampus ini lebih jauh!",{}
10,INSTITUT BISNIS DAN INFORMATIKA KWIK KIAN GIE,INSTITUT SWASTA,https://campus.quipper.com/directory/institut-bisnis-dan-informatika-kwik-kian-gie,14.500.000 per-semester,2784.0,102.0,"{""website"": ""kwikkiangie.ac.id"", ""email"": ""rektorat@kwikkiangie.ac.id"", ""phone"": ""021-65307062""}","Cikal bakal berdirinya Institut Bisnis dan Informatika Kwik Kian Gie bermula dari inisiatif dua tokoh penting di Indonesia. Dengan semangat untuk berkontribusi membangun Indonesia melalui pendidikan, Kwik Kian Gie dan Djoenaedi Joesoef sepakat mendirikan lembaga pendidikan bertaraf internasional. Kwik Kian Gie adalah ekonom yang berkecimpung dalam dunia politik. Beliau pernah menjabat Menko Ekuin dan Kepala Bapenas pada pemerintahan Presiden Abdurrahman Wahid. Djoenaedi Joesoef adalah pendiri PT Konimex yang berpusat di Solo. Beliau adalah penerima anugerah Entrepreneur of The Year 2003 dari lembaga Ernst & Young, sebuah penghargaan yang mengakui kiprahnya sebagai pengusaha tingkat dunia. Di tahun 1987, kedua tokoh berprestasi ini mendirikan Institut Bisnis Indonesia  dan Yayasan Institut Bisnis Indonesia sebagai pengelolanya.",{}
