institution_code,institution_name,email,akreditasi_institusi,link
1,AKADEMI AKUPUNKTUR SURABAYA,"AKADEMI.AKUPUNKTUR@GMAIL.COM, AASI@SBY.DNET.NET.ID",BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74003
2,AKADEMI ANALIS FARMASI DAN MAKANAN SUNAN GIRI,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74100
3,AKADEMI ANALIS KESEHATAN DELIMA HUSADA GRESIK,AAKDELIMAHUSADAGRESIK@YAHOO.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74121
4,AKADEMI ANALIS KESEHATAN MALANG,AAKMAL_CIP@YAHOO.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74108
5,AKADEMI FARMASI MITRA SEHAT MANDIRI SIDOARJO,"AKAFARMA.MITRASEHAT@YAHOO.CO.ID,AKFARMITRASEHATMS@YAHOO.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74117
6,AKADEMI FARMASI SURABAYA,AKFAR.SBY@GMAIL.COM,BAIK SEKALI,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74129
7,AKADEMI FARMASI YANNAS HUSADA BANGKALAN,AKFARYANNASHUSADAMADURA@GMAIL.COM,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74131
8,AKADEMI GIZI KARYA HUSADA KEDIRI,GIZIKHKEDIRI@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74128
9,AKADEMI KEBIDANAN AIFA HUSADA,"AKBID@AIFAHUSADA.COM, AIFA_HUSADA@YAHOO.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74095
10,AKADEMI KEBIDANAN AR-RAHMA,MAIL@AKBIDARRAHMA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74096
11,AKADEMI KEBIDANAN BERLIAN NUSANTARA,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74110
12,AKADEMI KEBIDANAN DHARMA PRAJA BONDOWOSO,DPRAJA@AKBIDDHARMAPRAJA.AC.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74115
13,AKADEMI KEBIDANAN GLOBAL MEDIKA,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74114
14,AKADEMI KEBIDANAN MANDIRI GRESIK,AKBIDMANDIRI_GRESIK@YAHOO.CO.ID,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74092
15,AKADEMI KEBIDANAN MITRA SEHAT SIDOARJO,AKBIDMITRASEHATSIDOARJO@YAHOO.CO.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74089
16,AKADEMI KEBIDANAN SAKINAH,AKBID_SAKINAH@YAHOO.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74104
17,AKADEMI KEBIDANAN WAHANA SEHAT SIDOARJO,AKBID_WAHANASEHAT_SDA@YAHOO.CO.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74113
18,AKADEMI KEBIDANAN WIYATA MITRA HUSADA NGANJUK,AKBIDWIMISADA17@GMAIL.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74103
19,AKADEMI KELAUTAN BANYUWANGI,AKABA.BANYUWANGI@YAHOO.COM,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74053
20,AKADEMI KEPERAWATAN BAHRUL ULUM JOMBANG,-,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74038
21,AKADEMI KEPERAWATAN DIAN HUSADA,-,BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74040
22,AKADEMI KEPERAWATAN KOSGORO MOJOKERTO,AKPERKOSGORO@YAHOO.CO.ID / INFO@AKPERKOSGORO.AC.ID,BELUM TERAKREDITASI/KEDALUARSA,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74125
23,AKADEMI KEPERAWATAN PEMERINTAH KABUPATEN NGAWI,"ADMIN@AKPERNGAWI.AC.ID, AKPER_NGAWI@YAHOO.COM",BAIK,HTTPS://LLDIKTI7.KEMDIKBUD.GO.ID/DETAIL-PERGURUAN-TINGGI/74080
