institution_name,institution_code,body_type,link,student_amount,lecturer_amount,contact,description,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,address,province,campus_accreditation,quipper_code,pddikti_code,rencanamu_code,banpt_code
LONDON SCHOOL OF PUBLIC RELATIONS,1,SWASTA,https://rencanamu.id/cari-kampus/london-school-of-public-relations,-1.0,-1.0,Tel: 021-2512277,-,26250000.0,26250000.0,210000000.0,52500000.0,52500000.0,210000000.0,-,DKI JAKARTA,A,-,-,rencanamu-39,-
PRESIDENT UNIVERSITY,2,SWASTA,https://rencanamu.id/cari-kampus/president-university,3910.0,3910.0,Tel: +6221 8910 9762,-,18000000.0,18000000.0,144000000.0,36000000.0,36000000.0,144000000.0,-,JAWA BARAT,A,-,-,rencanamu-51,-
BINUS UNIVERSITY,3,SWASTA,https://rencanamu.id/cari-kampus/binus-university,42305.0,42305.0,Tel: 0804 1 696969,-,17650000.0,17650000.0,141200000.0,35300000.0,35300000.0,141200000.0,-,DKI JAKARTA,A,-,-,rencanamu-9,-
UNIVERSITAS CIPUTRA,4,SWASTA,https://rencanamu.id/cari-kampus/universitas-ciputra,3818.0,3818.0,Tel: +6231 745 1699,-,13600000.0,13600000.0,108800000.0,27200000.0,27200000.0,108800000.0,-,JAWA TIMUR,A,-,-,rencanamu-120,-
TRISAKTI SCHOOL OF MANAGEMENT,5,SWASTA,https://rencanamu.id/cari-kampus/trisakti-school-of-management,3533.0,3533.0,Tel: (021) 56965427,-,13250000.0,13250000.0,106000000.0,26500000.0,26500000.0,106000000.0,-,DKI JAKARTA,A,-,-,rencanamu-87,-
TELKOM UNIVERSITY,6,SWASTA,https://rencanamu.id/cari-kampus/telkom-university,18425.0,18425.0,Tel: +6222 756 4108,-,11000000.0,11000000.0,88000000.0,22000000.0,22000000.0,88000000.0,-,JAWA BARAT,A,-,-,rencanamu-86,-
UNIVERSITAS PELITA HARAPAN SURABAYA,7,SWASTA,https://rencanamu.id/cari-kampus/universitas-pelita-harapan-surabaya,416.0,416.0,Tel: +6231 5825 1007,-,9875000.0,9875000.0,79000000.0,19750000.0,19750000.0,79000000.0,-,JAWA TIMUR,C,-,-,rencanamu-239,-
INSTITUT TEKNOLOGI NASIONAL,8,SWASTA,https://rencanamu.id/cari-kampus/institut-teknologi-nasional,7025.0,7025.0,Tel: +6222 727 2215,-,8362500.0,8362500.0,66900000.0,16725000.0,16725000.0,66900000.0,-,JAWA BARAT,B,-,-,rencanamu-34,-
UNIVERSITAS SAHID JAKARTA,9,SWASTA,https://rencanamu.id/cari-kampus/universitas-sahid-jakarta,4056.0,4056.0,Tel: +6221 83785303,-,7250000.0,7250000.0,58000000.0,14500000.0,14500000.0,58000000.0,-,DKI JAKARTA,B,-,-,rencanamu-256,-
UNIVERSITAS GAJAYANA MALANG,10,SWASTA,https://rencanamu.id/cari-kampus/universitas-gajayana-malang,1476.0,1476.0,Tel: +62341 56 2411,-,4250000.0,4250000.0,34000000.0,8500000.0,8500000.0,34000000.0,-,JAWA TIMUR,B,-,-,rencanamu-133,-
