quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation
quipper-699,-,-,-,AKUNTANSI,AKUNTANSI,AKUNTANSI,S1,-
quipper-642,-,-,-,AKUNTANSI,AKUNTANSI,AKUNTANSI,S1,-
quipper-551,-,-,-,ANALIS KESEHATAN,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,-
quipper-718,-,-,-,FARMASI,FARMASI,FARMASI,S1,-
quipper-424,-,-,-,FARMASI,FARMASI,FARMASI,S1,-
quipper-333,-,-,-,FISIOTERAPI,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,-
quipper-700,-,-,-,ILMU KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-711,-,-,-,KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-676,-,-,-,KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-710,-,-,-,KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-427,-,-,-,KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-538,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-401,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-655,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-381,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-395,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-395,-,-,-,KEPERAWATAN,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,-
quipper-340,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-340,-,-,-,KEPERAWATAN,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,-
quipper-727,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-624,-,-,-,KEBIDANAN,KEBIDANAN,KEBIDANAN,S1,-
quipper-624,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-606,-,-,-,GIZI,GIZI,GIZI,S1,-
quipper-606,-,-,-,KEPERAWATAN,ILMU KEPERAWATAN,KEPERAWATAN,S1,-
quipper-606,-,-,-,KESEHATAN LINGKUNGAN,KESEHATAN MASYARAKAT,KESEHATAN MASYARAKAT,S1,-
quipper-440,-,-,-,KEUANGAN DAN PERBANKAN,PERBANKAN,PERBANKAN,S1,-
quipper-583,-,-,-,ANALISIS KIMIA,KIMIA,KIMIA,S1,-
-,rencanamu-2,-,-,-,KIMIA ANALISIS,KIMIA ANALISIS,S1,C
quipper-399,-,-,-,KOMUNIKASI,HUBUNGAN MASYARAKAT,HUBUNGAN MASYARAKAT,S1,-
quipper-399,-,-,-,KOMUNIKASI,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,-
quipper-477,-,-,-,MANAJEMEN PERHOTELAN,PERHOTELAN,PERHOTELAN,S1,-
quipper-451,-,-,-,TEKNIK MESIN,TEKNIK MESIN,MESIN,S1,-
quipper-533,-,-,-,MANAJEMEN ADMINISTRASI,ILMU ADMINISTRASI,ADMINISTRASI,S1,-
quipper-533,-,-,-,MANAJEMEN ADMINISTRASI,MANAJEMEN,MANAJEMEN,S1,-
-,rencanamu-4,-,-,-,KOMPUTERISASI AKUNTANSI,AKUNTANSI,S1,B
-,rencanamu-4,-,-,-,TEKNIK KOMPUTER,KOMPUTER,S1,B
-,rencanamu-4,-,-,-,MANAJEMEN INFORMATIKA,MANAJEMEN INFORMATIKA,S1,B
quipper-670,-,-,-,MANAJEMEN DAN INFORMATIKA,TEKNIK INFORMATIKA,INFORMATIKA,S1,-
