quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code
quipper-699,-,-,-,AKUNTANSI,,AKUNTANSI,S1,-,1153
quipper-718,-,-,-,FARMASI,,FARMASI,S1,-,442
quipper-424,-,-,-,FARMASI,,FARMASI,S1,-,325
quipper-710,-,-,-,KEBIDANAN,,KEBIDANAN,S1,-,144
quipper-538,-,-,-,KEPERAWATAN,,KEPERAWATAN,S1,-,316
quipper-655,-,-,-,KEPERAWATAN,,KEPERAWATAN,S1,-,372
quipper-381,-,-,-,KEPERAWATAN,,KEPERAWATAN,S1,-,280
quipper-395,-,-,-,KEPERAWATAN,,KEPERAWATAN,S1,-,384
quipper-395,-,-,-,KEPERAWATAN,,KESEHATAN MASYARAKAT,S1,-,384
quipper-440,-,-,-,KEUANGAN DAN PERBANKAN,,PERBANKAN,S1,-,1001
quipper-477,-,-,-,MANAJEMEN PERHOTELAN,,PERHOTELAN,S1,-,478
quipper-533,-,-,-,MANAJEMEN ADMINISTRASI,,ADMINISTRASI,S1,-,1715
quipper-533,-,-,-,MANAJEMEN ADMINISTRASI,,MANAJEMEN,S1,-,1715
quipper-539,-,-,-,MARITIM,,KELAUTAN,S1,-,532
-,rencanamu-7,-,-,-,,PERHOTELAN,S1,B,132
quipper-389,-,-,-,PERHOTELAN,,PERHOTELAN,S1,-,529
quipper-574,-,-,-,SEKRETARIS,,ADMINISTRASI,S1,-,528
quipper-574,-,-,-,MANAJEMEN ADMINISTRASI,,MANAJEMEN,S1,-,528
quipper-429,-,-,-,ILMU KOMUNIKASI,,ILMU KOMUNIKASI,S1,-,186
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,,AKUNTANSI,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,ARSITEKTUR,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,BIOTEKNOLOGI,S1,-,123
quipper-276,-,-,-,SCHOOL OF INFORMATION SYSTEMS,,BISNIS,S1,-,123
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,,BISNIS DIGITAL,S1,-,123
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,,DESAIN,S1,-,123
quipper-276,-,-,-,SCHOOL OF DESIGN,,DESAIN INTERIOR,S1,-,123
quipper-276,-,-,-,SCHOOL OF DESIGN,,DESAIN KOMUNIKASI VISUAL,S1,-,123
quipper-276,-,-,-,SCHOOL OF DESIGN,,FILM,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,GURU SEKOLAH DASAR,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,HUBUNGAN INTERNASIONAL,S1,-,123
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,,HUBUNGAN MASYARAKAT,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,HUKUM,S1,-,123
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,,ILMU KOMUNIKASI,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,INDUSTRI,S1,-,123
quipper-276,-,-,-,SCHOOL OF COMPUTER SCIENCE,,INFORMATIKA,S1,-,123
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,,KEUANGAN,S1,-,123
quipper-276,-,-,-,BUSINESS SCHOOL,,KEWIRAUSAHAAN,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,KOMPUTER,S1,-,123
quipper-276,-,-,-,BUSINESS SCHOOL,,MANAJEMEN BISNIS INTERNASIONAL,S1,-,123
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,,MATEMATIKA,S1,-,123
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,,PARIWISATA,S1,-,123
quipper-276,-,-,-,BUSINESS SCHOOL,,PEMASARAN,S1,-,123
quipper-276,-,-,-,FACULTY OF DIGITAL COMMUNICATION AND HOTEL & TOURISM,,PERHOTELAN,S1,-,123
quipper-276,-,-,-,SCHOOL OF ACCOUNTING,,PERPAJAKAN,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,PSIKOLOGI,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,SASTRA CINA,S1,-,123
quipper-276,-,-,-,FACULTY OF HUMANITIES,,SASTRA JEPANG,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,SIPIL,S1,-,123
quipper-276,-,-,-,MASTER TRACK PROGRAMS,,SISTEM INFORMASI,S1,-,123
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,,SISTEM INFORMASI AKUNTANSI,S1,-,123
quipper-276,-,-,-,DOUBLE DEGREE PROGRAMS,,STATISTIK,S1,-,123
quipper-276,-,-,-,MASTER TRACK PROGRAMS,,TEKNOLOGI INFORMASI,S1,-,123
quipper-276,-,-,-,FACULTY OF ENGINEERING,,TEKNOLOGI PANGAN,S1,-,123
-,-,banpt-4013,-,-,,EKONOMI,S1,B,508
-,-,banpt-4013,-,-,,MATEMATIKA,S1,B,508
-,-,banpt-2207,-,-,,BIMBINGAN KONSELING,S1,B,1103
-,-,banpt-2207,-,-,,BIOLOGI,S1,BAIK,1103
quipper-478,-,banpt-2207,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,,GEOGRAFI,S1,B,1103
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,,GURU,S1,-,1103
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,,INFORMATIKA,S1,-,1103
-,-,banpt-2207,-,-,,JASMANI,S1,B,1103
quipper-478,-,banpt-2207,-,FAKULTAS MIPA DAN TEKNOLOGI,,MATEMATIKA,S1,B,1103
quipper-478,-,-,-,FAKULTAS PENDIDIKAN OLAHRAGA DAN KESEHATAN,,OLAHRAGA,S1,-,1103
quipper-478,-,-,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,,SEJARAH,S1,-,1103
-,-,banpt-2207,-,-,,TEKNOLOGI INFORMASI,S1,B,1103
-,-,banpt-2479,-,-,,ADMINISTRASI NEGARA,S1,BAIK,620
-,-,banpt-2479,-,-,,ADMINISTRASI NIAGA,S1,BAIK SEKALI,620
-,-,banpt-2479,-,-,,BISNIS DIGITAL,S1,BAIK SEKALI,620
-,-,banpt-1793,-,-,,BISNIS DIGITAL,S1,BAIK,1228
-,-,banpt-1793,-,-,,MANAJEMEN,S1,BAIK,1228
-,-,banpt-1793,-,-,,SISTEM INFORMASI,S1,BAIK SEKALI,1228
-,-,banpt-117,-,-,,ADMINISTRASI KESEHATAN,S1,BAIK,1872
-,-,banpt-117,-,-,,MANAJEMEN,S1,BAIK,1872
-,-,banpt-28,-,-,,BIOMEDIS,S1,UNGGUL,87
-,-,banpt-28,-,-,,BIOTEKNOLOGI,S1,UNGGUL,87
-,-,banpt-28,-,-,,FARMASI,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,INFORMATIKA,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,KEWIRAUSAHAAN,S1,B,87
-,-,banpt-28,-,-,,MANAJEMEN BISNIS INTERNASIONAL,S1,BAIK SEKALI,87
-,-,banpt-28,-,-,,TEKNOLOGI PANGAN,S1,B,87
-,-,banpt-1151,-,-,,AKUNTANSI,S1,B,1318
