institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
713,SEKOLAH TINGGI ILMU EKONOMI INDONESIA SURABAYA,JAWA TIMUR,SWASTA,B,ILMU EKONOMI,AKUNTANSI,S1,UNGGUL,11000000.0,5500000.0
31,UNIVERSITAS RESPATI INDONESIA,D.K.I. JAKARTA,SWASTA,B,FAKULTAS ILMU KESEHATAN,KEPERAWATAN,S1,UNGGUL,722275000.0,361137500.0
700,UNIVERSITAS MUHAMMADIYAH PONOROGO,JAWA TIMUR,SWASTA,UNGGUL,FAKULTAS TEKNIK,ELEKTRO,S1,BAIK SEKALI,11200000.0,5600000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS KEDOKTERAN,DOKTER,S1,-,6000000.0,3000000.0
47,UNIVERSITAS MUHAMMADIYAH SURABAYA,JAWA TIMUR,SWASTA,UNGGUL,FAKULTAS ILMU KESEHATAN,FARMASI,S1,BAIK SEKALI,142200000.0,71100000.0
1639,UNIVERSITAS GUNUNG RINJANI,NUSA TENGGARA BARAT,SWASTA,BAIK,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,KEGURUAN &,S1,-,4800000.0,2400000.0
786,UNIVERSITAS MERCU BUANA,D.K.I. JAKARTA,SWASTA,UNGGUL,FAKULTAS TEKNIK,MESIN,S1,UNGGUL,10000000.0,5000000.0
1697,UNIVERSITAS ROYAL,SUMATERA UTARA,SWASTA,B,-,HUKUM,S1,TERAKREDITASI SEMENTARA,4500000.0,2250000.0
713,SEKOLAH TINGGI ILMU EKONOMI INDONESIA SURABAYA,JAWA TIMUR,SWASTA,B,ILMU EKONOMI,MANAJEMEN,S1,UNGGUL,11000000.0,5500000.0
31,UNIVERSITAS RESPATI INDONESIA,D.K.I. JAKARTA,SWASTA,B,PASCASARJANA,ADMINISTRASI RUMAH SAKIT,S1,-,722275000.0,361137500.0
1301,SEKOLAH TINGGI ILMU EKONOMI WIDYA WIWAHA,D.I. YOGYAKARTA,SWASTA,B,ILMU EKONOMI,EKONOMI,S1,-,6250000.0,3125000.0
64,UNIVERSITAS KADIRI,JAWA TIMUR,SWASTA,BAIK SEKALI,ILMU KESEHATAN,KEBIDANAN,S1,BAIK SEKALI,71250000.0,35625000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS TEKNOLOGI INDUSTRI,PERTAMBANGAN,S1,B,6000000.0,3000000.0
352,UNIVERSITAS SANATA DHARMA,D.I. YOGYAKARTA,SWASTA,A,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,GURU SEKOLAH DASAR,S1,UNGGUL,18925000.0,9462500.0
18,UNIVERSITAS HKBP NOMMENSEN,SUMATERA UTARA,SWASTA,B,FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,BAHASA INDONESIA,S1,-,43995014537456.0,21997507268728.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS HUKUM,HUKUM,S1,UNGGUL,6000000.0,3000000.0
664,UNIVERSITAS MUHAMMADIYAH KALIMANTAN TIMUR,KALIMANTAN TIMUR,SWASTA,BAIK SEKALI,FAKULTAS ILMU KESEHATAN DAN FARMASI,KESEHATAN MASYARAKAT,S1,UNGGUL,11985000.0,5992500.0
33,UNIVERSITAS PGRI PALEMBANG,SUMATERA SELATAN,SWASTA,B,-,SOSIAL EKONOMI PERIKANAN,S1,TERAKREDITASI SEMENTARA,401975000.0,200987500.0
1920,UNIVERSITAS STRADA INDONESIA,JAWA TIMUR,SWASTA,BAIK,-,KEBIDANAN,S1,BAIK SEKALI,2.0,1.0
1712,UNIVERSITAS KRISTEN ARTHA WACANA,NUSA TENGGARA TIMUR,SWASTA,B,PASCASARJANA,LAINNYA,S1,-,4400000.0,2200000.0
16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,TEKNOLOGI INDUSTRI PERTANIAN,S1,C,2200000.0,1100000.0
1380,UNIVERSITAS MUSLIM INDONESIA,SULAWESI SELATAN,SWASTA,UNGGUL,FAKULTAS FARMASI,FARMASI,S1,BAIK SEKALI,6000000.0,3000000.0
1118,UNIVERSITAS PAMULANG,BANTEN,SWASTA,C,FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI PERPAJAKAN,S1,-,7300000.0,3650000.0
336,UNIVERSITAS FORT DE KOCK,SUMATERA BARAT,SWASTA,BAIK SEKALI,-,KEPERAWATAN,S1,UNGGUL,19500000.0,9750000.0
202,UNIVERSITAS MALAHAYATI,LAMPUNG,SWASTA,B,FAKULTAS KEDOKTERAN,FARMASI,S1,BAIK SEKALI,27000000.0,13500000.0
47,UNIVERSITAS MUHAMMADIYAH SURABAYA,JAWA TIMUR,SWASTA,UNGGUL,PASCASARJANA,HUKUM EKONOMI SYARIAH,S1,-,142200000.0,71100000.0
1919,UNIVERSITAS MUHAMMADIYAH SIDOARJO,JAWA TIMUR,SWASTA,B,-,GURU MADRASAH IBTIDAIYAH,S1,UNGGUL,12.0,6.0
64,UNIVERSITAS KADIRI,JAWA TIMUR,SWASTA,BAIK SEKALI,ILMU KESEHATAN,KEPERAWATAN,S1,BAIK SEKALI,71250000.0,35625000.0
33,UNIVERSITAS PGRI PALEMBANG,SUMATERA SELATAN,SWASTA,B,-,PERIKANAN,S1,C,401975000.0,200987500.0
1925,UNIVERSITAS TULANG BAWANG,LAMPUNG,SWASTA,BAIK SEKALI,-,INDUSTRI,S1,BAIK,2.0,1.0
388,UNIVERSITAS DR SOETOMO,JAWA TIMUR,SWASTA,BAIK SEKALI,PERTANIAN,AGROBISNIS PERIKANAN,S1,UNGGUL,17520000.0,8760000.0
83,UNIVERSITAS INDO GLOBAL MANDIRI,SUMATERA SELATAN,SWASTA,TERAKREDITASI,-,SISTEM KOMPUTER,S1,B,55000000.0,27500000.0
42,UNIVERSITAS MUHAMMADIYAH PALEMBANG,SUMATERA SELATAN,SWASTA,UNGGUL,-,KOMUNIKASI PENYIARAN ISLAM,S1,C,212024276.0,106012138.0
83,UNIVERSITAS INDO GLOBAL MANDIRI,SUMATERA SELATAN,SWASTA,TERAKREDITASI,-,ARSITEKTUR,S1,BAIK SEKALI,55000000.0,27500000.0
27,UNIVERSITAS PASUNDAN,JAWA BARAT,SWASTA,A,-,SENI MUSIK,S1,B,2512650000.0,1256325000.0
72,INSTITUT KESEHATAN MEDISTRA LUBUK PAKAM,SUMATERA UTARA,SWASTA,UNGGUL,-,KESEHATAN MASYARAKAT,S1,UNGGUL,62000000.0,31000000.0
1767,UNIVERSITAS PROKLAMASI 45,DAERAH ISTIMEWA YOGYAKARTA,SWASTA,B,FAKULTAS EKONOMI,MANAJEMEN,S1,BAIK SEKALI,4000000.0,2000000.0
