id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah,kelompok,pembina,kode_pt,email,no_tel,no_fax,website,alamat,nm_singkat,kode_pos,kecamatan_pt,lintang_pt,bujur_pt,tgl_berdiri_pt,tgl_sk_pendirian_sp,sk_pendirian_sp,akreditasi_pt,status_akreditasi
NN7YGgzomQO79yY59Oh70iQ5NeM2G26YKAaj_qWcVBEROR_Ng5k9Vs_i-nfGK_XpVpMUZQ==,Kab. Deli Serdang,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014134  ,akper_ybs@yahoo.com,061-6620661, 061-6620661, ,Gedung PBSI V Medan Estate ,-,20371,Tidak Diisi,0.0,0.0,2005-03-03T00:00:00Z,2005-03-03T00:00:00Z,24DO2005,-,-
QbRDyPThKAnJ-q7BLun-GbBbV_8iFthV9YJnSuVuHHMf-iLb4Fo2mS_WX5cv-1ornDoe9w==,Kab. Bogor,Prov. Jawa Barat,-,-,Pembinaan,Sekolah Tinggi Ekonomi dan Bisnis Islam Persatuan Ummat Islam Bogor Jawa Barat ,Agama,1,-,Perguruan Tinggi Agama,PTA Islam Swasta,213580  ,-,-,-,-,-,-,-    ,Tidak Diisi,0.0,0.0,2016-12-09T00:00:00Z,2016-12-09T00:00:00Z,Nomor: 6992 tahun 2016,-,-
MJ-o6okhjiaoRZ1YnkAhqwiAecMSrsTM0Gokfka4IBKxd7DsOtk86trgWgTOb2SZMRbfLQ==,Tidak Diisi,Prov. Riau,-,-,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI X,104068  ,akbid_ds2005@yahoo.com,0769-21-877,0769-21-877,-,Jalan Hangtuah No 02 ,-,29318,Tidak Diisi,0.0,0.0,2003-05-07T00:00:00Z,2003-05-07T00:00:00Z,56DO2003,-,-
K9kaaD-SXevOauo2aZabQFwRUeq9XccRd85r4bb1rC0KF0DpYVnsPM33bzjIGh_1LHvlMQ==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,STIA AAN,Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,980.000 - 16.025.000,Perguruan Tinggi Swasta,LLDIKTI V,053019  ,stiaaan79@gmail.com,0274-517471,0274-517471, www.stia-aan.ac.id,Blunyahrejo Karangwaru Tegalrejo,STIA AAN,55241,Kec. Tegalrejo,-7.770327,110.366161,1979-06-07T00:00:00Z,2018-08-01T00:00:00Z,629/KPT/I/2018,Baik Sekali,-
gHKjn1LSS-UHhPZx1tVYR--Zft5rX2RTyYawQ-jlKXuJ3nGElz6Avh0tI6Ow8KeSdIGZNA==,Kota Bandung,Prov. Jawa Barat,-,STAI PENUS,Aktif,Sekolah Tinggi Agama Islam Pelita Nusa Bandung Barat,Agama,3,-,Perguruan Tinggi Agama,PTA Islam Swasta,213731  ,staipelitanusakbb@gmail.com,022-6864385,-,https://staipelitanusa.ac.id/,-,STAI PENUS,-,Tidak Diisi,-6.8573372,107.498559,2021-10-07T00:00:00Z,2021-10-07T00:00:00Z,KMA 1020 th 2021,-,-
fJxJgKRZWcG3B41mA80e5sRiOiZkIS11cpcjLk1knjzp_8doSc4HNDGqBkgKjAP1bUQxSA==,Kota Banda Aceh,Prov. Aceh,Unggul,UINAR,Aktif,Universitas Islam Negeri Ar-Raniry Banda Aceh,Agama,62,400.000 - 2.927.000,Perguruan Tinggi Agama,PTA Islam Negeri,201011  ,uin@ar-raniry.ac.id,0651-7552921,0651-7552922,http://www.uin.ar-raniry.ac.id,Jl. Syeikh Abdur Rauf Kopelma Darussalam Banda Aceh,UINAR,23111,Tidak Diisi,5.5787581,95.3681624,2013-10-01T00:00:00Z,2013-10-01T00:00:00Z,Nomor 64 Tahun 2013,Unggul,-
PWhvDARLIefNFSAzUR06vf4zUdCjO6IfdDte5kDB1H_wT2WiHzxQ5F2rTTKzWJoUOzQ_ag==,Kota Tangerang,Prov. Banten,Baik,STAI Asy-Syukriyyah,Aktif,STAI Asy-Syukriyyah Tangerang,Agama,6,-,Perguruan Tinggi Agama,PTA Islam Swasta,213460  ,info@asy-syukriyyah.ac.id,021 5544515,021 5544515,http://asy-syukriyyah.ac.id/,-,STAI Asy-Syukriyyah,-,Tidak Diisi,-6.1867884,106.658374,2002-08-09T00:00:00Z,2002-08-09T00:00:00Z,111,Baik,-
7ji7PJ6G4r6lmoRKLnuqnhcij3BLbRzGS97DSX98XAxrRcMt3ZfS78spJDUsFyTiR7P-Jw==,Kab. Banyuasin,Prov. Sumatera Selatan,Baik,STTS,Aktif,STT Sriwijaya Palembang,Agama,3,3.600.000 - 6.000.000,Perguruan Tinggi Agama,PTA Kristen Swasta,233312  ,sttsriwijaya@yahoo.com,085382537709, , www.stt-sriwijaya.ac.id,-,STTS,-,Tidak Diisi,-2.8020867,104.4565783,2014-07-25T00:00:00Z,2014-07-25T00:00:00Z,Dj.III/Kep/HK.00.5/217/2014,Baik,-
KvG0yW6bOJWuSRC9XyzYx6W-A_S8xtz3RI3IZug6GXpUSmawilKqCzyXBfWjBZ1wwAREQA==,Kab. Toba Samosir,Prov. Sumatera Utara,-,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014227  ,akfar.arjuna@gmail.com,(0632) 331380,(0632) 331380,-,Jl. Arjuna Pintubosi - Laguboti Kecamatan Laguboti Kabupaten Toba Samosir,Akademi Farmasi,22381,Kec. Lagu Boti,0.0,0.0,2010-12-23T00:00:00Z,2010-12-23T00:00:00Z,242/D/O/2010,-,-
Wgw9ysK3_EktH1ptZMkEE0HpJrJxfGCsgYQ-NkDhHFUOV5hEPlZlvGEejRxgXEWfpYBaqQ==,Kota Surakarta,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064166  ,office@akbara.ac.id,0271-655 505,0271-664881,www.akbara.ac.id,Jl. Kol. Sutarto 58 Jebres  Surakarta,-,57126,Kec. Jebres,-7.5471414,110.8498705,2016-06-09T00:00:00Z,2016-06-09T00:00:00Z,202/KPT/I/2016,-,-
dnU8xyoC0_s5b8WbUnDlfBa-yPFlaNfs1ovYgmfVM84erIADjaNkwAJCJiOJ4h2-Y4gQVw==,Kab. Ciamis,Prov. Jawa Barat,Baik,STEI Ar-Risalah Ciam,Aktif,STEI Ar Risalah Ciamis Jawa Barat ,Agama,2,950.000 - 1.200.000,Perguruan Tinggi Agama,PTA Islam Swasta,213573  ,steirrisalah@gmail.com,0265-774502,02657577526,www.steirisalah.ac.id,-,STEI Ar-Risalah Ciam,-    ,Tidak Diisi,-7.325859,108.3831484,2016-02-01T00:00:00Z,2016-02-01T00:00:00Z,Nomor: 609 Tahun 2016,Baik,-
IOpSkNpjfdhggxvG0k8gwJ5Pa_YbCuEDyuIRISwKyuM1CVqXhaQmjVvgafh8oNcJkFe02A==,Kota Binjai,Prov. Sumatera Utara,-,-,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014181  ,-,061-7715-6852,061-7715-6852,-,Jl Cut Nyak Dien No 37 B-c ,-,12345,Kec. Binjai Kota,0.0,0.0,2007-10-01T00:00:00Z,2018-07-16T00:00:00Z,163/M/KPT/2018,-,-
YR-WM2jjv3TzTZFBI0tbysKzTVRybdtqTJQYsIWZ6U93Ch9oV9ldVTyhVCuMIdAcjZiaMg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.900.000,Perguruan Tinggi Swasta,LLDIKTI III,033184  ,interstudi.stdi@gmail.com,021-71793985,021-71790477,www.interstudi.edu,Jln. Kapten Tendean No. 02 Kebayoran Baru JAKARTA SELATAN,STDI Interstudi,12720,Tidak Diisi,0.0,0.0,2007-01-04T00:00:00Z,2007-01-04T00:00:00Z,07DO2007,Baik,-
JlaHA524jkmN-CxksUv438nunlIyAUBZlVcWav91fv-90Kk9TtUVmXTmm0OzhZUj_1w7xg==,Kab. Bengkalis,Prov. Riau,Baik Sekali,Polbeng,Aktif,Politeknik Negeri Bengkalis,Negeri,26,500.000 - 3.000.000,Perguruan Tinggi Negeri,PTN,005031  ,polbeng@polbeng.ac.id,+627667008877,+627668001000,polbeng.ac.id, Jalan Bathin Alam  Desa Sungai Alam  Kecamatan Bengkalis,Polbeng,28711,Kec. Bengkalis,1.45907,102.15088,2011-07-29T00:00:00Z,2011-07-29T00:00:00Z,28 Tahun 2011,Baik Sekali,-
rEeQXT-Pi3x5cwxzzC1ZexsrxwkBcNNzqC69DWByLiXonx0uT5lV_GcwzsXSUWENkRPMvQ==,Kota Jakarta Utara,Prov. D.K.I. Jakarta,Unggul,STIP,Aktif,Sekolah Tinggi Ilmu Pelayaran Jakarta,Kedinasan,5,100.000 - 32.475.000,Perguruan Tinggi Kementerian Lain,Kementerian Perhubungan,423001  ,webmaster@stipjakarta.ac.id,02188991618,02144834345,www.stipjakarta.ac.id, JL. MARUNDA MAKMUR  CILINCING  JAKARTA UTARA,STIP,14150,Tidak Diisi,0.0,0.0,0001-01-01T00:00:00Z,-,-,Unggul,-
oemvQdeSuqf6mOLkUxnLKWblpq-jGHqvSAWNr_6Q-LhWZuFUzdxcFroehYRks5X93bcwMw==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,37,450.000 - 17.585.000,Perguruan Tinggi Swasta,LLDIKTI IV,041027  ,sektor@email.unikom.ac.id,022-2503430 ,022-2503371,www.unikom.ac.id,Jalan Dipatiukur No 112-114 ,UNIKOM,40132,Tidak Diisi,-6.8872121,107.6154694,2000-08-08T00:00:00Z,2000-08-08T00:00:00Z,126DO2000,Unggul,-
ok3u_wEMSS4cdmiUsWhUmXEfjVmchzIPZ-rfJyf2ULR5vX8WfEatOrbPLsTzx3RHaHExJA==,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,1.500.000 - 5.500.000,Perguruan Tinggi Swasta,LLDIKTI I,014175  ,husada_madina@yahoo.com,0636-7003136,0636-3213136, Http//akbidmadinahusada.ac.id,Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal ,AKBID MADINA HUSADA,22919,Kec. Panyabungan Kota,0.0,0.0,2007-06-01T00:00:00Z,2007-08-03T00:00:00Z,138/D/O/2007,Baik,-
nd-FcrOJl4nUP-ezwSrOveLhJ1JAI3mvV4dh3keQQHpDj253TDZV9-Om7sifZRpkW-bqzw==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,STT WARGA,Aktif,Sekolah Tinggi Teknologi Warga Surakarta,Swasta,5,4.750.000 - 23.725.000,Perguruan Tinggi Swasta,LLDIKTI VI,063121  ,stt_warga@sttw.ac.id,0271621178,0271621176,sttw.ac.id,-,STT WARGA,-,Tidak Diisi,-7.5996407,110.8058953,2020-03-12T00:00:00Z,2020-03-12T00:00:00Z,384/M/2020,Baik,-
xO2ag7SfisLFt2gGERBtC2-cNoPOBU38d0JuS25lx450dMv6gRuY4oHQuM9CElMXIAF2KA==,Kota Makassar,Prov. Sulawesi Selatan,-,-,Alih Bentuk,STT INTIM Makassar,Agama,3,-,Perguruan Tinggi Agama,PTA Kristen Swasta,233086  , sttintimmakassar@yahoo.com, 0411854735, 0411856989, www.sttintimlib.ac.id, Jl. Baji Dakka No.7  Karang Anyar  Kec. Mamajang  Kota Makassar  Sulawesi Selat,-,90113,Tidak Diisi,0.0,0.0,0001-01-01T00:00:00Z,2013-10-10T00:00:00Z, 	DJ.III/Kep/HK.00.5/509/2013,-,-
sniUmvEMaO8-CmEExiikrSU5nhZC3xj5u_5lFMK6mVynKv6r2pF6hGBxDPV4yoz6PwUyFQ==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Unggul,UMJ,Aktif,Universitas Muhammadiyah Jakarta,Swasta,65,11.201 - 24.500.000,Perguruan Tinggi Swasta,LLDIKTI III,031011  ,info@umj.ac.id,(021)7401894,(021) 7430756,www.umj.ac.id,Kampus A Jl. Cempaka Putih Tengah 27  Cempaka Putih,UMJ,10510,Tidak Diisi,-6.2991107,106.7672557,1955-11-18T00:00:00Z,2017-09-18T00:00:00Z,488/KPT/I/2017,Unggul,-
-QBskW0L588pP-Pb9mEZv_BXGYUYNYO6Fce5O1YaleweoItYc1I71ellm-Mb6zdoQHNPFQ==,Kota Bandar Lampung,Prov. Lampung,-,IMPM,Aktif,Institut Maritim Prasetiya Mandiri,Swasta,7,3.000.000 - 6.000.000,Perguruan Tinggi Swasta,LLDIKTI II,022007  ,admin@impm.ac.id,082186808887,-,impm.ac.id,-,IMPM,-,Tidak Diisi,-5.3789616,105.2563851,2021-02-23T00:00:00Z,2021-02-23T00:00:00Z,59/E/O/2021,-,-
gIa2CG80pSzu9QWgUAme7OiL96AmtcmFxZS2r8FGKuGf9UiMl3ayz8CbEfRMcRdTVS2Lbg==,Kab. Lombok Utara,Prov. Nusa Tenggara Barat,Baik,STIT ISLAMIYAH NTB,Aktif,Sekolah Tinggi Ilmu Tarbiyah (STIT) Islamiyah Nusa Tenggara Barat,Agama,1,1.200.000 - 1.200.000,Perguruan Tinggi Agama,PTA Islam Swasta,213522  , stitislamiyahntb@gmail.com,081805718146, , stitintb.ac.id,-,STIT ISLAMIYAH NTB,-,Tidak Diisi,-8.32386,116.1936767,2014-05-05T00:00:00Z,2014-05-05T00:00:00Z,2516 Tahun 2014,Baik,-
0yzSI6IoqaFE9FgsLaF4BhtqDlBLlofLDjf2XYNhipckpxPaMbhFnYXILsqyeU2g6-PavQ==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,STIMI YAPMI Makassar,Aktif,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI IX,093046  ,kampus.stimiyapmi@gmail.com,(0411) 4773029,(0411) 4773031, stimi-yapmi.ac.id,Jl Perintis Kemerdekaan KM 9 ,STIMI YAPMI Makassar,90222,Tidak Diisi,-5.141641,119.479007,1986-12-27T00:00:00Z,1986-12-27T00:00:00Z,220,Baik Sekali,-
