faculty,prodi,quipper_institution_code
Fakultas Kedokteran dan Ilmu Kesehatan,Pendidikan Dokter,1
Fakultas Kedokteran dan Ilmu Kesehatan,Ilmu Keperawatan,1
Fakultas Kedokteran dan Ilmu Kesehatan,Lainnya,1
Fakultas Ekonomi dan Bisnis,Akuntansi,1
Fakultas Ekonomi dan Bisnis,Manajemen,1
Fakultas Psikologi,Psikologi,1
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,1
Fakultas Teknik dan Ilmu Komputer,Teknik Elektro,1
Fakultas Teknik dan Ilmu Komputer,Teknik Industri,1
Fakultas Teknik dan Ilmu Komputer,Teknik Sipil,1
Fakultas Teknik dan Ilmu Komputer,Teknik Informatika,1
Fakultas Teknik dan Ilmu Komputer,Sistem Informasi,1
Event Management,Event Management,2
Culinary Arts,Seni Kuliner,2
Hotel Management,Manajemen Perhotelan,2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Business Mathematics,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Computer Systems Engineering,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Digital Business Technology,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Food Business Technology,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Product Design Engineering,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Renewable Energy Engineering,3
School of Business and Economics,Accounting,3
School of Business and Economics,Branding,3
School of Business and Economics,Business,3
School of Business and Economics,Business Economics,3
School of Business and Economics,Event,3
School of Business and Economics,Finance and Banking,3
School of Business and Economics,Financial Technology,3
School of Business and Economics,International Business Law,3
School of Business and Economics,Hospitality Business,3
Ekonomi,Manajemen,4
Ekonomi,Akuntansi,4
Ekonomi,Bisnis,4
Fakultas Teknologi Industri,Sistem Informasi,5
Fakultas Teknologi Industri,Teknik Industri,5
Fakultas Teknologi Industri,Informatika,5
Fakultas Teknik,Teknik Sipil,5
Fakultas Teknik,Arsitektur,5
Fakultas Hukum,Hukum,5
Fakultas Teknobiologi,Biologi,5
Fakultas Bisnis dan Ekonomika,Akuntansi,5
Fakultas Bisnis dan Ekonomika,Manajemen,5
Fakultas Bisnis dan Ekonomika,Ekonomi Pembangunan,5
Fakultas Ilmu Sosial dan Politik,Sosiologi,5
Fakultas Ilmu Sosial dan Politik,Ilmu Komunikasi,5
Program Internasional,International Industrial Engineering Program,5
Program Internasional,International Civil Engineering Program,5
Program Internasional,International Undergraduate Program in Business Accounting,5
Program Internasional,International Business Management Program,5
Program Internasional,International Communication Program.,5
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Guru SD,6
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,6
Fakultas Ilmu Komunikasi,Marketing Communication,6
Fakultas Ilmu Komunikasi,Jurnalistik,6
Fakultas Ilmu Komunikasi,Humas,6
Fakultas Ilmu Komunikasi,Broadcasting,6
Fakultas Ilmu Komputer,Sistem Informasi,6
Fakultas Ilmu Komputer,Teknik Informatika,6
Fakultas Teknik,Teknik Industri,6
Fakultas Teknik,Perencanaan Wilayah dan Kota,6
Fakultas Teknik,Survei dan Pemetaan,6
Fakultas Fisioterapi,Fisioterapi,6
Fakultas Desain dan Industri Kreatif,Desain Komunikasi Visual,6
Fakultas Desain dan Industri Kreatif,Desain Produk,6
Fakultas Desain dan Industri Kreatif,Desain Interior,6
Fakultas Desain dan Industri Kreatif,,6
Fakultas Ekonomi dan Bisnis,Akuntansi Sektor Bisnis,6
Fakultas Ekonomi dan Bisnis,Manajemen Bisnis,6
Fakultas Psikologi,Psikologi,6
Fakultas Hukum,Ilmu Hukum,6
Fakultas Ilmu-Ilmu Kesehatan,Kesehatan Masyarakat,6
Fakultas Ilmu-Ilmu Kesehatan,Ilmu Gizi,6
Fakultas Ilmu-Ilmu Kesehatan,Rekam Medik & Informasi Kesehatan,6
Fakultas Ilmu-Ilmu Kesehatan,Keperawatan,6
Fakultas Ilmu-Ilmu Kesehatan,Manajemen Informasi Kesehatan,6
Fakultas Ilmu-Ilmu Kesehatan,Bioteknologi,6
Fakultas Ilmu-Ilmu Kesehatan,Farmasi,6
Pascasarjana,Ilmu Komputer,6
Pascasarjana,Manajemen,6
Pascasarjana,Akuntansi,6
Pascasarjana,Ilmu Administrasi,6
Pascasarjana,Ilmu Hukum,6
Pascasarjana,Ilmu Komunikasi,6
Sarjana,Teologi,7
Magister,Teologi,7
Magister,Ministri,7
Magister,Divinitas,7
Fakultas Ilmu Pangan Halal,Teknologi Pangan dan Gizi,9
Fakultas Ilmu Pangan Halal,Teknologi Industri Pertanian,9
Fakultas Pertanian,Akuakultur,9
Fakultas Pertanian,Peternakan,9
Fakultas Pertanian,Agribisnis,9
Fakultas Pertanian,Agroteknologi,9
Fakultas Ekonomi,Manajemen,9
Fakultas Ekonomi,Akuntansi,9
Fakultas Agama Islam dan Pendidikan Guru,Perbankan Syariah,9
Fakultas Agama Islam dan Pendidikan Guru,Ekonomi Syariah,9
Fakultas Agama Islam dan Pendidikan Guru,Manajemen Pendidikan Islam,9
Fakultas Agama Islam dan Pendidikan Guru,Pendidikan Guru Sekolah Dasar,9
Fakultas Agama Islam dan Pendidikan Guru,Pendidikan Bahasa Arab,9
Fakultas Hukum,Hukum,9
"Fakultas Ilmu Sosial, Ilmu Politik dan Ilmu Komputer",Sains Komunikasi,9
"Fakultas Ilmu Sosial, Ilmu Politik dan Ilmu Komputer",Administrasi Publik,9
"Fakultas Ilmu Sosial, Ilmu Politik dan Ilmu Komputer",Ilmu Komputer,9
Pascasarjana,Magister Hukum,9
Pascasarjana,Magister Teknologi Pangan,9
Pascasarjana,Magister Administrasi Publik,9
Profesi,Bidan,10
Sarjana,Farmasi,10
Sarjana,Kebidanan,10
Diploma,Manajemen Pemasaran,11
Sarjana,Manajemen,11
Fakultas Teknologi dan Desain,Teknik Informatika,12
Fakultas Teknologi dan Desain,Sistem Informasi,12
Fakultas Teknologi dan Desain,Teknik Industri,12
Fakultas Teknologi dan Desain,Desain Komunikasi Visual (DKV),12
Fakultas Teknologi dan Desain,Bisnis Digital,12
Fakultas Teknologi dan Desain,Data Science,12
Fakultas Ilmu Sosial dan Humaniora,Akuntansi,12
Fakultas Ilmu Sosial dan Humaniora,Manajemen,12
Fakultas Ilmu Sosial dan Humaniora,Sastra & Bahasa Asing,12
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,12
Fakultas Ilmu Sosial dan Humaniora,Ilmu Komunikasi,12
Fakultas Ilmu Sosial dan Humaniora,Psikologi,12
Fakultas Ilmu Sosial dan Humaniora,Pariwisata,12
Akademi Pariwisata,Perhotelan,12
Bunda Mulia Long Distance Learning (BMLD),Akuntansi (Pembelajaran Jarak Jauh),12
Bunda Mulia Long Distance Learning (BMLD),Manajemen (Pembelajaran Jarak Jauh),12
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Masyarakat,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,13
Fakultas Keguruan dan Ilmu Pendidikan,Teknologi Pendidikan,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Vokasional Desain Fashion,13
Fakultas Teknik dan Sains,Teknik Informatika,13
Fakultas Teknik dan Sains,Teknik  Sipil,13
Fakultas Teknik dan Sains,Teknik Mesin,13
Fakultas Teknik dan Sains,Teknik Elektro,13
Fakultas Hukum,Ilmu Hukum,13
Fakultas Ilmu Kesehatan,Kesehatan Masyarakat,13
Fakultas Ekonomi dan Bisnis,Manajemen,13
Fakultas Ekonomi dan Bisnis,Akuntansi,13
Fakultas Ekonomi dan Bisnis,Keuangan Perbankan,13
Fakultas Ekonomi dan Bisnis,Ekonomi Syariah,13
Fakultas Agama Islam,Komunikasi dan Penyiaran Islam,13
Fakultas Agama Islam,Hukum Keluarga Islam,13
Fakultas Agama Islam,Pendidikan Agama Islam,13
Fakultas Agama Islam,Ekonomi Syariah,13
Fakultas Agama Islam,Pendidikan Guru Madrasah Ibtidaiyah,13
Fakultas Agama Islam,Bimbingan dan Konseling Pendidikan Islam,13
Fakultas Teknologi Informasi,Sistem Informasi,15
Fakultas Teknologi Informasi,Teknik Informatika,15
Fakultas Teknologi Informasi,Ilmu Komputer,15
Fakultas Ekonomi dan Bisnis,Manajemen,15
Fakultas Ekonomi dan Bisnis,Bisnis Digital,15
Fakultas Ekonomi dan Bisnis,Perhotelan,15
Fakultas Ekonomi dan Bisnis,Manajemen,16
Fakultas Ekonomi dan Bisnis,Akuntansi,16
Fakultas Sains dan Teknologi,Teknik Informatika,16
Fakultas Sains dan Teknologi,Teknik Mesin,16
Fakultas Sains dan Teknologi,Teknik Industri,16
Fakultas Sains dan Teknologi,Matematika,16
Fakultas Sains dan Teknologi,Biologi,16
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,16
Fakultas Keguruan dan Ilmu Pendidikan,Bimbingan dan Konseling,16
Fakultas Keguruan dan Ilmu Pendidikan,Teknologi Pendidikan (B),16
Fakultas Hukum,Hukum,16
Fakultas Agama Islam,Perbankan Syariah,16
Fakultas Agama Islam,Komunikasi Penyiaran Islam,16
Fakultas Agama Islam,Pendidikan Agama Islam,16
Fakultas Agama Islam,Ilmu Dakwah,16
Fakultas Ilmu Kesehatan,Keperawatan,16
Sarjana,Manajemen,17
Sarjana,Akuntansi,17
Magister,Manajemen,17
Diploma,Akuntansi,17
Kesehatan Lingkungan,Kesehatan Lingkungan,18
Kebidanan,Kebidanan,18
Teknik Radiodiagnostik dan Radioterapi,Radiologi,18
Gizi,Gizi,18
Keperawatan,Ilmu Keperawatan,18
Rekam Medis dan Informasi Kesehatan,Rekam Medis,18
Kesehatan Gigi,Ilmu Keperawatan,18
Kesehatan Gigi,Pendidikan Dokter Gigi,18
Analis Kesehatan,Analis Kesehatan,18
Informatika,Manajemen Informatika,19
Informatika,Teknik Informatika,19
Informatika,Sistem Informasi,19
Informatika,Rekayasa Perangkat Lunak,19
Bisnis,Akuntansi,19
Bisnis,Manajemen Administrasi,19
Bisnis,Sekretari,19
Bisnis,Manajemen,19
Pertanian dan Peternakan,Penyuluhan Pertanian Berkelanjutan,20
Pertanian dan Peternakan,Agribisnis Hortikultura,20
Pertanian dan Peternakan,Teknologi Mekanisasi Pertanian,20
Pertanian dan Peternakan,Penyuluhan Peternakan dan Kesejahteraan Hewan,20
Pertanian dan Peternakan,Kesehatan Hewan,20
Fakultas Hukum,Ilmu Hukum,21
Fakultas Ekonomi,Manajemen,21
Fakultas Ekonomi,Akuntansi,21
Program Pascasarjana,Manajemen,21
Fakultas Teknologi Kedirgantaraan,Teknik Aeronautika,21
Fakultas Teknologi Kedirgantaraan,Teknik Penerbangan,21
Fakultas Teknologi Industri,Sistem Informasi,21
Fakultas Teknologi Industri,Manajemen Informatika,21
Fakultas Teknologi Industri,Teknik Industri,21
Fakultas Teknologi Industri,Teknik Elektro,21
Perhotelan,Pengelolaan Perhotelan,23
Pariwisata,Pariwisata,23
Pariwisata,Usaha Perjalanan Wisata,23
Pascasarjana,Pariwisata,23
Fakultas Ekonomi,Manajemen,24
Fakultas Ekonomi,Akuntansi,24
Fakultas Hukum,Ilmu Hukum,24
Fakultas Teknik,Akunpunktur dan Pengobatan Herbal,24
Fakultas Teknik,Teknik Industri,24
Fakultas Teknik,Informatika,24
Fakultas Teknik,Arsitektur,24
Fakultas Bahasa dan Sastra,Sastra & Bahasa Asing,25
Fakultas Bahasa dan Sastra,Sastra Indonesia,25
Fakultas Bahasa dan Sastra,Sastra Inggris,25
Fakultas Hukum,Ilmu Hukum,25
Fakultas Ilmu Kesehatan,Kebidanan,25
Fakultas Ilmu Kesehatan,Ilmu Keperawatan,25
Fakultas Teknologi Komunikasi dan Informatika,Teknik Informatika,25
Fakultas Teknologi Komunikasi dan Informatika,Sistem Informasi,25
Fakultas Pertanian,Agroteknologi,25
Fakultas Biologi,Biologi,25
Fakultas Ekonomi dan Bisnis,Perhotelan,25
Fakultas Ekonomi dan Bisnis,Manajemen,25
Fakultas Ekonomi dan Bisnis,Akuntansi,25
Fakultas Ekonomi dan Bisnis,Pariwisata,25
Fakultas Teknik dan Sains,Ilmu Teknik,25
Fakultas Teknik dan Sains,Teknik Elektro,25
Fakultas Teknik dan Sains,Teknik Mesin,25
Fakultas Teknik dan Sains,Fisika,25
Fakultas Sekolah Pascasarjana,Biologi,25
Fakultas Sekolah Pascasarjana,Ilmu Politik,25
Fakultas Sekolah Pascasarjana,Manajemen,25
Fakultas Sekolah Pascasarjana,Ilmu Administrasi,25
Fakultas Sekolah Pascasarjana,Ilmu Hukum,25
Fakultas Ilmu Sosial Ilmu Politik,Hubungan Internasional,25
Fakultas Ilmu Sosial Ilmu Politik,Ilmu Politik,25
Fakultas Ilmu Sosial Ilmu Politik,Sosiologi,25
Fakultas Ilmu Sosial Ilmu Politik,Ilmu Komunikasi,25
Fakultas Ilmu Sosial Ilmu Politik,Administrasi Negara (Publik),25
Diploma,Keperawatan,26
Profesi,Ners,26
Sarjana,Ilmu Keperawatan,26
Sarjana,Kesehatan Masyarakat,26
Profesi,Ners,27
Diploma,Kebidanan,27
Diploma,Keperawatan,27
Sarjana,Ilmu Keperawatan,27
Perkeretaapian,Teknologi Bangunan dan Jalur Perkeretaapian,28
Perkeretaapian,Teknologi Elektro Perkeretaapian,28
Perkeretaapian,Manajemen Transportasi Perkeretaapian,28
Perkeretaapian,Teknologi Mekanika Perkeretaapian,28
Teknologi dan Manajemen Kesehatan,Teknologi Laboratorium Medis,29
Teknologi dan Manajemen Kesehatan,Rekam Medis dan Informasi Kesehatan,29
Teknologi dan Manajemen Kesehatan,Administrasi Rumah Sakit,29
Teknologi dan Manajemen Kesehatan,Kesehatan Masyarakat,29
Kedokteran Gigi,Teknik Gigi,29
Kedokteran Gigi,Kedokteran Gigi,29
Farmasi,Farmasi,29
Farmasi,Analisis Farmasi dan Makanan,29
Kesehatan,Kebidanan,29
Kesehatan,Fisioterapi,29
Kesehatan,Pengobatan Tradisional Tiongkok,29
Kesehatan,Keperawatan,29
Kesehatan,Psikologi,29
Kesehatan,Gizi,29
Fakultas Matematika & Ilmu Pengetahuan Alam,Biologi,30
Fakultas Matematika & Ilmu Pengetahuan Alam,Farmasi,30
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,30
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,30
Fakultas Ekonomi,Akuntansi,30
Fakultas Ekonomi,Manajemen,30
Fakultas Ekonomi,Sekretari,30
Fakultas Filsafat,Ilmu Filsafat,30
Fakultas Ilmu Keperawatan,Profesi Ners,30
Fakultas Ilmu Keperawatan,Ilmu Keperawatan,30
Fakultas Ilmu Keperawatan,Keperawatan Umum,30
Fakultas Teknologi Informasi,Teknik Informatika,30
Fakultas Teknologi Informasi,Sistem Informasi,30
Pascasarjana,Ilmu Filsafat,30
Pascasarjana,Manajemen,30
Keguruan dan Ilmu Pendidikan,Pendidikan Ekonomi,31
Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,31
Keguruan dan Ilmu Pendidikan,Pendidikan Guru Sekolah Dasar,31
Pascasarjana,Ilmu Hukum,31
Pascasarjana,Ilmu Pemerintahan,31
Pascasarjana,Manajemen,31
Pascasarjana,Teknik Informatika,31
Ekonomi dan Bisnis,Manajemen,31
Ekonomi dan Bisnis,Akuntansi,31
Hukum,Ilmu Hukum,31
Teknik,Teknik Industri,31
Teknik,Teknik Sipil,31
Teknik,Arsitektur,31
Teknik,Teknik Informatika,31
Teknik,Teknik Elektro,31
Ilmu Sosial dan Ilmu Politik,Kepolisian,31
Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,31
Ilmu Sosial dan Ilmu Politik,Ilmu Kesejahteraan Sosial,31
Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,31
Fakultas Hukum,Ilmu Hukum,32
Fakultas Ilmu Sosial dan Politik,Ilmu Administrasi,32
Fakultas Ilmu Sosial dan Politik,Hubungan Internasional,32
Fakultas Ilmu Komunikasi,Lainnya,32
Fakultas Ilmu Komunikasi,Ilmu Komunikasi,32
Fakultas Teknologi Industri,Teknik Kimia,32
Fakultas Teknologi Industri,Teknik Elektro,32
Fakultas Teknologi Industri,Teknik Mesin,32
Fakultas Psikologi,Psikologi,32
Fakultas Ekonomi dan Bisnis,Manajemen,32
Fakultas Ekonomi dan Bisnis,Akuntansi,32
Fakultas Teknik Sipil dan Perencanaan,Teknik Sipil,32
Fakultas Teknik Sipil dan Perencanaan,Arsitektur,32
Pascasarjana,Ilmu Komunikasi,32
Pascasarjana,Ilmu Hukum,32
Pascasarjana,Manajemen,32
Pascasarjana,Ilmu Administrasi,32
Diploma 3,Budidaya Perkebunan Kelapa Sawit,33
Diploma 3,Teknologi Pengolahan Kelapa Sawit,33
Diploma 3,Manajemen Logistik,33
Sarjana Terapan,Teknologi Rekayasa Perangkat Lunak,33
Sarjana Terapan,Teknologi Produksi Tanaman Perkebunan,33
Administrasi Bisnis,Administrasi Bisnis,34
Ilmu Sosial dan Ilmu Politik,Administrasi Publik,36
Teknik,Teknik Elektromedis,36
Teknik,Teknik Sipil,36
Teknik,Teknik Industri,36
Pertanian,Agroteknologi,36
Pertanian,Agribisnis,36
Ilmu Kesehatan,Kebidanan,36
Ilmu Kesehatan,Keperawatan,36
Ilmu Kesehatan,Teknologi Laboratorium Medis,36
Ilmu Kesehatan,Farmasi,36
Ilmu Kesehatan,Kesehatan Masyarakat,36
Ekonomi dan Bisnis,Akuntansi Sektor Publik,36
Ekonomi dan Bisnis,Ekonomi Pembangunan,36
Ekonomi dan Bisnis,Manajemen,36
Hukum,Hukum,36
Sarjana,Administrasi Rumah Sakit,37
Diploma,Keperawatan,37
Fakultas Ekonomi dan Bisnis,Manajemen,38
Fakultas Ekonomi dan Bisnis,Akuntansi,38
Fakultas Teknik,Arsitektur,38
Fakultas Teknik,Teknik Elektro,38
Fakultas Teknik,Teknik Mesin,38
Fakultas Teknik,Teknik Sipil,38
Fakultas Ilmu Komputer,Sistem Komputer,38
Fakultas Ilmu Komputer,Sistem Informasi,38
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Politik,38
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,38
Fakultas Hukum,Ilmu Hukum,38
Fakultas Ekonomi dan Bisnis,Manajemen,40
Fakultas Ekonomi dan Bisnis,Akuntansi,40
Fakultas Ilmu Sosial dan Ilmu Politik,Hubungan Internasional,40
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,40
Fakultas Teknik,Manajemen,40
Fakultas Teknik,Teknik Informatika,40
Fakultas Teknik,Teknik Lingkungan,40
Fakultas Teknik,Sistem Informasi,40
Magister,Teologi,42
Sarjana,Teologi,42
Sarjana,Pendidikan Agama Kristen,42
Doktor,Teologi,42
Transportasi Darat,Manajemen Transportasi Perkeretaapiaan,44
Transportasi Darat,Transportasi Darat,44
Transportasi Darat,Teknologi Rekayasa Otomotif,44
Transportasi Darat,Pemasaran Inovasi dan Teknologi,44
Transportasi Darat,Teknik Keselamatan dan Resiko,44
Farmasi,Farmasi,45
Syariah,Hukum Keluarga Islam,47
Syariah,Hukum Ekonomi Syariah,47
Syariah,Ilmu Falak,47
Tarbiyah dan Keguruan,Pendidikan Bahasa Arab (B),47
Tarbiyah dan Keguruan,Pendidikan Bahasa Inggris (Baik),47
Tarbiyah dan Keguruan,Pendidikan IPS (Baik Sekali),47
Tarbiyah dan Keguruan,Pendidikan IPA Biologi (Baik Sekali),47
Tarbiyah dan Keguruan,Pendidikan Fisika (Baik),47
Tarbiyah dan Keguruan,Pendidikan Kimia (Baik),47
Tarbiyah dan Keguruan,Pendidikan Matematika (B),47
Tarbiyah dan Keguruan,Pendidikan Profesi Guru (Baik),47
Dakwah dan Ilmu Komunikasi,Bimbingan Konseling Islam,47
Dakwah dan Ilmu Komunikasi,Komunikasi Penyiaran Islam,47
Dakwah dan Ilmu Komunikasi,Manajemen Dakwah,47
Dakwah dan Ilmu Komunikasi,Pengembangan Masyarakat Islam,47
Ekonomi dan Bisnis Islam,Ekonomi Syariah,47
Ekonomi dan Bisnis Islam,Pariwisata Syariah,47
Ekonomi dan Bisnis Islam,Perbankan Syariah,47
Ushuluddin dan Studi Agama,Ilmu Qur’an dan Tafsir,47
Ushuluddin dan Studi Agama,Pemikiran Politik Islam,47
Ushuluddin dan Studi Agama,Sosiologi Agama,47
Pascasarjana,Pendidikan Agama Islam,47
Pascasarjana,Hukum Keluarga Islam,47
Pascasarjana,Komunikasi dan Penyiaran Islam,47
Pascasarjana,Pendidikan Bahasa Arab,47
Pascasarjana,Manajemen Pendidikan Islam,47
Pascasarjana,Ekonomi Syariah,47
Pascasarjana,Pendidikan Agama Islam,47
Ilmu Ekonomi,Manajemen,48
Ilmu Ekonomi,Akuntansi,48
Ilmu Ekonomi,Perpajakan,48
"Sains, Teknologi, dan Industri",Sistem dan Teknologi Informasi,50
"Sains, Teknologi, dan Industri",Rekayasa Perangkat Lunak.,50
Ekonomi dan Bisnis,Ekonomi Pembangunan,50
Ekonomi dan Bisnis,Akuntansi,50
Ekonomi dan Bisnis,Manajemen,50
