faculty,prodi,institution_code
EKONOMI,Manajemen,quipper-1
EKONOMI,Akuntansi,quipper-1
EKONOMI,Bisnis,quipper-1
SCHOOL OF APPLIED STEM,Business Mathematics,quipper-2
SCHOOL OF APPLIED STEM,Computer Systems Engineering,quipper-2
SCHOOL OF APPLIED STEM,Digital Business Technology,quipper-2
SCHOOL OF APPLIED STEM,Food Business Technology,quipper-2
SCHOOL OF APPLIED STEM,Product Design Engineering,quipper-2
SCHOOL OF APPLIED STEM,Renewable Energy Engineering,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Accounting,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Branding,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Business,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Business Economics,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Event,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Finance and Banking,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Financial Technology,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,International Business Law,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,Hospitality Business,quipper-2
EVENT MANAGEMENT,Event Management,quipper-3
CULINARY ARTS,Seni Kuliner,quipper-3
HOTEL MANAGEMENT,Manajemen Perhotelan,quipper-3
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,Pendidikan Dokter,quipper-4
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,Ilmu Keperawatan,quipper-4
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,Lainnya,quipper-4
FAKULTAS EKONOMI DAN BISNIS,Akuntansi,quipper-4
FAKULTAS EKONOMI DAN BISNIS,Manajemen,quipper-4
FAKULTAS PSIKOLOGI,Psikologi,quipper-4
FAKULTAS ILMU SOSIAL DAN HUMANIORA,Sastra Inggris,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Teknik Elektro,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Teknik Industri,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Teknik Sipil,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Teknik Informatika,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,Sistem Informasi,quipper-4
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,Pendidikan Guru SD,quipper-5
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,Pendidikan Bahasa Inggris,quipper-5
FAKULTAS ILMU KOMUNIKASI,Marketing Communication,quipper-5
FAKULTAS ILMU KOMUNIKASI,Jurnalistik,quipper-5
FAKULTAS ILMU KOMUNIKASI,Humas,quipper-5
FAKULTAS ILMU KOMUNIKASI,Broadcasting,quipper-5
FAKULTAS ILMU KOMPUTER,Sistem Informasi,quipper-5
FAKULTAS ILMU KOMPUTER,Teknik Informatika,quipper-5
FAKULTAS TEKNIK,Teknik Industri,quipper-5
FAKULTAS TEKNIK,Perencanaan Wilayah dan Kota,quipper-5
FAKULTAS TEKNIK,Survei dan Pemetaan,quipper-5
FAKULTAS FISIOTERAPI,Fisioterapi,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,Desain Komunikasi Visual,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,Desain Produk,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,Desain Interior,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,,quipper-5
FAKULTAS EKONOMI DAN BISNIS,Akuntansi Sektor Bisnis,quipper-5
FAKULTAS EKONOMI DAN BISNIS,Manajemen Bisnis,quipper-5
FAKULTAS PSIKOLOGI,Psikologi,quipper-5
FAKULTAS HUKUM,Ilmu Hukum,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Kesehatan Masyarakat,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Ilmu Gizi,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Rekam Medik & Informasi Kesehatan,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Keperawatan,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Manajemen Informasi Kesehatan,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Bioteknologi,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,Farmasi,quipper-5
PASCASARJANA,Ilmu Komputer,quipper-5
PASCASARJANA,Manajemen,quipper-5
PASCASARJANA,Akuntansi,quipper-5
