quipper_code,rencanamu_code,banpt_code,pddikti_code,faculty,prodi,prodi_normalized,edu_level,accreditation,institution_code,cluster_kmodes,cluster_category
-,-,banpt-4013,-,-,PENDIDIKAN EKONOMI,EKONOMI,S1,B,433,0,Ekonomi & Bisnis
-,-,banpt-4013,-,-,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B,433,0,Ekonomi & Bisnis
-,-,banpt-2207,-,-,BIMBINGAN DAN KONSELING,BIMBINGAN KONSELING,S1,B,887,0,Ekonomi & Bisnis
-,-,banpt-2207,-,-,PENDIDIKAN BIOLOGI,BIOLOGI,S1,BAIK,887,0,Ekonomi & Bisnis
quipper-478,-,banpt-2207,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,GEOGRAFI,GEOGRAFI,S1,B,887,0,Ekonomi & Bisnis
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,KEGURUAN & PENDIDIKAN,GURU,S1,-,887,0,Ekonomi & Bisnis
quipper-478,-,-,-,FAKULTAS MIPA DAN TEKNOLOGI,TEKNIK INFORMATIKA,INFORMATIKA,S1,-,887,1,Teknik & Rekayasa
-,-,banpt-2207,-,-,PENDIDIKAN JASMANI,JASMANI,S1,B,887,0,Ekonomi & Bisnis
quipper-478,-,banpt-2207,-,FAKULTAS MIPA DAN TEKNOLOGI,PENDIDIKAN MATEMATIKA,MATEMATIKA,S1,B,887,0,Ekonomi & Bisnis
quipper-478,-,-,-,FAKULTAS PENDIDIKAN OLAHRAGA DAN KESEHATAN,PENDIDIKAN OLAHRAGA,OLAHRAGA,S1,-,887,0,Ekonomi & Bisnis
quipper-478,-,-,-,FAKULTAS ILMU PENDIDIKAN DAN PENGETAHUAN SOSIAL,SEJARAH,SEJARAH,S1,-,887,0,Ekonomi & Bisnis
-,-,banpt-2207,-,-,PENDIDIKAN TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,B,887,0,Ekonomi & Bisnis
-,-,banpt-2479,-,-,ILMU ADMINISTRASI NEGARA,ADMINISTRASI NEGARA,S1,BAIK,514,0,Ekonomi & Bisnis
-,-,banpt-2479,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,BAIK SEKALI,514,0,Ekonomi & Bisnis
-,-,banpt-2479,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK SEKALI,514,0,Ekonomi & Bisnis
-,-,banpt-1793,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,991,0,Ekonomi & Bisnis
-,-,banpt-1793,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK,991,0,Ekonomi & Bisnis
-,-,banpt-1793,-,-,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK SEKALI,991,0,Ekonomi & Bisnis
-,-,banpt-117,-,-,ADMINISTRASI KESEHATAN,ADMINISTRASI KESEHATAN,S1,BAIK,1495,0,Ekonomi & Bisnis
-,-,banpt-117,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK,1495,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,BIO MEDIS DAN REKAYASA HAYATI,BIOMEDIS,S1,UNGGUL,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,BIO TEKNOLOGI,BIOTEKNOLOGI,S1,UNGGUL,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,FARMASI,FARMASI,S1,BAIK SEKALI,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,BIO INFORMATIKA,INFORMATIKA,S1,BAIK SEKALI,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,BIO KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,B,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,MANAJEMEN BISNIS INTERNASIONAL,MANAJEMEN BISNIS INTERNASIONAL,S1,BAIK SEKALI,82,0,Ekonomi & Bisnis
-,-,banpt-28,-,-,PANGAN DAN NUTRISI,TEKNOLOGI PANGAN,S1,B,82,0,Ekonomi & Bisnis
-,-,banpt-1151,-,-,AKUNTANSI,AKUNTANSI,S1,B,1069,0,Ekonomi & Bisnis
-,-,banpt-1151,-,-,MANAJEMEN,MANAJEMEN,S1,B,1069,0,Ekonomi & Bisnis
quipper-82,-,banpt-3325,-,BISNIS,AKUNTANSI,AKUNTANSI,S1,UNGGUL,370,2,Pendidikan & Keguruan
quipper-82,-,banpt-3325,-,BISNIS,BIOKIMIA,BIOKIMIA,S1,BAIK,370,0,Ekonomi & Bisnis
quipper-82,-,-,-,INFORMATIKA & PARIWISATA,TEKNIK INFORMATIKA,INFORMATIKA,S1,-,370,1,Teknik & Rekayasa
quipper-82,-,banpt-3325,-,BISNIS,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,370,0,Ekonomi & Bisnis
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,PARIWISATA,PARIWISATA,S1,BAIK,370,0,Ekonomi & Bisnis
quipper-82,-,banpt-3325,-,INFORMATIKA & PARIWISATA,SISTEM INFORMASI,SISTEM INFORMASI,S1,BAIK,370,4,Teknologi Industri
-,-,banpt-3325,-,-,TEKNOLOGI INFORMASI,TEKNOLOGI INFORMASI,S1,BAIK,370,0,Ekonomi & Bisnis
quipper-153,-,banpt-661,-,SARJANA,ADMINISTRASI BISNIS,ADMINISTRASI BISNIS,S1,UNGGUL,168,0,Ekonomi & Bisnis
-,rencanamu-16,-,-,-,ILMU ADMINISTRASI NIAGA,ADMINISTRASI NIAGA,S1,A,168,0,Ekonomi & Bisnis
quipper-153,rencanamu-16,banpt-661,-,SARJANA,AKUNTANSI,AKUNTANSI,S1,A,168,2,Pendidikan & Keguruan
quipper-153,rencanamu-16,banpt-661,-,SARJANA,ILMU KOMUNIKASI,ILMU KOMUNIKASI,S1,B,168,0,Ekonomi & Bisnis
quipper-153,rencanamu-16,banpt-661,-,SARJANA,TEKNIK INFORMATIKA,INFORMATIKA,S1,B,168,1,Teknik & Rekayasa
quipper-153,rencanamu-16,banpt-661,-,SARJANA,MANAJEMEN,MANAJEMEN,S1,A,168,0,Ekonomi & Bisnis
quipper-153,rencanamu-16,banpt-661,-,SARJANA,SISTEM INFORMASI,SISTEM INFORMASI,S1,B,168,4,Teknologi Industri
-,-,banpt-248,-,-,BISNIS DIGITAL,BISNIS DIGITAL,S1,BAIK,74,0,Ekonomi & Bisnis
-,-,banpt-248,-,-,KEWIRAUSAHAAN,KEWIRAUSAHAAN,S1,BAIK SEKALI,74,0,Ekonomi & Bisnis
-,-,banpt-248,-,-,MANAJEMEN,MANAJEMEN,S1,BAIK SEKALI,74,0,Ekonomi & Bisnis
-,-,banpt-248,-,-,MANAJEMEN RETAIL,MANAJEMEN RITEL,S1,BAIK,74,0,Ekonomi & Bisnis
-,-,banpt-248,-,-,PERDAGANGAN INTERNASIONAL,PERDAGANGAN INTERNASIONAL,S1,BAIK,74,0,Ekonomi & Bisnis
