cluster,institution_code,institution_name,province,body_type,campus_accreditation,faculty,prodi,edu_level,accreditation,average_yearly_fee,average_semester_fee
1,1910,INSTITUT TEKNOLOGI DAN BISNIS KARYA PEMBANGUNAN PAPUA,PAPUA,SWASTA,BAIK,-,SIPIL,S1,BAIK,800000.0,400000.0
1,1907,SEKOLAH TINGGI ILMU EKONOMI DARUL FALAH,JAWA TIMUR,SWASTA,BAIK,-,MANAJEMEN,S1,BAIK,900000.0,450000.0
1,1905,UNIVERSITAS PRIMAGRAHA,BANTEN,SWASTA,BAIK,-,ISLAM ANAK USIA DINI,S1,BAIK,1100000.0,550000.0
1,1902,INSTITUT TEKNOLOGI DAN KESEHATAN ASPIRASI,NUSA TENGGARA BARAT,SWASTA,BAIK,-,TEKNOLOGI PANGAN,S1,BAIK,1500000.0,750000.0
1,1900,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN NUUWAR,PAPUA BARAT,SWASTA,BAIK,-,GEOGRAFI,S1,BAIK,1650000.0,825000.0
1,1898,UNIVERSITAS MUHAMMADIYAH BIMA,NUSA TENGGARA BARAT,SWASTA,BAIK,-,KEWIRAUSAHAAN,S1,BAIK,1800000.0,900000.0
1,1898,UNIVERSITAS MUHAMMADIYAH BIMA,NUSA TENGGARA BARAT,SWASTA,BAIK,-,BAHASA ARAB,S1,BAIK SEKALI,1800000.0,900000.0
1,1898,UNIVERSITAS MUHAMMADIYAH BIMA,NUSA TENGGARA BARAT,SWASTA,BAIK,-,ISLAM ANAK USIA DINI,S1,BAIK SEKALI,1800000.0,900000.0
1,1898,UNIVERSITAS MUHAMMADIYAH BIMA,NUSA TENGGARA BARAT,SWASTA,BAIK,-,GIZI,S1,BAIK,1800000.0,900000.0
1,1897,UNIVERSITAS PUTRA BANGSA,JAWA TENGAH,SWASTA,BAIK SEKALI,-,MANAJEMEN,S1,BAIK SEKALI,1805000.0,902500.0
1,1892,SEKOLAH TINGGI ILMU HUKUM GRAHA KIRANA,SUMATERA UTARA,SWASTA,BAIK,-,HUKUM,S1,B,2000000.0,1000000.0
1,1893,SEKOLAH TINGGI TEKNOLOGI INDONESIA,JAWA BARAT,SWASTA,BAIK,-,MESIN,S1,BAIK,2000000.0,1000000.0
1,1888,INSTITUT TEKNOLOGI DAN BISNIS MUHAMMADIYAH WAKATOBI,SULAWESI TENGGARA,SWASTA,BAIK,-,KEWIRAUSAHAAN,S1,BAIK,2189999.0,1094999.0
1,16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,PETERNAKAN,S1,B,2200000.0,1100000.0
1,16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,BAHASA INGGRIS,S1,B,2200000.0,1100000.0
1,16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,GURU SD,S1,A,2200000.0,1100000.0
1,16,UNIVERSITAS AL MUSLIM,ACEH,SWASTA,B,-,BUDIDAYA PERAIRAN,S1,B,2200000.0,1100000.0
1,1886,UNIVERSITAS NUKU,MALUKU UTARA,SWASTA,BAIK,-,ADMINISTRASI NEGARA,S1,BAIK,2250000.0,1125000.0
