faculty,building_name,address,institution_code
ALL,Kantor PPM Center Jababeka,Kawasan Industri Jababeka 1.  Jl. Jababeka Raya Kav A-2 Cikarang JB 17530 – Indonesia),quipper-1
ALL,Kantor PPM Center Surabaya,"Graha Pena, Jl. Ahmad Yani No.88, Ketintang, Gayungan, Kota SBY, Jawa Timur 60234",quipper-1
Ekonomi,Kampus Utama,"Jl. Menteng Raya No.9-19, RT.1/RW.10, Kb. Sirih, Menteng, Jakarta Pusat, DKI Jakarta 10340",quipper-1
ALL,Kantor PPM Center Makassar,"Jl. Boto Lempangan No.52, Sawerigading, Kec. Makassar, Kota Makassar, Sulawesi Selatan 90115",quipper-1
ALL,Cilandak Campus,"Jl. RA. Kartini (TB Simatupang), Cilandak Barat Jakarta Selatan, Jakarta Selatan 12430",quipper-2
ALL,Kampus BSD,"BSD City Kavling Edutown I.1 Jl. BSD Raya Utama, BSD City 15339 Kabupaten Tangerang, Indonesia",quipper-2
Event Management,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",quipper-3
Culinary Arts,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",quipper-3
Hotel Management,Politeknik Internasional Bali (PIB),"Jalan Pantai Nyanyi, Beraban",quipper-3
Fakultas Ekonomi dan Bisnis,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
Fakultas Psikologi,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
Fakultas Ilmu Sosial dan Humaniora,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
Fakultas Teknik dan Ilmu Komputer,Kampus 1,"Jl. Tanjung Duren Raya no. 4, Jakarta Barat",quipper-4
Fakultas Kedokteran dan Ilmu Kesehatan,Kampus 2,"Jl. Arjuna Utara no. 6, Jakarta Barat",quipper-4
ALL,Kampus 3,"Kokan Permata Blok A no. 6-8, Jl. Boulevard Bukit Gading Raya, Kelapa Gading, Jakarta Utara",quipper-4
Fakultas Keguruan dan Ilmu Pendidikan,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Ilmu Komunikasi,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Ilmu Komputer,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Teknik,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Fisioterapi,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Desain dan Industri Kreatif,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Ekonomi dan Bisnis,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
Fakultas Psikologi,Universitas Esa Unggul (UEU),"Jl. Arjuna Utara No. 9, Kebon Jeruk, Jakarta Barat 11510",quipper-5
