institution_code,institution_name,body_type,link,student_amount,lecturer_amount,contact,description,unknown_field,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
quipper-1,PPM SCHOOL OF MANAGEMENT,SWASTA,https://campus.quipper.com/directory/ppm-school-of-management,938.0,82.0,"{""website"": ""www.ppmschool.ac.id"", ""email"": ""smb-ppm@ppm-manajemen.ac.id"", ""phone"": ""0878-7618-5364""}","PPM School of Management merupakan pelopor dan salah satu institusi lembaga pendidikan yang unggul di bidang studi Manajemen di Indonesia. Bentuk keunggulan kampus ini antara lain menjalin kemitraan dengan berbagai organisasi baik organisasi pemerintah, BUMN, swasta atau pun organisasi nirlaba dalam berbagi pengalaman di bidang pembelajaran teori dan praktik manajemen. Dengan kerja sama ini tentu kamu akan mendapatkan banyak pengalaman, terutama di bidang praktisi pada saat kuliah nanti, Quipperian! Selain itu, untuk memperkaya pengetahuan mahasiswanya, PPM School of Management merancang kurikulum yang terintegrasi dengan soft skill development hingga sertifikasi yang memudahkan lulusannya berkarier di berbagai negara di dunia. Kampus ini juga memiliki berbagai kegiatan pertukaran mahasiswa ke berbagai universitas yang tersebar di Australia, Prancis, Korea, India, Taiwan, Vietnam, dan negara ASEAN lainnya. Keren banget, kan?",{},6000000.0,6000000.0,6000000.0,12000000.0,12000000.0,12000000.0
quipper-2,UNIVERSITAS PRASETIYA MULYA,SWASTA,https://campus.quipper.com/directory/universitas-prasetiya-mulya,4704.0,185.0,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""info@prasetiyamulya.ac.id"", ""phone"": "" 304-50-500 / 0815-1166-2005""}","Universitas Prasetiya Mulya, atau yang lebih dikenal dengan nama Prasmul, didirikan pada tahun 1982 berkat inisiasi lebih dari 70 pengusaha Indonesia terkemuka kala itu, di antaranya Soedono Salim , William Soeryadjaya , Susanta Lyman , dan Eka Tjipta Widjaja  yang berkolaborasi dengan para akademisi seperti Harry Tjan Silalahi dan Jusuf Wanandi. Awalnya, Prasetiya Mulya lahir sebagai pionir program MBA di Indonesia dan berkembang dengan menghadirkan program S1 tahun 2005.",{},23500000.0,22000000.0,25000000.0,47000000.0,44000000.0,50000000.0
quipper-3,POLITEKNIK INTERNASIONAL BALI,SWASTA,https://campus.quipper.com/directory/politeknik-internasional-bali,-1.0,-1.0,"{""website"": ""www.pib.ac.id"", ""email"": ""admission@pib.ac.id"", ""phone"": ""085157377153""}","Politeknik Internasional Bali , The Leading Vocational Campus for Tourism, Digital, and Creative Industries, secara resmi didirikan melalui Surat Keputusan Kementerian Riset, Teknologi, dan Pendidikan Tinggi Republik Indonesia No.187/KPT/I/2017.",{},19414062.5,10656250.0,35000000.0,38828125.0,21312500.0,70000000.0
quipper-4,UNIVERSITAS KRISTEN KRIDA WACANA,SWASTA,https://campus.quipper.com/directory/universitas-kristen-krida-wacana,3000.0,300.0,"{""website"": ""www.ukrida.ac.id"", ""email"": ""admisi@ukrida.ac.id"", ""phone"": ""021-5669999, 021-5666952, ext 1171/1172, 081280961970""}","Universitas Kristen Krida Wacana  merupakan perguruan tinggi swasta yang berdiri sejak tahun 1967 di bawah naungan GKI Sinode Jakarta Barat. UKRIDA memiliki tiga kampus dan dua rumah sakit pendidikan, dengan 5 fakultas dan 13 program studi, serta didukung program soft skills untuk menyiapkan mahasiswanya siap terjun di dunia karier.",{},12000000.0,12000000.0,12000000.0,24000000.0,24000000.0,24000000.0
quipper-5,UNIVERSITAS ESA UNGGUL,SWASTA,https://campus.quipper.com/directory/universitas-esa-unggul,15749.0,592.0,"{""website"": ""www.esaunggul.ac.id"", ""email"": ""humas@esaunggul.ac.id"", ""phone"": ""021-5674223""}","Universitas Esa Unggul didirikan tahun 1993 di bawah naungan Yayasan Pendidikan Kemala Mencerdaskan Bangsa. Universitas Esa Unggul adalah Perguruan Tinggi Swasta terkemuka dan menjadi salah satu universitas swasta terbaik di Indonesia yang memiliki visi, Menjadi perguruan tinggi kelas dunia berbasis intelektualitas, kreatifitas dan kewirausahaan yang unggul dalam mutu pengelolaan  dan hasil  kegiatan Tridharma Perguruan Tinggi. Adapun misinya adalah: menyelenggarakan pendidikan yang bermutu dan relevan, menciptakan suasana akademik yang kondusif, dan menciptakan pemimpin yang berkarakter dan berdaya saing tinggi.",{},12500000.0,11000000.0,14000000.0,25000000.0,22000000.0,28000000.0
quipper-6,UNIVERSITAS ATMA JAYA YOGYAKARTA,SWASTA,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta,-1.0,-1.0,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}","Pendirian Universitas Atma Jaya Yogyakarta digagas dan diawali oleh Pengurus Ikatan Sarjana Katolik  cabang Yogyakarta. Pada tanggal 13 Mei 1965, terbentuklah Yayasan Universitas Katolik Indonesia Atma Jaya Cabang Yogyakarta, yang sekarang menjadi Yayasan Slamet Rijadi Yogyakarta.",{},9000000.0,9000000.0,9000000.0,18000000.0,18000000.0,18000000.0
quipper-12,UNIVERSITAS TRILOGI,SWASTA,https://campus.quipper.com/directory/universitas-trilogi,3011.0,92.0,"{""website"": ""www.trilogi.ac.id"", ""email"": ""info@trilogi.ac.id"", ""phone"": ""021-7980011""}","Universitas Trilogi merupakan pengembangan dari Sekolah Tinggi Ilmu Ekonomi Keuangan dan Perbankan Indonesia , yang didirikan pada tahun 1988 dan bernaung dibawah Yayasan Pengembangan Pendidikan Indonesia Jakarta . Saat ini, Universitas Trilogi telah terakreditasi B oleh Badan Akreditasi Nasional Perguruan Tinggi  dan memiliki 12 program studi. Selain itu, Universitas Trilogi juga memiliki komitmen yang dikenal dengan tiga pilar yaitu pengembangan kewirausahaan berbasis penguasaan teknologi , kemampuan bekerjasama dan mengelola teamwork yang solid serta jejaring yang luas , dan kemandirian.",{},6375000.0,4000000.0,8750000.0,12750000.0,8000000.0,17500000.0
quipper-13,UNIVERSITAS PGRI KANJURUHAN MALANG,SWASTA,https://campus.quipper.com/directory/universitas-pgri-kanjuruhan-malang,4003.0,216.0,"{""website"": ""www.unikama.ac.id"", ""email"": ""email@unikama.ac.id"", ""phone"": "" 801488""}","Universitas PGRI Kanjuruhan Malang atau UNIKAMA adalah pengembangan dari Institut Keguruan dan Ilmu Pendidikan Persatuan Guru Republik Indonesia  Malang dan Sekolah Tinggi Bahasa Asing  Kanjuruhan Malang. Perguruan tinggi ini bernaung di bawah Perkumpulan Pembina Lembaga Pendidikan Perguruan Tinggi Persatuan Guru Republik Indonesia yang disingkat PPLP PT PGRI Malang. Saat ini, UNIKAMA memiliki enam fakultas yaitu Fakultas Ilmu Pendidikan , Fakultas Sains & Teknologi , Fakultas Ekonomika dan Bisnis , Fakultas Hukum , Fakultas Bahasa dan Sastra , dan Fakultas Peternakan . Selain itu, universitas ini juga menyelenggarakan Program Pascasarjana dan Program Pendidikan Profesi Guru.",{},3400000.0,3400000.0,3400000.0,6800000.0,6800000.0,6800000.0
quipper-14,STIKES MUHAMMADIYAH CIREBON,SWASTA,https://campus.quipper.com/directory/stikes-muhammadiyah-cirebon,309.0,27.0,"{""website"": ""STIKesmuhcrb.ac.id"", ""email"": ""info@STIKesmuhcrb.ac.id"", ""phone"": ""0231-490677""}","STIKes Muhammadiyah Cirebon adalah salah satu Amal Usaha Muhammadiyah  yang berdiri sejak 31 Juli 2006 sebagai bentuk transformasi dari Akademi Kebidanan Muhammadiyah Cirebon. Sebagai kampus Muhammadiyah, STIKes Muhammadiyah Cirebon memiliki Catur Darma Perguruan Tinggi sebagai fungsi keberadaannya sebagai institusi Perguruan Tinggi yaitu Pendidikan dan Pengajaran, Penelitian, Pengabdian kepada Masyarakat dan Al-Islam Kemuhammadiyahan. Awal pendirian STIKes Muhammadiyah Cirebon berangkat dari prinsip persyarikatan Muhammadiyah sebagai gerakan Islam amar ma’ruf nahi munkar yang bergerak di bidang pendidikan kesehatan dan kesejahteraan sosial.",{},11800000.0,5500000.0,18100000.0,23600000.0,11000000.0,36200000.0
quipper-15,UNIVERSITAS SAHID,SWASTA,https://campus.quipper.com/directory/universitas-sahid,4148.0,127.0,"{""website"": ""www.usahid.ac.id"", ""email"": ""daftar@usahid.ac.id"", ""phone"": ""83785303/304, 8312813/15 ext 104""}","Universitas Sahid  merupakan perguruan tinggi yang didirikan pada 14 Maret 1988. Usahid menyelenggarakan berbagai jenjang pendidikan mulai dari diploma hingga profesi. Adapun program studi yang disediakan antara lain D3 Broadcasting , S1 Manajemen, S1 Teknik Lingkungan, S1 Gizi, dan S3 Ilmu Komunikasi. Silakan simak informasi berikut, untuk mengetahui lebih banyak hal terkait kampus ini!",{},7725000.0,4850000.0,10600000.0,15450000.0,9700000.0,21200000.0
