faculty,prodi,quipper_institution_code
Event Management,Event Management,1
Culinary Arts,Seni Kuliner,1
Hotel Management,Manajemen Perhotelan,1
Ekonomi,Manajemen,2
Ekonomi,Akuntansi,2
Ekonomi,Bisnis,2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Business Mathematics,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Computer Systems Engineering,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Digital Business Technology,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Food Business Technology,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Product Design Engineering,3
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Renewable Energy Engineering,3
School of Business and Economics,Accounting,3
School of Business and Economics,Branding,3
School of Business and Economics,Business,3
School of Business and Economics,Business Economics,3
School of Business and Economics,Event,3
School of Business and Economics,Finance and Banking,3
School of Business and Economics,Financial Technology,3
School of Business and Economics,International Business Law,3
School of Business and Economics,Hospitality Business,3
Fakultas Kedokteran dan Ilmu Kesehatan,Pendidikan Dokter,4
Fakultas Kedokteran dan Ilmu Kesehatan,Ilmu Keperawatan,4
Fakultas Kedokteran dan Ilmu Kesehatan,Lainnya,4
Fakultas Ekonomi dan Bisnis,Akuntansi,4
Fakultas Ekonomi dan Bisnis,Manajemen,4
Fakultas Psikologi,Psikologi,4
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,4
Fakultas Teknik dan Ilmu Komputer,Teknik Elektro,4
Fakultas Teknik dan Ilmu Komputer,Teknik Industri,4
Fakultas Teknik dan Ilmu Komputer,Teknik Sipil,4
Fakultas Teknik dan Ilmu Komputer,Teknik Informatika,4
Fakultas Teknik dan Ilmu Komputer,Sistem Informasi,4
Fakultas Teknologi Industri,Sistem Informasi,5
Fakultas Teknologi Industri,Teknik Industri,5
Fakultas Teknologi Industri,Informatika,5
Fakultas Teknik,Teknik Sipil,5
Fakultas Teknik,Arsitektur,5
Fakultas Hukum,Hukum,5
Fakultas Teknobiologi,Biologi,5
Fakultas Bisnis dan Ekonomika,Akuntansi,5
Fakultas Bisnis dan Ekonomika,Manajemen,5
Fakultas Bisnis dan Ekonomika,Ekonomi Pembangunan,5
Fakultas Ilmu Sosial dan Politik,Sosiologi,5
Fakultas Ilmu Sosial dan Politik,Ilmu Komunikasi,5
Program Internasional,International Industrial Engineering Program,5
Program Internasional,International Civil Engineering Program,5
Program Internasional,International Undergraduate Program in Business Accounting,5
Program Internasional,International Business Management Program,5
Program Internasional,International Communication Program.,5
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Guru SD,6
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,6
Fakultas Ilmu Komunikasi,Marketing Communication,6
Fakultas Ilmu Komunikasi,Jurnalistik,6
Fakultas Ilmu Komunikasi,Humas,6
Fakultas Ilmu Komunikasi,Broadcasting,6
Fakultas Ilmu Komputer,Sistem Informasi,6
Fakultas Ilmu Komputer,Teknik Informatika,6
Fakultas Teknik,Teknik Industri,6
Fakultas Teknik,Perencanaan Wilayah dan Kota,6
Fakultas Teknik,Survei dan Pemetaan,6
Fakultas Fisioterapi,Fisioterapi,6
Fakultas Desain dan Industri Kreatif,Desain Komunikasi Visual,6
Fakultas Desain dan Industri Kreatif,Desain Produk,6
Fakultas Desain dan Industri Kreatif,Desain Interior,6
Fakultas Desain dan Industri Kreatif,,6
Fakultas Ekonomi dan Bisnis,Akuntansi Sektor Bisnis,6
Fakultas Ekonomi dan Bisnis,Manajemen Bisnis,6
Fakultas Psikologi,Psikologi,6
Fakultas Hukum,Ilmu Hukum,6
Fakultas Ilmu-Ilmu Kesehatan,Kesehatan Masyarakat,6
Fakultas Ilmu-Ilmu Kesehatan,Ilmu Gizi,6
Fakultas Ilmu-Ilmu Kesehatan,Rekam Medik & Informasi Kesehatan,6
Fakultas Ilmu-Ilmu Kesehatan,Keperawatan,6
Fakultas Ilmu-Ilmu Kesehatan,Manajemen Informasi Kesehatan,6
Fakultas Ilmu-Ilmu Kesehatan,Bioteknologi,6
Fakultas Ilmu-Ilmu Kesehatan,Farmasi,6
Pascasarjana,Ilmu Komputer,6
Pascasarjana,Manajemen,6
Pascasarjana,Akuntansi,6
Pascasarjana,Ilmu Administrasi,6
Pascasarjana,Ilmu Hukum,6
Pascasarjana,Ilmu Komunikasi,6
Fakultas Psikologi,Psikologi,7
Fakultas Psikologi,Magister Psikologi,7
Fakultas Psikologi,Profesi Psikologi,7
Fakultas Psikologi,Doktoral Psikologi,7
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Administrasi Bisnis,7
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Komunikasi,7
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Pariwisata,7
Fakultas Ilmu Administrasi Bisnis dan Ilmu Komunikasi,Ilmu Administrasi Bisnis,7
Fakultas Ekonomi dan Bisnis,Manajemen,7
Fakultas Ekonomi dan Bisnis,Akuntansi,7
Fakultas Ekonomi dan Bisnis,Ekonomi Pembangunan,7
Fakultas Teknobiologi,Bioteknologi,7
Fakultas Teknobiologi,Teknologi Pangan,7
Fakultas Kedokteran dan Ilmu Kesehatan,Kedokteran,7
Fakultas Kedokteran dan Ilmu Kesehatan,Dokter,7
Fakultas Kedokteran dan Ilmu Kesehatan,Farmasi,7
Fakultas Kedokteran dan Ilmu Kesehatan,Biomedik,7
Fakultas Teknik,Teknik Mesin,7
Fakultas Teknik,Teknik Industri,7
Fakultas Teknik,Teknik Elektro,7
Fakultas Teknik,Sistem Informasi,7
Fakultas Hukum,Ilmu Hukum,7
Fakultas Pendidikan dan Bahasa,Bimbingan dan Konseling,7
Fakultas Pendidikan dan Bahasa,Ilmu Pendidikan Teologi (Keagamaan Katolik),7
Fakultas Pendidikan dan Bahasa,Pendidikan Guru Sekolah Dasar,7
Fakultas Pendidikan dan Bahasa,Pendidikan Bahasa Inggris,7
Fakultas Pendidikan dan Bahasa,Linguistik Terapan Bahasa Inggris,7
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,8
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,8
Fakultas Sains dan Teknologi,Teknik Informatika,8
Fakultas Sains dan Teknologi,Teknik Mesin,8
Fakultas Sains dan Teknologi,Teknik Elektro,8
Fakultas Sains dan Teknologi,Teknik Industri,8
Fakultas Ekonomi dan Bisnis,Manajemen,8
Fakultas Ekonomi dan Bisnis,Akuntansi,8
Fakultas Ekonomi dan Bisnis,,8
Pelayaran,Ilmu Teknik,9
Pelayaran,Kelautan,9
Pelayaran,Sekolah Kedinasan,9
Pelayaran,Nautika,9
Sarjana,Akuntansi,10
Sarjana,Administrasi Bisnis,10
Sarjana,Ilmu Komunikasi,10
Sarjana,Manajemen,10
Sarjana,Sistem Informasi,10
Sarjana,Teknik Informatika,10
Pascasarjana,Akuntansi,10
Pascasarjana,Manajemen,10
Fakultas Psikologi,Psikologi,11
Fakultas Ilmu Kesehatan,Analis Kesehatan,11
Fakultas Teknik,Analis Kimia,11
Fakultas Teknik,Teknik Kimia,11
Fakultas Teknik,Teknik Industri,11
Fakultas Farmasi,Analis Farmasi dan Makanan,11
Fakultas Farmasi,Farmasi,11
Fakultas Farmasi,Apoteker,11
Fakultas Ekonomi,Akuntansi,11
Fakultas Ekonomi,Manajemen,11
Fakultas Keguruan dan Ilmu Pendidikan,Bimbingan dan Konseling,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Kimia,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Agama Kristen,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Biologi,13
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Fisika,13
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Komunikasi,13
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Politik,13
Fakultas Ilmu Sosial dan Ilmu Politik,Ilmu Hubungan Internasional,13
Fakultas Kedokteran,Kedokteran,13
Fakultas Kedokteran,Dokter,13
Fakultas Teknik,Teknik Mesin,13
Fakultas Teknik,Teknik Elektro,13
Fakultas Teknik,Teknik Sipil,13
Fakultas Teknik,Teknik Arsitektur,13
Fakultas Hukum,Ilmu Hukum,13
Fakultas Ekonomi dan Bisnis,Manajemen,13
Fakultas Ekonomi dan Bisnis,Akuntansi,13
Fakultas Sastra dan Bahasa,Pendidikan Bahasa Inggris,13
Fakultas Sastra dan Bahasa,Sastra Inggris,13
Fakultas Sastra dan Bahasa,Pendidikan Bahasa Mandarin,13
Program Pascasarjana,Administrasi Pendidikan,13
Program Pascasarjana,Hukum,13
Program Pascasarjana,Pendidikan Agama Kristen,13
Program Pascasarjana,Manajemen,13
Program Pascasarjana,Teknik Elektro,13
Program Pascasarjana,Arsitektur,13
Program Pascasarjana,Pendidikan Agama Kristen,13
Program Pascasarjana,Hukum,13
Fakultas Vokasi,Fisioterapi,13
Fakultas Vokasi,Keperawatan,13
Fakultas Vokasi,Analisis Keuangan,13
Fakultas Vokasi,Manajemen Pajak,13
Fakultas Teknologi dan Desain,Teknik Informatika,14
Fakultas Teknologi dan Desain,Sistem Informasi,14
Fakultas Teknologi dan Desain,Teknik Industri,14
Fakultas Teknologi dan Desain,Desain Komunikasi Visual (DKV),14
Fakultas Teknologi dan Desain,Bisnis Digital,14
Fakultas Teknologi dan Desain,Data Science,14
Fakultas Ilmu Sosial dan Humaniora,Akuntansi,14
Fakultas Ilmu Sosial dan Humaniora,Manajemen,14
Fakultas Ilmu Sosial dan Humaniora,Sastra & Bahasa Asing,14
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,14
Fakultas Ilmu Sosial dan Humaniora,Ilmu Komunikasi,14
Fakultas Ilmu Sosial dan Humaniora,Psikologi,14
Fakultas Ilmu Sosial dan Humaniora,Pariwisata,14
Akademi Pariwisata,Perhotelan,14
Bunda Mulia Long Distance Learning (BMLD),Akuntansi (Pembelajaran Jarak Jauh),14
Bunda Mulia Long Distance Learning (BMLD),Manajemen (Pembelajaran Jarak Jauh),14
Ilmu Kesehatan,Farmasi,15
Ilmu Kesehatan,Gizi,15
Ilmu Kesehatan,Keperawatan,15
Ilmu Kesehatan,Teknologi Laboratorium Medis,15
Pascasarjana,Manajemen,17
Sarjana,Akuntansi,17
Sarjana,Manajemen,17
Fakultas Ekonomi,Manajemen,19
Fakultas Ekonomi,Akuntansi,19
Fakultas Hukum,Ilmu Hukum,19
Fakultas Teknik,Akunpunktur dan Pengobatan Herbal,19
Fakultas Teknik,Teknik Industri,19
Fakultas Teknik,Informatika,19
Fakultas Teknik,Arsitektur,19
Sarjana,Manajemen,20
Sarjana,Akuntansi,20
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Matematika,21
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa dan Sastra Indonesia,21
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,21
Fakultas Hukum,Ilmu Hukum,21
Fakultas Agama Islam,Ahwal Al-Syakhshiyah,21
Fakultas Agama Islam,Pendidikan Islam Anak Usia Dini (PIAUD),21
Fakultas Agama Islam,Pendidikan Agama Islam,21
Fakultas Agama Islam,Pendidikan Guru Madrasah Ibtidaiyah (PGMI),21
Fakultas Agama Islam,Pendidikan Bahasa Arab,21
Fakultas Teknik,Teknik Mesin,21
Fakultas Teknik,Teknik Elektro,21
Fakultas Teknik,Teknik Sipil,21
Fakultas Ilmu Administrasi,Ilmu Administrasi Negara,21
Fakultas Ilmu Administrasi,Ilmu Administrasi Niaga,21
Fakultas Ilmu Administrasi,Ilmu Administrasi,21
Fakultas Kedokteran,Pendidikan Kedokteran,21
Fakultas Kedokteran,Profesi Dokter,21
Fakultas Kedokteran,Farmasi,21
Fakultas Pertanian,Agroeknologi,21
Fakultas Pertanian,Agribisnis,21
Fakultas Ekonomi dan Bisnis,Manajemen,21
Fakultas Ekonomi dan Bisnis,Akuntansi,21
Fakultas Ekonomi dan Bisnis,Perbankan Syariah,21
Fakultas Ekonomi dan Bisnis,Kenotariatan,21
Fakultas Peternakan,Peternakan,21
