faculty,prodi,institution_code
EKONOMI,MANAJEMEN,quipper-1
EKONOMI,AKUNTANSI,quipper-1
EKONOMI,BISNIS,quipper-1
SCHOOL OF APPLIED STEM,BUSINESS MATHEMATICS,quipper-2
SCHOOL OF APPLIED STEM,COMPUTER SYSTEMS ENGINEERING,quipper-2
SCHOOL OF APPLIED STEM,DIGITAL BUSINESS TECHNOLOGY,quipper-2
SCHOOL OF APPLIED STEM,FOOD BUSINESS TECHNOLOGY,quipper-2
SCHOOL OF APPLIED STEM,PRODUCT DESIGN ENGINEERING,quipper-2
SCHOOL OF APPLIED STEM,RENEWABLE ENERGY ENGINEERING,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,ACCOUNTING,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,BRANDING,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,BUSINESS,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,BUSINESS ECONOMICS,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,EVENT,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,FINANCE AND BANKING,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,FINANCIAL TECHNOLOGY,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,INTERNATIONAL BUSINESS LAW,quipper-2
SCHOOL OF BUSINESS AND ECONOMICS,HOSPITALITY BUSINESS,quipper-2
EVENT MANAGEMENT,EVENT MANAGEMENT,quipper-3
CULINARY ARTS,SENI KULINER,quipper-3
HOTEL MANAGEMENT,MANAJEMEN PERHOTELAN,quipper-3
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,PENDIDIKAN DOKTER,quipper-4
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,ILMU KEPERAWATAN,quipper-4
FAKULTAS KEDOKTERAN DAN ILMU KESEHATAN,LAINNYA,quipper-4
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI,quipper-4
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN,quipper-4
FAKULTAS PSIKOLOGI,PSIKOLOGI,quipper-4
FAKULTAS ILMU SOSIAL DAN HUMANIORA,SASTRA INGGRIS,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,TEKNIK ELEKTRO,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,TEKNIK INDUSTRI,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,TEKNIK SIPIL,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,TEKNIK INFORMATIKA,quipper-4
FAKULTAS TEKNIK DAN ILMU KOMPUTER,SISTEM INFORMASI,quipper-4
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN GURU SD,quipper-5
FAKULTAS KEGURUAN DAN ILMU PENDIDIKAN,PENDIDIKAN BAHASA INGGRIS,quipper-5
FAKULTAS ILMU KOMUNIKASI,MARKETING COMMUNICATION,quipper-5
FAKULTAS ILMU KOMUNIKASI,JURNALISTIK,quipper-5
FAKULTAS ILMU KOMUNIKASI,HUMAS,quipper-5
FAKULTAS ILMU KOMUNIKASI,BROADCASTING,quipper-5
FAKULTAS ILMU KOMPUTER,SISTEM INFORMASI,quipper-5
FAKULTAS ILMU KOMPUTER,TEKNIK INFORMATIKA,quipper-5
FAKULTAS TEKNIK,TEKNIK INDUSTRI,quipper-5
FAKULTAS TEKNIK,PERENCANAAN WILAYAH DAN KOTA,quipper-5
FAKULTAS TEKNIK,SURVEI DAN PEMETAAN,quipper-5
FAKULTAS FISIOTERAPI,FISIOTERAPI,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,DESAIN KOMUNIKASI VISUAL,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,DESAIN PRODUK,quipper-5
FAKULTAS DESAIN DAN INDUSTRI KREATIF,DESAIN INTERIOR,quipper-5
FAKULTAS EKONOMI DAN BISNIS,AKUNTANSI SEKTOR BISNIS,quipper-5
FAKULTAS EKONOMI DAN BISNIS,MANAJEMEN BISNIS,quipper-5
FAKULTAS PSIKOLOGI,PSIKOLOGI,quipper-5
FAKULTAS HUKUM,ILMU HUKUM,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,KESEHATAN MASYARAKAT,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,ILMU GIZI,quipper-5
FAKULTAS ILMU-ILMU KESEHATAN,REKAM MEDIK & INFORMASI KESEHATAN,quipper-5
