nama_kampus,link_kampus,akreditasi_kampus,status,alamat,kota,provinsi,website,ranking_webometric,biaya_semester_min,biaya_semester_max,biaya_rata_tahunan,biaya_rata_keseluruhan,uang_pangkal,biaya_semester,biaya_per_bulan,biaya_per_tahun,biaya_total,provinsi_id,telepon,email,fax,tahun_berdiri,jumlah_mahasiswa,jumlah_dosen,luas_kampus,jenjang_tersedia,fasilitas,beasiswa,kerjasama,prestasi,visi,misi,fakultas,prodi,akreditasi_prodi
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Agroteknologi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Peternakan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Agribisnis,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Budidaya Perairan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kehutanan,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Teknologi Industri Pertanian,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Matematika,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa Inggris,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Biologi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa dan Sastra Indonesia,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Fisika,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Ekonomi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Guru SD,A
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Geografi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Guru Paud,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Administrasi Negara,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Administrasi Niaga,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Hubungan Internasional,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ekonomi Pembangunan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Teknik Informatika,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Teknik Sipil,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kebidanan,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Arsitektur,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Manajemen Informatika,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Agroteknologi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Peternakan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Agribisnis,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Budidaya Perairan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kehutanan,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Teknologi Industri Pertanian,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Matematika,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa Inggris,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Biologi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa dan Sastra Indonesia,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Fisika,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Ekonomi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Guru SD,A
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Geografi,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Guru Paud,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Administrasi Negara,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Administrasi Niaga,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ilmu Hubungan Internasional,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Ekonomi Pembangunan,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Teknik Informatika,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Teknik Sipil,B
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kebidanan,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Arsitektur,C
Universitas Al Muslim,https://rencanamu.id/cari-kampus/universitas-al-muslim,i:B,Swasta,-,-,-,-,-,1100000,1100000,2200000,8800000,-,-,-,-,-,1,+62644 41126,-,-,2003,7278,7278,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Manajemen Informatika,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Agama Islam,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa Inggris,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Ekonomi,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,"Pendidikan Jasmani, Kesehatan dan Rekreasi",B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Kimia,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Biologi,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Akuntansi,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Manajemen,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kesehatan Masyarakat,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Agama Islam,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Bahasa Inggris,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Ekonomi,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,"Pendidikan Jasmani, Kesehatan dan Rekreasi",B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Kimia,B
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Biologi,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Akuntansi,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Manajemen,C
Universitas Serambi Mekkah,https://rencanamu.id/cari-kampus/universitas-serambi-mekkah,i:Tidak Terdefinisi,Swasta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,+62651 26160,-,-,1985,13035,13035,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Kesehatan Masyarakat,B
Universitas Muhammadiyah Sumatera Utara,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-sumatera-utara,i:B,Swasta,-,-,-,-,-,4000000,6500000,5250000,21000000,-,-,-,-,-,2,+6261 662 2400,-,-,1957,18581,18581,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Manajemen Syariah,A
Universitas Muhammadiyah Sumatera Utara,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-sumatera-utara,i:B,Swasta,-,-,-,-,-,4000000,6500000,5250000,21000000,-,-,-,-,-,2,+6261 662 2400,-,-,1957,18581,18581,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Agama Islam,A
Universitas Muhammadiyah Sumatera Utara,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-sumatera-utara,i:B,Swasta,-,-,-,-,-,4000000,6500000,5250000,21000000,-,-,-,-,-,2,+6261 662 2400,-,-,1957,18581,18581,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Pendidikan Anak usia Dini,B
Universitas Muhammadiyah Sumatera Utara,https://rencanamu.id/cari-kampus/universitas-muhammadiyah-sumatera-utara,i:B,Swasta,-,-,-,-,-,4000000,6500000,5250000,21000000,-,-,-,-,-,2,+6261 662 2400,-,-,1957,18581,18581,-,"Profesi, S2, S3",Fasilitas asrama atau kos sekitar kampus,Tersedia,-,-,-,-,Umum,Perbankan Syariah,B
