institution_code,institution_name,campus_accreditation,address,province,body_type,link,description,contact,lecturer_amount,student_amount,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
rencanamu-1,AKADEMI BAHASA ASING BINA SARANA INFORMATIKA JAKARTA,-,-,DKI JAKARTA,-,-,-,Tel: +621 310 0041,-1,-1,1440000,1440000,11520000,2880000,2880000,11520000
rencanamu-10,BINUS UNIVERSITY MALANG,-,-,JAWA TIMUR,-,-,-,Tel: (0341)3036969,-1,-1,5250000,5250000,42000000,10500000,10500000,42000000
rencanamu-100,UNIVERSITAS ATMA JAYA YOGYAKARTA,A,-,DI YOGYAKARTA,-,-,-,Tel: +62274 48 7711,9381,9381,2500000,2500000,20000000,5000000,5000000,20000000
rencanamu-101,UNIVERSITAS AZZAHRA,-,-,DKI JAKARTA,-,-,-,Tel: +6221 280 0647,5829,5829,3750000,3750000,30000000,7500000,7500000,30000000
rencanamu-102,UNIVERSITAS BAITURRAHMAH,A,-,SUMATERA BARAT,-,-,-,Tel: +62751 463069,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-103,UNIVERSITAS BAKRIE,B,-,DKI JAKARTA,-,-,-,Tel: +6221 526 1448,2278,2278,5273500,5273500,42188000,10547000,10547000,42188000
rencanamu-104,UNIVERSITAS BALIKPAPAN,B,-,KALIMANTAN TIMUR,-,-,-,Tel: +62542 76 4205,6221,6221,750000,750000,6000000,1500000,1500000,6000000
rencanamu-105,UNIVERSITAS BATAM,B,-,KEPULAUAN RIAU,-,-,-,Tel: 0778 7485055,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-106,UNIVERSITAS BATANGHARI JAMBI,-,-,JAMBI,-,-,-,Tel: +62741 6 0673,7254,7254,3510500,3510500,28084000,7021000,7021000,28084000
rencanamu-107,UNIVERSITAS BATURAJA,-,-,SUMATERA SELATAN,-,-,-,Tel: +62735 32 6122,4975,4975,-1,-1,-1,-1,-1,-1
rencanamu-108,UNIVERSITAS BHAYANGKARA JAKARTA RAYA,B,-,DKI JAKARTA,-,-,-,Tel: +6221 723 1948,7843,7843,2100000,2100000,16800000,4200000,4200000,16800000
rencanamu-109,UNIVERSITAS BHAYANGKARA SURABAYA,B,-,JAWA TIMUR,-,-,-,Tel: +6231 828 5601,3022,3022,5700000,5700000,45600000,11400000,11400000,45600000
rencanamu-11,CALVIN INSTITUTE OF TECHNOLOGY,-,-,DKI JAKARTA,-,-,-,Tel: 0 800 1-225846,500,500,27500000,27500000,220000000,55000000,55000000,220000000
rencanamu-110,UNIVERSITAS BINA BANGSA,-,-,BANTEN,-,-,-,Tel: +62254 22 0158,8319,8319,3325000,3325000,26600000,6650000,6650000,26600000
rencanamu-111,UNIVERSITAS BINA DARMA,B,-,SUMATERA SELATAN,-,-,-,Tel: 0711-515582,-1,-1,-1,-1,-1,-1,-1,-1
rencanamu-112,UNIVERSITAS BINAWAN,C,-,DKI JAKARTA,-,-,-,Tel: (021)80880882,-1,-1,-1,-1,-1,-1,-1,-1
