institution_code,institution_name,akreditasi_kampus,address,provinsi,faculty,prodi,akreditasi_prodi,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee
rencanamu-1,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,AGROTEKNOLOGI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-2,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PETERNAKAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-3,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,AGRIBISNIS,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-4,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,BUDIDAYA PERAIRAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-5,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,KEHUTANAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-6,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,TEKNOLOGI INDUSTRI PERTANIAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-7,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN MATEMATIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-8,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BAHASA INGGRIS,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-9,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BIOLOGI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-10,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-11,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN FISIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-12,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN EKONOMI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-13,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GURU SD,A,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-14,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GEOGRAFI,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-15,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN GURU PAUD,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-16,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU ADMINISTRASI NEGARA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-17,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU ADMINISTRASI NIAGA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-18,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ILMU HUBUNGAN INTERNASIONAL,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-19,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,EKONOMI PEMBANGUNAN,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-20,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,PENDIDIKAN TEKNIK INFORMATIKA,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-21,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,TEKNIK SIPIL,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-22,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,KEBIDANAN,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-23,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,ARSITEKTUR,C,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-24,UNIVERSITAS AL MUSLIM,B,-,ACEH,UMUM,MANAJEMEN INFORMATIKA,B,1100000,1100000,8800000,2200000,2200000,8800000
rencanamu-25,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN AGAMA ISLAM,B,-,-,-,-,-,-
rencanamu-26,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN BAHASA INGGRIS,B,-,-,-,-,-,-
rencanamu-27,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,PENDIDIKAN EKONOMI,B,-,-,-,-,-,-
rencanamu-28,UNIVERSITAS SERAMBI MEKKAH,-,-,ACEH,UMUM,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",B,-,-,-,-,-,-
