prodi_code,institution_code,faculty,prodi,akreditasi_prodi
prodi-1,rencanamu-97,UMUM,AGROTEKNOLOGI,B
prodi-2,rencanamu-97,UMUM,PETERNAKAN,B
prodi-3,rencanamu-97,UMUM,AGRIBISNIS,B
prodi-4,rencanamu-97,UMUM,BUDIDAYA PERAIRAN,B
prodi-5,rencanamu-97,UMUM,KEHUTANAN,C
prodi-6,rencanamu-97,UMUM,TEKNOLOGI INDUSTRI PERTANIAN,C
prodi-7,rencanamu-97,UMUM,PENDIDIKAN MATEMATIKA,B
prodi-8,rencanamu-97,UMUM,PENDIDIKAN BAHASA INGGRIS,B
prodi-9,rencanamu-97,UMUM,PENDIDIKAN BIOLOGI,B
prodi-10,rencanamu-97,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B
prodi-11,rencanamu-97,UMUM,PENDIDIKAN FISIKA,B
prodi-12,rencanamu-97,UMUM,PENDIDIKAN EKONOMI,B
prodi-13,rencanamu-97,UMUM,PENDIDIKAN GURU SD,A
prodi-14,rencanamu-97,UMUM,PENDIDIKAN GEOGRAFI,B
prodi-15,rencanamu-97,UMUM,PENDIDIKAN GURU PAUD,C
prodi-16,rencanamu-97,UMUM,ILMU ADMINISTRASI NEGARA,B
prodi-17,rencanamu-97,UMUM,ILMU ADMINISTRASI NIAGA,B
prodi-18,rencanamu-97,UMUM,ILMU HUBUNGAN INTERNASIONAL,B
prodi-19,rencanamu-97,UMUM,EKONOMI PEMBANGUNAN,B
prodi-20,rencanamu-97,UMUM,PENDIDIKAN TEKNIK INFORMATIKA,C
prodi-21,rencanamu-97,UMUM,TEKNIK SIPIL,B
prodi-22,rencanamu-97,UMUM,KEBIDANAN,C
prodi-23,rencanamu-97,UMUM,ARSITEKTUR,C
prodi-24,rencanamu-97,UMUM,MANAJEMEN INFORMATIKA,B
prodi-25,rencanamu-264,UMUM,PENDIDIKAN AGAMA ISLAM,B
prodi-26,rencanamu-264,UMUM,PENDIDIKAN BAHASA INGGRIS,B
prodi-27,rencanamu-264,UMUM,PENDIDIKAN EKONOMI,B
prodi-28,rencanamu-264,UMUM,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",B
prodi-29,rencanamu-264,UMUM,PENDIDIKAN KIMIA,B
prodi-30,rencanamu-264,UMUM,PENDIDIKAN BIOLOGI,C
prodi-31,rencanamu-264,UMUM,AKUNTANSI,C
prodi-32,rencanamu-264,UMUM,MANAJEMEN,C
prodi-33,rencanamu-264,UMUM,KESEHATAN MASYARAKAT,B
prodi-34,rencanamu-218,UMUM,MANAJEMEN SYARIAH,A
prodi-35,rencanamu-218,UMUM,PENDIDIKAN AGAMA ISLAM,A
prodi-36,rencanamu-218,UMUM,PENDIDIKAN ANAK USIA DINI,B
prodi-37,rencanamu-218,UMUM,PERBANKAN SYARIAH,B
prodi-38,rencanamu-218,UMUM,BIMBINGAN DAN KONSELING,B
prodi-39,rencanamu-218,UMUM,PENDIDIKAN BAHASA INGGRIS,B
prodi-40,rencanamu-218,UMUM,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B
prodi-41,rencanamu-218,UMUM,PENDIDIKAN MATEMATIKA,B
prodi-42,rencanamu-218,UMUM,PENDIDIKAN KEWARGANEGARAAN,B
prodi-43,rencanamu-218,UMUM,PENDIDIKAN AKUNTANSI,A
prodi-44,rencanamu-218,UMUM,ADMINISTRASI NEGARA,B
prodi-45,rencanamu-218,UMUM,ILMU KOMUNIKASI,A
prodi-46,rencanamu-218,UMUM,ILMU KESEJAHTERAAN SOSIAL,A
prodi-47,rencanamu-218,UMUM,AGRIBISNIS,B
prodi-48,rencanamu-218,UMUM,AGROTEKNOLOGI,B
prodi-49,rencanamu-218,UMUM,ILMU DAN TEKNOLOGI PANGAN,B
prodi-50,rencanamu-218,UMUM,TEKNOLOGI HASIL PERTANIAN,B
prodi-51,rencanamu-218,UMUM,AKUNTANSI,A
prodi-52,rencanamu-218,UMUM,EKONOMI PEMBANGUNAN,B
prodi-53,rencanamu-218,UMUM,MANAJEMEN,A
prodi-54,rencanamu-218,UMUM,ILMU HUKUM,A
prodi-55,rencanamu-218,UMUM,TEKNIK ELEKTRO,B
prodi-56,rencanamu-218,UMUM,TEKNIK MESIN,B
prodi-57,rencanamu-218,UMUM,TEKNIK SIPIL,B
prodi-58,rencanamu-218,UMUM,PENDIDIKAN DOKTER,B
prodi-59,rencanamu-194,UMUM,PSIKOLOGI,B
