primary_key,institution_name,rank
1,Universitas Indonesia,1
2,Universitas Gadjah Mada,2
3,Universitas Telkom,3
4,Institut Teknologi Bandung,4
5,Universitas Airlangga,5
6,Universitas Bina Nusantara,6
7,Universitas Brawijaya,7
8,Universitas Diponegoro,8
9,Universitas Muhammadiyah Sumatera Utara,9
10,Universitas Sebelas Maret,10
11,Universitas Lampung,11
12,Institut Pertanian Bogor,12
13,Universitas Teknokrat Indonesia,13
14,Institut Teknologi Sepuluh Nopember,14
15,Universitas Padjadjaran,15
16,Universitas Gunadarma,16
17,Universitas Medan Area,17
18,Universitas Syiah Kuala,18
19,Universitas Pendidikan Indonesia,19
20,Universitas Budi Luhur,20
21,Universitas Negeri Malang,21
22,Universitas Andalas,22
23,Universitas Islam Indonesia,23
24,Universitas Islam Negeri Sunan Ampel Surabaya,24
25,Universitas Hasanuddin,25
26,Universitas Sains dan Teknologi Komputer,26
27,Universitas Negeri Semarang,27
28,Universitas Sumatera Utara,28
29,Universitas Negeri Yogyakarta,29
30,Universitas Jenderal Soedirman,30
31,Universitas Muhammadiyah Jakarta,31
32,Universitas Islam Negeri Maulana Malik Ibrahim Malang,32
33,Universitas Jember,33
34,Universitas Muhammadiyah Yogyakarta,34
35,Universitas Muhammadiyah Malang,35
36,Universitas Muhammadiyah Surakarta,36
37,Universitas Riau,37
38,Universitas Udayana,38
39,Universitas Negeri Padang,39
40,Universitas Negeri Surabaya,40
41,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,41
42,Universitas Islam Negeri Sunan Gunung Djati,42
43,Universitas Lambung Mangkurat,43
44,Universitas Sriwijaya,44
45,Universitas Kristen Petra,45
46,Universitas Islam Negeri Syarif Hidayatullah Jakarta,46
47,Universitas Esa Unggul,47
48,Universitas Ahmad Dahlan,48
49,Universitas Muhammadiyah Prof. Dr. Hamka,49
50,Universitas Pelita Harapan,50
51,Universitas Mataram,51
52,Universitas Mercu Buana,52
53,Universitas Sultan Ageng Tirtayasa,53
54,Universitas Halu Oleo,54
55,Universitas Negeri Jakarta,55
56,Universitas Pembangunan Nasional Veteran Jakarta,56
57,Universitas Islam Negeri Raden Intan Lampung,57
58,Universitas Tadulako,58
59,Universitas Mulawarman,59
60,Universitas Bengkulu,60
61,Universitas Dian Nuswantoro,61
62,Universitas Tanjungpura,62
63,Universitas Atma Jaya Yogyakarta,63
64,Universitas Negeri Makassar,64
65,Universitas Jambi,65
66,Universitas Sam Ratulangi,66
67,Universitas Islam Sultan Agung,67
68,Universitas Multimedia Nusantara,68
69,Universitas Palangka Raya,69
70,Universitas Islam Bandung,70
71,Universitas Tarumanagara,71
72,Universitas Pamulang,72
73,Universitas Pembangunan Nasional Veteran Yogyakarta,73
74,Universitas Kristen Satya Wacana,74
75,Universitas Muhammadiyah Surabaya,75
76,Universitas Bakrie,76
77,Universitas Katolik Soegijapranata,77
78,Universitas Negeri Medan,78
79,Universitas Pendidikan Ganesha,79
80,Universitas Islam Negeri Sultan Syarif Kasim Riau,80
81,Universitas Pasundan,81
82,Universitas Katolik Parahyangan,82
83,Universitas Islam Malang,83
84,Universitas Pertamina,84
85,Universitas Muhammadiyah Kendari,85
86,Universitas Islam Negeri Ar-Raniry,86
87,Universitas Bina Sarana Informatika,87
88,Universitas Muhammadiyah Purworejo,88
89,Universitas Sanata Dharma,89
90,Universitas Islam Negeri Alauddin Makassar,90
91,Universitas Surabaya,91
92,Universitas Trisakti,92
93,Universitas Jenderal Achmad Yani,93
94,Universitas Islam Negeri Walisongo,94
95,Universitas Islam Negeri Sulthan Thaha Saifuddin Jambi,95
96,Universitas Alma Ata,96
97,Universitas Pembangunan Nasional Veteran Jawa Timur,97
98,Universitas Ibn Khaldun,98
99,Universitas Katolik Indonesia Atma Jaya,99
100,Universitas Muhammadiyah Ponorogo,100
101,Universitas Muhammadiyah Semarang,101
102,Universitas Komputer Indonesia,102
103,Universitas Mercu Buana Yogyakarta,103
104,Universitas Muhammadiyah Makassar,104
105,Universitas Pakuan,105
106,Universitas Kristen Duta Wacana,106
107,Universitas Negeri Gorontalo,107
108,Universitas Tidar,108
109,Universitas Kristen Maranatha,109
110,Universitas Muhammadiyah Sidoarjo,110
111,Institut Teknologi Nasional,111
112,Universitas Pattimura,112
113,Universitas Katolik Widya Mandala Surabaya,113
114,Universitas Trunojoyo Madura,114
115,Universitas Kristen Indonesia,115
116,Universitas Muhammadiyah Purwokerto,116
117,Universitas Islam Negeri Raden Fatah,117
118,Institut Seni Indonesia Surakarta,118
119,Universitas Islam Sumatera Utara,119
120,Universitas Khairun,120
121,Universitas Sarjanawiyata Tamansiswa,121
122,Universitas Presiden,122
123,Universitas Muria Kudus,123
124,Universitas Islam Negeri Sumatera Utara,124
125,Universitas Islam Riau,125
126,Universitas Ciputra,126
127,Universitas Pancasila,127
128,Universitas Nahdlatul Ulama Surabaya,128
129,Universitas Muhammadiyah Jember,129
130,Universitas Semarang,130
131,Universitas Muslim Indonesia,131
132,Universitas Malikussaleh,132
133,Universitas Garut,133
134,Universitas Widyatama,134
135,Institut Seni Indonesia Yogyakarta,135
136,Universitas Prasetiya Mulya,136
137,Universitas Merdeka Malang,137
138,Universitas Islam Negeri Mataram,138
139,Universitas 17 Agustus 1945 Surabaya,139
140,Universitas Narotama,140
141,Universitas Muhammadiyah Mataram,141
142,Universitas PGRI Madiun,142
143,Universitas Dr. Soetomo,143
144,Universitas Islam Darul Ulum Lamongan,144
145,Universitas Nusa Cendana,145
146,Universitas Islam Negeri Sultan Maulana Hasanuddin Banten,146
147,Universitas Muhammadiyah Magelang,147
148,Universitas PGRI Semarang,148
149,Universitas Muhammadiyah Riau,149
150,Universitas AMIKOM Yogyakarta,150
151,Universitas Advent Indonesia,151
152,Universitas Nasional,152
153,Universitas Bina Darma,153
154,Universitas Cenderawasih,154
155,Universitas Islam Negeri Sayyid Ali Rahmatullah Tulungagung,155
156,Universitas Pancasakti,156
157,Universitas Islam Kalimantan Muhammad Arsyad Al Banjari,157
158,Universitas Muhammadiyah Tasikmalaya,158
159,Universitas Siliwangi,159
160,Universitas Sangga Buana,160
161,Universitas Wijaya Kusuma Surabaya,161
162,Universitas Negeri Manado,162
163,Universitas 17 Agustus 1945 Semarang,163
164,Universitas Islam Negeri Antasari Banjarmasin,164
165,Universitas Labuhanbatu,165
166,Universitas Pasir Pengaraian,166
167,Universitas HKBP Nommensen,167
168,Universitas Sulawesi Barat,168
169,Universitas YARSI,169
170,Universitas Hamzanwadi,170
171,Universitas Indraprasta PGRI,171
172,Universitas Singaperbangsa Karawang,172
173,Universitas Al Azhar Indonesia,173
174,Institut Teknologi Nasional Malang,174
175,Universitas Lancang Kuning,175
176,Universitas 17 Agustus 1945 Samarinda,176
177,Universitas Malahayati,177
178,Universitas Islam Nusantara,178
179,Universitas Maritim Raja Ali Haji,179
180,Institut Seni Indonesia Denpasar,180
181,Universitas Muhammadiyah Metro,181
182,Universitas Siber Asia,182
183,Universitas Islam Negeri Raden Mas Said Surakarta,183
184,Universitas Muhammadiyah Tangerang,184
185,Universitas Nusa Putra,185
186,Universitas Potensi Utama,186
187,Universitas Bung Hatta,187
188,Universitas Nusantara PGRI Kediric,188
189,Universitas Paramadina,189
190,Universitas Djuanda,190
191,Universitas Nahdlatul Ulama Lampung,191
192,Universitas Pahlawan Tuanku Tambusai,192
193,Universitas Majalengka,193
194,Universitas PGRI Palembang,194
195,Universitas Islam Lamongan,195
196,Universitas Wahid Hasyim,196
197,Universitas Islam Negeri Imam Bonjol,197
198,Universitas Sampoerna,198
199,Universitas Stikubank,199
200,Universitas Kuningan,200
201,Universitas Muhammadiyah Palangkaraya,201
202,Universitas Swadaya Gunung Jati,202
203,Universitas Aisyiyah Yogyakarta,203
204,Universitas Dinamika,204
205,Universitas Bunda Mulia,205
206,Universitas Bangka Belitung,206
207,Universitas PGRI Yogyakarta,207
208,Universitas Muhammadiyah Kalimantan Timur,208
209,Universitas Serambi Mekkah,209
210,Universitas Buana Perjuangan Karawang,210
211,Universitas Internasional Batam,211
212,Universitas Teuku Umar,212
213,Universitas Muhammadiyah Palembang,213
214,Universitas Muhammadiyah Gresik,214
215,Universitas Islam Nahdlatul Ulama,215
216,Universitas Dian Nusantara,216
217,Universitas Pembangunan Jaya,217
218,Universitas Pesantren Tinggi Darul 'Ulum,218
219,Universitas PGRI Adi Buana,219
220,Universitas Bandar Lampung,220
221,Universitas Bhayangkara Surabaya,221
222,Universitas Mahasaraswati Denpasar,222
223,Universitas Tribhuwana Tungga Dewi,223
224,Universitas Nusa Mandiri,224
225,Universitas Al Muslim,225
226,Universitas Kanjuruhan Malang,226
227,Universitas Warmadewa,227
228,Universitas Kristen Krida Wacana,228
229,Universitas Hang Tuah,229
230,Universitas Darma Persada,230
231,Universitas Muhammadiyah Sumatera Barat,231
232,Universitas Teknologi Yogyakarta,232
233,Universitas Abdurrab,233
234,Universitas Tomakaka,234
235,Universitas Balikpapan,235
236,Universitas Borneo Tarakan,236
237,Universitas Muhammadiyah Aceh,237
238,Universitas Bhayangkara Jakarta Raya,238
239,Universitas Muhammadiyah Bengkulu,239
240,Universitas Kristen Indonesia Toraja,240
241,Universitas Kadiri,241
242,Universitas Muhammadiyah Cirebon,242
243,Universitas Muhammadiyah Palu,243
244,Universitas Prima Indonesia,244
245,Universitas Wiralodra,245
246,Universitas Teknologi Sumbawa,246
247,Universitas 17 Agustus 1945,247
248,Universitas Samudra Langsa,248
249,Universitas Muhammadiyah Lamongan,249
250,Universitas Pendidikan Nasional,250
251,Universitas Islam Kadiri,251
252,Universitas Jayabaya,252
253,Universitas Putera Batam,253
254,Universitas Maarif Hasyim Latif,254
255,Universitas Putra Indonesia YPTK Padang,255
256,Universitas Pembangunan Panca Budi,256
257,Universitas Swiss German,257
258,Universitas Trilogi,258
259,Universitas Palembang,259
260,Universitas Prof. Dr. Moestopo,260
261,Universitas Multi Data Palembang,261
262,Universitas Darunnajah,262
263,Universitas Papua,263
264,Universitas Pekalongan,264
265,Universitas Dehasen Bengkulu,265
266,Universitas Galuh Ciamis,266
267,Universitas Slamet Riyadi,267
268,Universitas Sains Al-Qur'an,268
269,Universitas 'Aisyiyah Surakarta,269
270,Universitas Setia Budi Surakarta,270
271,Universitas Merdeka Pasuruan,271
272,Universitas Persada Indonesia YAI,272
273,Universitas Nahdlatul Ulama Sidoarjo,273
274,Universitas Janabadra,274
275,Universitas Musamus,275
276,Universitas Graha Nusantara Padangsidimpuan,276
277,Universitas Batanghari,277
278,Universitas Islam Raden Rahmat,278
279,Universitas Katolik Santo Thomas,279
