primary_key,institution_name,rank
1,UNIVERSITAS INDONESIA,1
2,UNIVERSITAS GADJAH MADA,2
3,UNIVERSITAS TELKOM,3
4,INSTITUT TEKNOLOGI BANDUNG,4
5,UNIVERSITAS AIRLANGGA,5
6,UNIVERSITAS BINA NUSANTARA,6
7,UNIVERSITAS BRAWIJAYA,7
8,UNIVERSITAS DIPONEGORO,8
9,UNIVERSITAS MUHAMMADIYAH SUMATERA UTARA,9
10,UNIVERSITAS SEBELAS MARET,10
11,UNIVERSITAS LAMPUNG,11
12,INSTITUT PERTANIAN BOGOR,12
13,UNIVERSITAS TEKNOKRAT INDONESIA,13
14,INSTITUT TEKNOLOGI SEPULUH NOPEMBER,14
15,UNIVERSITAS PADJADJARAN,15
16,UNIVERSITAS GUNADARMA,16
17,UNIVERSITAS MEDAN AREA,17
18,UNIVERSITAS SYIAH KUALA,18
19,UNIVERSITAS PENDIDIKAN INDONESIA,19
20,UNIVERSITAS BUDI LUHUR,20
21,UNIVERSITAS NEGERI MALANG,21
22,UNIVERSITAS ANDALAS,22
23,UNIVERSITAS ISLAM INDONESIA,23
24,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,24
25,UNIVERSITAS HASANUDDIN,25
26,UNIVERSITAS SAINS DAN TEKNOLOGI KOMPUTER,26
27,UNIVERSITAS NEGERI SEMARANG,27
28,UNIVERSITAS SUMATERA UTARA,28
29,UNIVERSITAS NEGERI YOGYAKARTA,29
30,UNIVERSITAS JENDERAL SOEDIRMAN,30
31,UNIVERSITAS MUHAMMADIYAH JAKARTA,31
32,UNIVERSITAS ISLAM NEGERI MAULANA MALIK IBRAHIM MALANG,32
33,UNIVERSITAS JEMBER,33
34,UNIVERSITAS MUHAMMADIYAH YOGYAKARTA,34
35,UNIVERSITAS MUHAMMADIYAH MALANG,35
36,UNIVERSITAS MUHAMMADIYAH SURAKARTA,36
37,UNIVERSITAS RIAU,37
38,UNIVERSITAS UDAYANA,38
39,UNIVERSITAS NEGERI PADANG,39
40,UNIVERSITAS NEGERI SURABAYA,40
41,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA YOGYAKARTA,41
42,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI,42
43,UNIVERSITAS LAMBUNG MANGKURAT,43
44,UNIVERSITAS SRIWIJAYA,44
45,UNIVERSITAS KRISTEN PETRA,45
46,UNIVERSITAS ISLAM NEGERI SYARIF HIDAYATULLAH JAKARTA,46
47,UNIVERSITAS ESA UNGGUL,47
48,UNIVERSITAS AHMAD DAHLAN,48
49,UNIVERSITAS MUHAMMADIYAH PROF. DR. HAMKA,49
50,UNIVERSITAS PELITA HARAPAN,50
51,UNIVERSITAS MATARAM,51
52,UNIVERSITAS MERCU BUANA,52
53,UNIVERSITAS SULTAN AGENG TIRTAYASA,53
54,UNIVERSITAS HALU OLEO,54
55,UNIVERSITAS NEGERI JAKARTA,55
56,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAKARTA,56
57,UNIVERSITAS ISLAM NEGERI RADEN INTAN LAMPUNG,57
58,UNIVERSITAS TADULAKO,58
59,UNIVERSITAS MULAWARMAN,59
60,UNIVERSITAS BENGKULU,60
61,UNIVERSITAS DIAN NUSWANTORO,61
62,UNIVERSITAS TANJUNGPURA,62
63,UNIVERSITAS ATMA JAYA YOGYAKARTA,63
64,UNIVERSITAS NEGERI MAKASSAR,64
65,UNIVERSITAS JAMBI,65
66,UNIVERSITAS SAM RATULANGI,66
67,UNIVERSITAS ISLAM SULTAN AGUNG,67
68,UNIVERSITAS MULTIMEDIA NUSANTARA,68
69,UNIVERSITAS PALANGKA RAYA,69
70,UNIVERSITAS ISLAM BANDUNG,70
71,UNIVERSITAS TARUMANAGARA,71
72,UNIVERSITAS PAMULANG,72
73,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,73
74,UNIVERSITAS KRISTEN SATYA WACANA,74
75,UNIVERSITAS MUHAMMADIYAH SURABAYA,75
76,UNIVERSITAS BAKRIE,76
77,UNIVERSITAS KATOLIK SOEGIJAPRANATA,77
78,UNIVERSITAS NEGERI MEDAN,78
79,UNIVERSITAS PENDIDIKAN GANESHA,79
80,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM RIAU,80
81,UNIVERSITAS PASUNDAN,81
82,UNIVERSITAS KATOLIK PARAHYANGAN,82
83,UNIVERSITAS ISLAM MALANG,83
84,UNIVERSITAS PERTAMINA,84
85,UNIVERSITAS MUHAMMADIYAH KENDARI,85
86,UNIVERSITAS ISLAM NEGERI AR-RANIRY,86
87,UNIVERSITAS BINA SARANA INFORMATIKA,87
88,UNIVERSITAS MUHAMMADIYAH PURWOREJO,88
89,UNIVERSITAS SANATA DHARMA,89
90,UNIVERSITAS ISLAM NEGERI ALAUDDIN MAKASSAR,90
91,UNIVERSITAS SURABAYA,91
92,UNIVERSITAS TRISAKTI,92
93,UNIVERSITAS JENDERAL ACHMAD YANI,93
94,UNIVERSITAS ISLAM NEGERI WALISONGO,94
95,UNIVERSITAS ISLAM NEGERI SULTHAN THAHA SAIFUDDIN JAMBI,95
96,UNIVERSITAS ALMA ATA,96
97,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN JAWA TIMUR,97
98,UNIVERSITAS IBN KHALDUN,98
99,UNIVERSITAS KATOLIK INDONESIA ATMA JAYA,99
100,UNIVERSITAS MUHAMMADIYAH PONOROGO,100
101,UNIVERSITAS MUHAMMADIYAH SEMARANG,101
102,UNIVERSITAS KOMPUTER INDONESIA,102
103,UNIVERSITAS MERCU BUANA YOGYAKARTA,103
104,UNIVERSITAS MUHAMMADIYAH MAKASSAR,104
105,UNIVERSITAS PAKUAN,105
106,UNIVERSITAS KRISTEN DUTA WACANA,106
107,UNIVERSITAS NEGERI GORONTALO,107
108,UNIVERSITAS TIDAR,108
109,UNIVERSITAS KRISTEN MARANATHA,109
110,UNIVERSITAS MUHAMMADIYAH SIDOARJO,110
111,INSTITUT TEKNOLOGI NASIONAL,111
112,UNIVERSITAS PATTIMURA,112
113,UNIVERSITAS KATOLIK WIDYA MANDALA SURABAYA,113
114,UNIVERSITAS TRUNOJOYO MADURA,114
115,UNIVERSITAS KRISTEN INDONESIA,115
116,UNIVERSITAS MUHAMMADIYAH PURWOKERTO,116
117,UNIVERSITAS ISLAM NEGERI RADEN FATAH,117
118,INSTITUT SENI INDONESIA SURAKARTA,118
119,UNIVERSITAS ISLAM SUMATERA UTARA,119
120,UNIVERSITAS KHAIRUN,120
121,UNIVERSITAS SARJANAWIYATA TAMANSISWA,121
122,UNIVERSITAS PRESIDEN,122
123,UNIVERSITAS MURIA KUDUS,123
124,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,124
125,UNIVERSITAS ISLAM RIAU,125
126,UNIVERSITAS CIPUTRA,126
127,UNIVERSITAS PANCASILA,127
128,UNIVERSITAS NAHDLATUL ULAMA SURABAYA,128
129,UNIVERSITAS MUHAMMADIYAH JEMBER,129
130,UNIVERSITAS SEMARANG,130
131,UNIVERSITAS MUSLIM INDONESIA,131
132,UNIVERSITAS MALIKUSSALEH,132
133,UNIVERSITAS GARUT,133
134,UNIVERSITAS WIDYATAMA,134
135,INSTITUT SENI INDONESIA YOGYAKARTA,135
136,UNIVERSITAS PRASETIYA MULYA,136
137,UNIVERSITAS MERDEKA MALANG,137
138,UNIVERSITAS ISLAM NEGERI MATARAM,138
139,UNIVERSITAS 17 AGUSTUS 1945 SURABAYA,139
140,UNIVERSITAS NAROTAMA,140
141,UNIVERSITAS MUHAMMADIYAH MATARAM,141
142,UNIVERSITAS PGRI MADIUN,142
143,UNIVERSITAS DR. SOETOMO,143
144,UNIVERSITAS ISLAM DARUL ULUM LAMONGAN,144
145,UNIVERSITAS NUSA CENDANA,145
146,UNIVERSITAS ISLAM NEGERI SULTAN MAULANA HASANUDDIN BANTEN,146
147,UNIVERSITAS MUHAMMADIYAH MAGELANG,147
148,UNIVERSITAS PGRI SEMARANG,148
149,UNIVERSITAS MUHAMMADIYAH RIAU,149
150,UNIVERSITAS AMIKOM YOGYAKARTA,150
151,UNIVERSITAS ADVENT INDONESIA,151
152,UNIVERSITAS NASIONAL,152
153,UNIVERSITAS BINA DARMA,153
154,UNIVERSITAS CENDERAWASIH,154
155,UNIVERSITAS ISLAM NEGERI SAYYID ALI RAHMATULLAH TULUNGAGUNG,155
156,UNIVERSITAS PANCASAKTI,156
157,UNIVERSITAS ISLAM KALIMANTAN MUHAMMAD ARSYAD AL BANJARI,157
158,UNIVERSITAS MUHAMMADIYAH TASIKMALAYA,158
159,UNIVERSITAS SILIWANGI,159
160,UNIVERSITAS SANGGA BUANA,160
161,UNIVERSITAS WIJAYA KUSUMA SURABAYA,161
162,UNIVERSITAS NEGERI MANADO,162
163,UNIVERSITAS 17 AGUSTUS 1945 SEMARANG,163
164,UNIVERSITAS ISLAM NEGERI ANTASARI BANJARMASIN,164
165,UNIVERSITAS LABUHANBATU,165
166,UNIVERSITAS PASIR PENGARAIAN,166
167,UNIVERSITAS HKBP NOMMENSEN,167
168,UNIVERSITAS SULAWESI BARAT,168
169,UNIVERSITAS YARSI,169
170,UNIVERSITAS HAMZANWADI,170
171,UNIVERSITAS INDRAPRASTA PGRI,171
172,UNIVERSITAS SINGAPERBANGSA KARAWANG,172
173,UNIVERSITAS AL AZHAR INDONESIA,173
174,INSTITUT TEKNOLOGI NASIONAL MALANG,174
175,UNIVERSITAS LANCANG KUNING,175
176,UNIVERSITAS 17 AGUSTUS 1945 SAMARINDA,176
177,UNIVERSITAS MALAHAYATI,177
178,UNIVERSITAS ISLAM NUSANTARA,178
179,UNIVERSITAS MARITIM RAJA ALI HAJI,179
180,INSTITUT SENI INDONESIA DENPASAR,180
181,UNIVERSITAS MUHAMMADIYAH METRO,181
182,UNIVERSITAS SIBER ASIA,182
183,UNIVERSITAS ISLAM NEGERI RADEN MAS SAID SURAKARTA,183
184,UNIVERSITAS MUHAMMADIYAH TANGERANG,184
185,UNIVERSITAS NUSA PUTRA,185
186,UNIVERSITAS POTENSI UTAMA,186
187,UNIVERSITAS BUNG HATTA,187
188,UNIVERSITAS NUSANTARA PGRI KEDIRIC,188
189,UNIVERSITAS PARAMADINA,189
190,UNIVERSITAS DJUANDA,190
191,UNIVERSITAS NAHDLATUL ULAMA LAMPUNG,191
192,UNIVERSITAS PAHLAWAN TUANKU TAMBUSAI,192
193,UNIVERSITAS MAJALENGKA,193
194,UNIVERSITAS PGRI PALEMBANG,194
195,UNIVERSITAS ISLAM LAMONGAN,195
