institution_code,institution_name,akreditasi_institusi,wilayah
1,POLITEKNIK BANGGAI INDUSTRI,TERAKREDITASI SEMENTARA,WILAYAH 16
2,SEKOLAH TINGGI ILMU EKONOMI SATYA DHARMA,BAIK,WILAYAH 08
3,SEKOLAH TINGGI ILMU DAKWAH SIRNARASA,BAIK,WILAYAH PTAS
4,AKADEMI GIZI KARYA HUSADA KEDIRI,BAIK,WILAYAH 07
6,SEKOLAH TINGGI ILMU PERTANIAN WUNA RAHA,BAIK,WILAYAH 09
7,STITNU AL-MAHSUNI,BAIK,WILAYAH PTAS
8,UNIVERSITAS ISLAM MADURA,BAIK,WILAYAH 07
11,SEKOLAH TINGGI ILMU KESEHATAN KESDAM IX/UDAYANA,BAIK,WILAYAH 08
12,UNIVERSITAS ISLAM DEPOK,BAIK,WILAYAH PTAS
13,UNIVERSITAS WIRAHUSADA MEDAN,BAIK,WILAYAH 01
14,POLITEKNIK ALKON KALIMANTAN,BAIK,WILAYAH 11
15,INSTITUT NIDA EL ADABI,BAIK,WILAYAH PTAS
16,UNIVERSITAS SULTAN MUHAMMAD SYAFIUDDIN SAMBAS,BAIK,WILAYAH PTAS
18,INSTITUT AGAMA ISLAM DINIYYAH PEKANBARU,BAIK SEKALI,WILAYAH PTAS
19,UNIVERSITAS SEBELAS APRIL,BAIK SEKALI,WILAYAH 04
20,UNIVERSITAS SANG BUMI RUWA JURAI,BAIK SEKALI,WILAYAH 02
21,AKADEMI KULINER MONAS PASIFIK,BAIK SEKALI,WILAYAH 07
22,UNIVERSITAS WAHIDIYAH,BAIK,WILAYAH 07
23,AKADEMI BAKTI KEMANUSIAAN PALANG MERAH INDONESIA,BAIK SEKALI,WILAYAH 03
24,SEKOLAH TINGGI ILMU SYARIAH HUSNUL KHOTIMAH KUNINGAN,BAIK SEKALI,WILAYAH PTAS
25,SEKOLAH TINGGI AGAMA HINDU BHATARA GURU KENDARI SULAWESI TENGGARA,BAIK,WILAYAH PTAN
26,SEKOLAH TINGGI ILMU KESEHATAN PASAR REBO,BAIK,WILAYAH 03
27,UNIVERSITAS PGRI MPU SINDOK,BAIK,WILAYAH 07
28,POLITEKNIK PALOPO,BAIK,WILAYAH 09
29,UNIVERSITAS ISLAM IBRAHIMY BANYUWANGI,BAIK,WILAYAH PTAS
30,UNIVERSITAS PERSADA BUNDA INDONESIA,BAIK SEKALI,WILAYAH 17
31,UNIVERSITAS BHINNEKA NUSANTARA,BAIK SEKALI,WILAYAH 07
32,UNIVERSITAS MUHAMMADIYAH PKU SURAKARTA,BAIK SEKALI,WILAYAH 06
33,INSTITUT BISNIS DAN TEKNOLOGI KALIMANTAN,BAIK SEKALI,WILAYAH 11
34,AKADEMI KEBIDANAN MEGA BUANA,BAIK,WILAYAH 09
35,SEKOLAH TINGGI ILMU PERTANIAN AMUNTAI,BAIK,WILAYAH 11
36,STMIK DCI,BAIK,WILAYAH 04
37,INSTITUT PENDIDIKAN DAN TEKNOLOGI `AISYIYAH RIAU,BAIK,WILAYAH 17
38,UNIVERSITAS TIGA SERANGKAI,BAIK,WILAYAH 06
39,UNIVERSITAS MUHAMMADIYAH BREBES,BAIK,WILAYAH 06
40,UNIVERSITAS SUNAN GRESIK,BAIK,WILAYAH 07
41,POLITEKNIK SOROWAKO,BAIK,WILAYAH 09
42,STAI AL-ANDINA SUKABUMI,BAIK SEKALI,WILAYAH PTAS
43,STIE MADANI BALIKPAPAN,BAIK,WILAYAH 11
44,POLITEKNIK HAJI ANWAR SANUSI,TERAKREDITASI SEMENTARA,WILAYAH 04
45,SEKOLAH TINGGI ILMU KESEHATAN SAPTA BAKTI,BAIK,WILAYAH 02
46,INSTITUT TEKNOLOGI MUHAMMADIYAH SUMATERA,BAIK,WILAYAH 02
47,POLITEKNIK STATISTIKA STIS,UNGGUL,WILAYAH PTKL
48,INSTITUT BISNIS DAN KOMUNIKASI SWADAYA,BAIK SEKALI,WILAYAH 03
49,UNIVERSITAS WIRA BHAKTI,BAIK,WILAYAH 09
50,SEKOLAH TINGGI AGAMA HINDU LAMPUNG,BAIK,WILAYAH PTAN
51,SEKOLAH TINGGI EKONOMI DAN BISNIS ISLAM YAYASAN PELITA ILMU INSANI,BAIK,WILAYAH PTAS
52,SEKOLAH TINGGI TEOLOGI TENGGARONG,BAIK,WILAYAH PTAS
54,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BINA HARAPAN CELEBES,BAIK,WILAYAH 09
55,AKADEMI KEBIDANAN SALEHA,BAIK,WILAYAH 13
56,INSTITUT TEKNOLOGI BISNIS RIAU,BAIK,WILAYAH 17
57,SEKOLAH TINGGI TEOLOGI BAPTIS INDEPENDEN INDONESIA PURWOREJO,BAIK,WILAYAH PTAS
58,STKIP PGRI BANDAR LAMPUNG,BAIK SEKALI,WILAYAH 02
59,UNIVERSITAS MURIA KUDUS,UNGGUL,WILAYAH 06
60,UNIVERSITAS ALWASHLIYAH,BAIK SEKALI,WILAYAH 01
61,UNIVERSITAS MERDEKA MALANG,BAIK SEKALI,WILAYAH 07
62,STT SAMUEL ELIZABETH,BAIK,WILAYAH PTAS
63,UNIVERSITAS PEMBANGUNAN NASIONAL VETERAN YOGYAKARTA,UNGGUL,WILAYAH PTN
64,UNIVERSITAS SAHID SURAKARTA,BAIK SEKALI,WILAYAH 06
65,POLITEKNIK AISYIYAH PONTIANAK,BAIK SEKALI,WILAYAH 11
66,"STAI PATI, JAWA TENGAH",BAIK,WILAYAH PTAS
67,UNIVERSITAS NEGERI MANADO,UNGGUL,WILAYAH PTN
68,POLITEKNIK PARIWISATA LOMBOK,UNGGUL,WILAYAH PTKL
69,SEKOLAH TINGGI ILMU EKONOMI YAPI BONE,BAIK,WILAYAH 09
70,POLITEKNIK MUARA DUA,TIDAK TERAKREDITASI,WILAYAH 02
71,SEKOLAH TINGGI MARITIM YOGYAKARTA,TERAKREDITASI,WILAYAH 05
72,SEKOLAH TINGGI ILMU KESEHATAN MITRA KELUARGA,TERAKREDITASI,WILAYAH 03
73,AKADEMI FARMASI INDONESIA YOGYAKARTA,TERAKREDITASI,WILAYAH 05
74,SEKOLAH TINGGI ILMU KEPERAWATAN PPNI JAWA BARAT,TERAKREDITASI,WILAYAH 04
75,SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH CILACAP,BAIK,WILAYAH 06
76,UNIVERSITAS BPD,BAIK SEKALI,WILAYAH 06
77,SEKOLAH TINGGI ILMU TARBIYAH AL HIKMAH BENDA,BAIK,WILAYAH PTAS
78,SEKOLAH TINGGI TEKNOLOGI MUHAMMADIYAH AR FACHRUDDIN,BAIK,WILAYAH 07
79,STAI KI AGENG PEKALONGAN,BAIK SEKALI,WILAYAH PTAS
80,INSTITUT TEKNOLOGI DAN BISNIS AHMAD DAHLAN LAMONGAN,BAIK SEKALI,WILAYAH 07
81,"STAI MUHAMMADIYAH BLORA, JAWA TENGAH",BAIK SEKALI,WILAYAH PTAS
82,INSTITUT AGAMA ISLAM STIBA MAKASSAR,BAIK,WILAYAH PTAS
83,UNIVERSITAS WIRARAJA,BAIK SEKALI,WILAYAH 07
84,AKADEMI KOMUNITAS INDUSTRI MANUFAKTUR BANTAENG,BAIK SEKALI,WILAYAH PTKL
85,INSTITUT AGAMA ISLAM SAHID,BAIK SEKALI,WILAYAH PTAS
86,SEKOLAH TINGGI PARIWISATA MATARAM,BAIK SEKALI,WILAYAH 08
88,INSTITUT TEKNOLOGI AI MAHRUSIYAH,BAIK,WILAYAH 07
89,SEKOLAH TINGGI ALKITAB SURABAYA,TIDAK TERAKREDITASI,WILAYAH PTAS
90,AMIK JABAL GHAFUR,TIDAK TERAKREDITASI,WILAYAH 13
91,INSTITUT TEKNOLOGI DAN BISNIS ARUNGPALAKKA,TIDAK TERAKREDITASI,WILAYAH 09
92,UNIVERSITAS NUSA MEGARKENCANA,B,WILAYAH 05
93,UNIVERSITAS ALIFAH PADANG,BAIK SEKALI,WILAYAH 10
95,SEKOLAH TINGGI AGAMA ISLAM KH. ZAINUDDIN PONPES MOJOSARI NGANJUK,BAIK,WILAYAH PTAS
96,UNIVERSITAS PRIMA NUSANTARA BUKITTINGGI,UNGGUL,WILAYAH 10
97,SEKOLAH TINGGI AGAMA ISLAM AL BADAR CIPULUS PURWAKARTA,BAIK,WILAYAH PTAS
98,INSTITUT AGAMA ISLAM HASANUDDIN PARE,BAIK SEKALI,WILAYAH PTAS
99,POLITEKNIK INDUSTRI ATMI,BAIK SEKALI,WILAYAH 04
100,UNIVERSITAS NUSA PUTRA,UNGGUL,WILAYAH 04
101,POLITEKNIK PENERBANGAN SURABAYA,UNGGUL,WILAYAH PTKL
102,SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN BIAK,BAIK,WILAYAH 14
103,SEKOLAH TINGGI ILMU TARBIYAH SYAMSUDDHUHA ACEH UTARA BANDA ACEH,BAIK SEKALI,WILAYAH PTAS
104,UNIVERSITAS PRIMAKARA,BAIK SEKALI,WILAYAH 08
105,POLITEKNIK MARDIRA INDONESIA,BAIK,WILAYAH 04
106,SEKOLAH TINGGI ILMU KESEHATAN RS PROF. DR. J.A. LATUMETEN,BAIK,WILAYAH 12
107,"STAI BABUNNAJAH PANDEGLANG, BANTEN",BAIK SEKALI,WILAYAH PTAS
108,UNIVERSITAS DHARMA ANDALAS,BAIK SEKALI,WILAYAH 10
109,INSTITUT AGAMA ISLAM AN-NAWAWI PURWOREJO,BAIK SEKALI,WILAYAH PTAS
110,INSTITUT AGAMA ISLAM PAGARALAM,BAIK,WILAYAH PTAS
112,INSTITUT MADANI NUSANTARA,BAIK,WILAYAH PTAS
113,UNIVERSITAS ISLAM DARUD DA`WAH WAL-IRSYAD A.G.H. ABDURRAHMAN AMBO DALLE,BAIK,WILAYAH PTAS
114,UNIVERSITAS SUNAN DRAJAT LAMONGAN,BAIK,WILAYAH PTAS
115,UNIVERSITAS WASKITA DHARMA,BAIK,WILAYAH 07
117,AKADEMI KEPERAWATAN GIRI SATRIA HUSADA,BAIK,WILAYAH 06
119,STAI NURUL HUDA KAPONGAN SITUBONDO,BAIK,WILAYAH PTAS
120,UNIVERSITAS PEKALONGAN,UNGGUL,WILAYAH 06
121,UNIVERSITAS PGRI SEMARANG,UNGGUL,WILAYAH 06
123,UNIVERSITAS DHARMA INDONESIA,BAIK,WILAYAH 04
124,UNIVERSITAS ISLAM INTERNASIONAL INDONESIA,BAIK SEKALI,WILAYAH PTAN
125,SEKOLAH TINGGI AGAMA ISLAM KH BADRUZZAMAN,BAIK,WILAYAH PTAS
126,"STAI AL-MAS`UDIYAH, SUKABUMI",BAIK,WILAYAH PTAS
127,SEKOLAH TINGGI AGAMA ISLAM AL-BAHJAH CIREBON,BAIK,WILAYAH PTAS
128,SEKOLAH TINGGI AGAMA ISLAM SIDOGIRI PASURUAN,BAIK,WILAYAH PTAS
129,UNIVERSITAS MUHAMMADIYAH BENGKULU,UNGGUL,WILAYAH 02
130,POLITEKNIK NEGERI TANAH LAUT,BAIK SEKALI,WILAYAH PTN
131,INSTITUT AGAMA ISLAM NEGERI SYAIKH ABDURRAHMAN SIDDIK BANGKA BELITUNG,BAIK SEKALI,WILAYAH PTAN
132,UNIVERSITAS BAITURRAHIM,BAIK SEKALI,WILAYAH 10
133,SEKOLAH TINGGI AGAMA ISLAM NEGERI SULTAN ABDURRAHMAN KEPULAUAN RIAU,BAIK SEKALI,WILAYAH PTAN
134,SEKOLAH TINGGI EKONOMI ISLAM PERMATA BOJONEGORO,BAIK,WILAYAH PTAS
135,SEKOLAH TINGGI AGAMA BUDDHA SAMANTABADRA - NSI,BAIK,WILAYAH PTAS
136,SEKOLAH TINGGI AGAMA ISLAM NURUL ABROR AL-ROBBANIYIN,BAIK,WILAYAH PTAS
137,AKADEMI PERHOTELAN TUNAS INDONESIA,BAIK,WILAYAH 04
138,STAI AL-MUSADDADIYAH GARUT,BAIK SEKALI,WILAYAH PTAS
139,SEKOLAH TINGGI ILMU KESEHATAN BAITUL HIKMAH,BAIK,WILAYAH 02
140,UNIVERSITAS NIAS,BAIK,WILAYAH 01
141,INSTITUT TEKNOLOGI DAN BISNIS PELITA RAYA,BAIK,WILAYAH 10
142,POLITEKNIK TUNAS GARUDA,BAIK,WILAYAH 02
143,AKADEMI FARMASI YPF,BAIK,WILAYAH 04
145,STT LEVINUS RUMASEB SENTANI,BAIK,WILAYAH PTAS
