prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
1,AQIDAH DAN FILSAFAT ISLAM,S2,A,2048
2,TEKNIKA,D-III,BAIK SEKALI,2201
3,AKUNTANSI,S1,BAIK,3981
4,EKONOMI PEMBANGUNAN,S1,BAIK,3178
5,AKUNTANSI,S1,B,8
6,TEKNIK INFORMATIKA,S1,BAIK,3920
7,EKONOMI SYARIAH,S1,B,3669
8,PENDIDIKAN MATEMATIKA,S1,BAIK,2155
9,PENYULUHAN PERIKANAN,D-IV,BAIK SEKALI,3346
10,ANTROPOLOGI BUDAYA,S1,BAIK,3620
11,AKUNTANSI,S2,A,2074
12,EKONOMI SYARIAH,S1,BAIK,3101
13,ILMU ADMINISTRASI NIAGA,S1,B,2468
14,TEKNIK LINGKUNGAN,S1,B,2626
15,TEKNIK INFORMATIKA,S1,B,742
16,FARMASI,D-III,C,479
17,TEKNIK SIPIL,D-III,B,2768
18,TEKNIK INFORMATIKA,S1,B,3678
19,BUDIDAYA PERAIRAN,S1,B,159
20,TEKNIK SIPIL,S1,BAIK,3884
21,EKOWISATA,D-III,BAIK,3174
22,TEKNOLOGI PERTANIAN,S1,B,189
23,AKUNTANSI,D-III,B,1763
24,ADMINISTRASI BISNIS,D-III,B,3862
25,PENDIDIKAN MATEMATIKA,S1,B,3294
26,ILMU KELAUTAN,S1,B,3294
27,PERENCANAAN WILAYAH DAN KOTA,S1,B,3090
28,SISTEM INFORMASI,S1,B,1724
29,PENDIDIKAN AGAMA ISLAM,S1,BAIK SEKALI,3434
30,HUKUM EKONOMI SYARI`AH,S1,UNGGUL,3307
31,INFORMATIKA,S1,B,3835
32,SENI,S2,A,3795
33,PENDIDIKAN TEKNIK MESIN,S1,UNGGUL,3283
34,PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,A,2177
35,ILMU FALAK,S1,B,1245
36,DESAIN KOMUNIKASI VISUAL,S1,BAIK,424
37,PENDIDIKAN ISLAM ANAK USIA DINI,S1,BAIK SEKALI,3744
38,BUDIDAYA TANAMAN PANGAN,D-III,BAIK,1004
39,PROFESI ARSITEK,PROFESI,B,2665
40,DOKTOR ILMU TEKNIK PERTANIAN,S3,A,2685
41,PROFESI AKUNTAN,PROFESI,A,2160
42,STATISTIKA,S1,B,3187
43,AKUNTANSI,S1,B,2776
44,PENDIDIKAN BAHASA INGGRIS,S1,B,3982
45,MANAJEMEN,S1,B,1989
46,AGRIBISNIS,S1,B,2829
47,PENDIDIKAN BAHASA ARAB,S1,BAIK,2910
48,PENDIDIKAN BAHASA INDONESIA,S1,BAIK,3611
49,TEKNIK ELEKTRO,S2,BAIK,547
50,PENYULUHAN PERTANIAN,S1,BAIK,3222
51,EKONOMI SYARIAH,S1,BAIK,292
52,FISIKA,S1,BAIK,2659
53,PARIWISATA,S1,BAIK,364
54,AKUNTANSI,S1,BAIK,672
55,TEKNIK SIPIL KAMPUS KAB TOJO UNA-UNA,S1,BAIK,1895
56,ILMU PETERNAKAN,S3,BAIK SEKALI,2666
57,TADRIS BAHASA INDONESIA,S1,BAIK,494
58,ILMU HUKUM,S1,BAIK,740
59,SUMBER DAYA AKUATIK,S2,BAIK,3174
60,PENDIDIKAN OLAHRAGA,S1,BAIK,1858
61,TEKNIK INDUSTRI,S1,BAIK,547
62,BUDIDAYA PERAIRAN,S1,BAIK,1886
63,BAHASA INGGRIS,S1,BAIK,1873
64,TEKNIK SIPIL,S2,BAIK SEKALI,607
65,TEKNOLOGI AGROINDUSTRI,S2,UNGGUL,2074
66,PENGOLAHAN HASIL LAUT,D-III,BAIK,3361
67,MANAJEMEN,S2,BAIK SEKALI,1396
68,PENDIDIKAN SEJARAH,S1,BAIK,1133
69,AKUNTANSI,S1,BAIK,3939
70,PENDIDIKAN BIOLOGI,S1,BAIK,2901
71,ADMINISTRASI PUBLIK,S1,BAIK SEKALI,2300
72,MANAJEMEN,S2,BAIK SEKALI,3185
73,PERBANKAN SYARI'AH,S1,BAIK,1860
74,KOMUNIKASI DAN PENYIARAN ISLAM,S1,BAIK SEKALI,1245
75,PENDIDIKAN KHUSUS,S1,BAIK,3932
76,PENDIDIKAN AGAMA ISLAM,S1,BAIK,3693
77,HUKUM EKONOMI SYARIAH,S1,BAIK,3150
78,PENDIDIKAN BAHASA INGGRIS,S2,BAIK SEKALI,1884
79,SENI RUPA MURNI,S1,BAIK SEKALI,2713
80,NAUTIKA,D-III,BAIK SEKALI,2201
81,MANAJEMEN,S1,B,1162
82,ILMU SEJARAH,S1,B,1102
83,BAHASA INGGRIS,D-III,B,647
84,ILMU EKONOMI,S2,A,3283
85,ILMU KOMUNIKASI,S1,B,1039
86,PEPERANGAN ASIMETRIS,S2,A,3295
87,HUKUM,S2,B,2564
88,MANAJEMEN,S1,B,2620
89,AKUNTANSI,S1,B,2620
90,PENDIDIKAN TEKNIK ELEKTRO,S1,B,3283
91,ADMINISTRASI NEGARA,D-III,A,2684
92,PENDIDIKAN JASMANI,S1,B,3866
93,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,1529
94,TEKNOLOGI INDUSTRI PERTANIAN,S1,B,3294
95,BIMBINGAN DAN KONSELING,S1,B,287
