pddikti_institution_code,institution_name,address,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
1,SEKOLAH TINGGI ILMU ADMINISTRASI AAN,"Blunyahrejo Karangwaru Tegalrejo, KOTA YOGYAKARTA",D.I. YOGYAKARTA,"{""website"": ""www.stia-aan.ac.id"", ""email"": ""stiaaan79@gmail.com"", ""phone"": ""0274-517471 / 0274-517471""}",8502500,980000,16025000,17005000,1960000,32050000,SWASTA,-,-1,-1,-
2,SEKOLAH TINGGI DESAIN INTERSTUDI,"Jln. Kapten Tendean No. 02 Kebayoran Baru JAKARTA SELATAN, KOTA JAKARTA SELATAN",D.K.I. JAKARTA,"{""website"": ""www.interstudi.edu"", ""email"": ""interstudi.stdi@gmail.com"", ""phone"": ""021-71793985 / 021-71790477""}",9450000,9000000,9900000,18900000,18000000,19800000,SWASTA,-,-1,-1,-
3,UNIVERSITAS KOMPUTER INDONESIA,"Jalan Dipatiukur No 112-114, KOTA BANDUNG",JAWA BARAT,"{""website"": ""www.unikom.ac.id"", ""email"": ""sektor@email.unikom.ac.id"", ""phone"": ""022-2503430 / 022-2503371""}",9017500,450000,17585000,18035000,900000,35170000,SWASTA,-,-1,-1,-
4,AKADEMI KEBIDANAN MADINA HUSADA,"Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal, KABUPATEN MANDAILING NATAL",SUMATERA UTARA,"{""website"": ""Http//akbidmadinahusada.ac.id"", ""email"": ""husada_madina@yahoo.com"", ""phone"": ""0636-7003136 / 0636-3213136""}",3500000,1500000,5500000,7000000,3000000,11000000,SWASTA,-,-1,-1,-
5,SEKOLAH TINGGI TEKNOLOGI WARGA SURAKARTA,KABUPATEN SUKOHARJO,JAWA TENGAH,"{""website"": ""sttw.ac.id"", ""email"": ""stt_warga@sttw.ac.id"", ""phone"": ""0271621178 / 0271621176""}",14237500,4750000,23725000,28475000,9500000,47450000,SWASTA,-,-1,-1,-
6,UNIVERSITAS MUHAMMADIYAH JAKARTA,"Kampus A Jl. Cempaka Putih Tengah 27  Cempaka Putih, KOTA JAKARTA PUSAT",D.K.I. JAKARTA,"{""website"": ""www.umj.ac.id"", ""email"": ""info@umj.ac.id"", ""phone"": ""7401894 / 7430756""}",12255600,11201,24500000,24511201,22402,49000000,SWASTA,-,-1,-1,-
7,INSTITUT MARITIM PRASETIYA MANDIRI,KOTA BANDAR LAMPUNG,LAMPUNG,"{""website"": ""impm.ac.id"", ""email"": ""admin@impm.ac.id"", ""phone"": ""082186808887""}",4500000,3000000,6000000,9000000,6000000,12000000,SWASTA,-,-1,-1,-
8,SEKOLAH TINGGI ILMU MANAJEMEN INDONESIA YAPMI,"Jl Perintis Kemerdekaan KM 9, KOTA MAKASSAR",SULAWESI SELATAN,"{""website"": ""stimi-yapmi.ac.id"", ""email"": ""kampus.stimiyapmi@gmail.com"", ""phone"": ""4773029 / 4773031""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
9,SEKOLAH TINGGI ILMU EKONOMI BALIKPAPAN,"Perkampungan Pelajar Gn Pasir   Balikpapan, KOTA BALIKPAPAN",KALIMANTAN TIMUR,"{""website"": ""www.stiebalikpapan.ac.id"", ""email"": ""info@stiebalikpapan.ac.id"", ""phone"": ""0542-8500850/424819""}",4462500,1125000,7800000,8925000,2250000,15600000,SWASTA,-,-1,-1,-
10,AKADEMI TEKNOLOGI BOGOR,"Jalan Bina Marga No. 17 Bogor, KOTA BOGOR",JAWA BARAT,"{""website"": ""akatek-bogor.ac.id"", ""email"": ""akademi_teknologi@yahoo.com"", ""phone"": ""0251-8316-556""}",4000000,4000000,4000000,8000000,8000000,8000000,SWASTA,-,-1,-1,-
11,SEKOLAH TINGGI TEKNOLOGI PAYAKUMBUH,"Khatib Sulaiman, KOTA PAYAKUMBUH",SUMATERA BARAT,"{""website"": ""www.sttpyk.ac.id"", ""email"": ""stt.payakumbuh@yahoo.com"", ""phone"": ""0752-796063 / 0752-90063""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
12,IKIP SARASWATI,"Jalan Pahlawan No 2, KABUPATEN TABANAN",BALI,"{""website"": ""https://www.ikip-saraswati.ac.id/"", ""email"": ""ikipsaraswati@yahoo.co.id / ikipsaraswati240983@gmail.com"", ""phone"": ""0361814909 / 0361814909""}",3190000,3190000,3190000,6380000,6380000,6380000,SWASTA,-,-1,-1,-
13,UNIVERSITAS ANNUQAYAH,KABUPATEN SUMENEP,JAWA TIMUR,"{""website"": ""www.ua.ac.id"", ""email"": ""info@ua.ac.id"", ""phone"": """"}",3725000,950000,6500000,7450000,1900000,13000000,SWASTA,-,-1,-1,-
14,INSTITUT BISNIS DAN TEKNOLOGI KALIMANTAN,KOTA BANJARMASIN,KALIMANTAN SELATAN,"{""website"": ""https://ibitek.ac.id/"", ""email"": ""baak@ibitek.ac.id"", ""phone"": ""+6285250345454""}",-1,-1,-1,-1,-1,-1,SWASTA,-,-1,-1,-
