pddikti_institution_code,institution_name,ownership,address,regency,province,contact,average_semester_fee,starting_semester_fee,ending_semester_fee,average_yearly_fee,starting_yearly_fee,ending_yearly_fee,body_type,link,student_amount,lecturer_amount,description
1,SEKOLAH TINGGI ILMU ADMINISTRASI AAN,-1,Blunyahrejo Karangwaru Tegalrejo,KOTA YOGYAKARTA,PROV. D.I. YOGYAKARTA,"{""website"": ""www.stia-aan.ac.id"", ""email"": ""stiaaan79@gmail.com"", ""phone"": ""0274-517471 / 0274-517471""}",8502500,980000,16025000,17005000,1960000,32050000,-1,-1,-1,-1,-1
2,SEKOLAH TINGGI AGAMA ISLAM PELITA NUSA BANDUNG BARAT,-1,-,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""https://staipelitanusa.ac.id/"", ""email"": ""staipelitanusakbb@gmail.com"", ""phone"": ""022-6864385""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,UNIVERSITAS ISLAM NEGERI AR-RANIRY BANDA ACEH,-1,Jl. Syeikh Abdur Rauf Kopelma Darussalam Banda Aceh,KOTA BANDA ACEH,PROV. ACEH,"{""website"": ""http://www.uin.ar-raniry.ac.id"", ""email"": ""uin@ar-raniry.ac.id"", ""phone"": ""0651-7552921 / 0651-7552922""}",1663500,400000,2927000,3327000,800000,5854000,-1,-1,-1,-1,-1
4,STAI ASY-SYUKRIYYAH TANGERANG,-1,-,KOTA TANGERANG,PROV. BANTEN,"{""website"": ""http://asy-syukriyyah.ac.id/"", ""email"": ""info@asy-syukriyyah.ac.id"", ""phone"": ""021 5544515 / 021 5544515""}",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,STT SRIWIJAYA PALEMBANG,-1,-,KAB. BANYUASIN,PROV. SUMATERA SELATAN,"{""website"": ""www.stt-sriwijaya.ac.id"", ""email"": ""sttsriwijaya@yahoo.com"", ""phone"": ""085382537709""}",4800000,3600000,6000000,9600000,7200000,12000000,-1,-1,-1,-1,-1
6,STEI AR RISALAH CIAMIS JAWA BARAT,-1,-,KAB. CIAMIS,PROV. JAWA BARAT,"{""website"": ""www.steirisalah.ac.id"", ""email"": ""steirrisalah@gmail.com"", ""phone"": ""0265-774502 / 02657577526""}",1075000,950000,1200000,2150000,1900000,2400000,-1,-1,-1,-1,-1
7,SEKOLAH TINGGI DESAIN INTERSTUDI,-1,Jln. Kapten Tendean No. 02 Kebayoran Baru JAKARTA SELATAN,KOTA JAKARTA SELATAN,PROV. D.K.I. JAKARTA,"{""website"": ""www.interstudi.edu"", ""email"": ""interstudi.stdi@gmail.com"", ""phone"": ""021-71793985 / 021-71790477""}",9450000,9000000,9900000,18900000,18000000,19800000,-1,-1,-1,-1,-1
8,POLITEKNIK NEGERI BENGKALIS,-1,Jalan Bathin Alam  Desa Sungai Alam  Kecamatan Bengkalis,KAB. BENGKALIS,PROV. RIAU,"{""website"": ""polbeng.ac.id"", ""email"": ""polbeng@polbeng.ac.id"", ""phone"": ""+627667008877 / +627668001000""}",1750000,500000,3000000,3500000,1000000,6000000,-1,-1,-1,-1,-1
9,SEKOLAH TINGGI ILMU PELAYARAN JAKARTA,-1,JL. MARUNDA MAKMUR  CILINCING  JAKARTA UTARA,KOTA JAKARTA UTARA,PROV. D.K.I. JAKARTA,"{""website"": ""www.stipjakarta.ac.id"", ""email"": ""webmaster@stipjakarta.ac.id"", ""phone"": ""02188991618 / 02144834345""}",16287500,100000,32475000,32575000,200000,64950000,-1,-1,-1,-1,-1
10,UNIVERSITAS KOMPUTER INDONESIA,-1,Jalan Dipatiukur No 112-114,KOTA BANDUNG,PROV. JAWA BARAT,"{""website"": ""www.unikom.ac.id"", ""email"": ""sektor@email.unikom.ac.id"", ""phone"": ""022-2503430 / 022-2503371""}",9017500,450000,17585000,18035000,900000,35170000,-1,-1,-1,-1,-1
