id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
IcD86sIxWFZaMuvIKbFfZHeNpsbYwXr1KeQV-Nweey2VEKE4iVfzeYWf1WtSVjU7Ps7ZUQ==,Kab. Deli Serdang,Prov. Sumatera Utara,,,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,
RR3Wf3cyR9I23c516NGug5ug2zyYyC4-jNhzL-seBXWqx5Z3BR3DFt1W02L3J8goKcAslQ==,Tidak Diisi,Prov. Riau,,,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,
lWq1WHB55hgybFJ5OMQ3hD4pfUYsNp_mdGJTVEkgmVfQMnh0q6EdY5IiKye9OgoTn5TwGQ==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,"STIA ""AAN""",Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,980.000 - 16.025.000
Tx2I8PWhFsIOjm6VNPAzVHpHgaEnkv6hntl_EfaGV1_UmsOjUjBbnaxjzMveRja8GWKjvA==,Kab. Toba Samosir,Prov. Sumatera Utara,,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,
xPSH1ZjrMxXYSJ-Nm-ubKKECJC3pC8eYjPBXOx31nSBWBxcL3K0vdlhNxxizVpArjNHNMw==,Kota Surakarta,Prov. Jawa Tengah,,,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,
-FzINrDadJ-Th9septCyat7XdKNvAZvE_HLWgKI9OHlqe5mgYbvrX_QyegSuNjiQZRFxzQ==,Kota Binjai,Prov. Sumatera Utara,,,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,
a0XSzQZQfn2iiVLt9z9AdxfQFBdJ8ax45Wcz_BGUxGNDxhrtfPLuIsImpvFwM7BBDmxMAg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.900.000
mg1_ESO2SL3RKdS4qzTIkHTkna2bddY42ILNUxIoQ6ysvScqTOF32Z0lFz2Mhz35-UoB2Q==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,37,450.000 - 17.585.000
-AiX0ERzDbjO6xxrhTmkkF406fGmIUkRZ_tZUP03qMNQw2bCFZXpA3tTo-tpnqjS44Npvg==,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,1.500.000 - 5.500.000
xBqxs0gDubmrb9eil9jkVt2ZQg5ChvG86p0GxeIZgR9Qm-2vUWbOLZ0Dr5Tjf3UBmUJViA==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,"STT ""WARGA""",Aktif,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",Swasta,5,4.750.000 - 23.725.000
oQOJi7L52frod86nSYHIVI3MfdlxfjXw8eqnOA9LEbtirWzxjrXAksd9Jd7BgpsjG7apiQ==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Unggul,UMJ,Aktif,Universitas Muhammadiyah Jakarta,Swasta,65,11.201 - 24.500.000
G3BT56NvstHftu0epgib3viHFgpbivXNK2RD6hUoOFFwMHayrTtbFTLE4ApIOc0-cAXwAw==,Kota Bandar Lampung,Prov. Lampung,,IMPM,Aktif,Institut Maritim Prasetiya Mandiri,Swasta,7,3.000.000 - 6.000.000
VS54DS8cTTb261DoZyzGymxmOeaj-LdwNlzncLg-LhPiTtWeStNf7sf0gA1w3Z-IeK765g==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,STIMI YAPMI Makassar,Aktif,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,Swasta,1,
Cmjn84yPzJhJoM5dlG2DqA8wSWNwm_0rrkebiZ0BlpvZvoru85nVRIIMID0fDQANzHlfEA==,Kota Balikpapan,Prov. Kalimantan Timur,Baik Sekali,STIE Balikpapan,Aktif,Sekolah Tinggi Ilmu Ekonomi Balikpapan,Swasta,3,1.125.000 - 7.800.000
Y1VHj13tE_BX8hnoOaOrsFmap0nibQsRiUZE-uJLEZhN45my7yHa7DkdO_9YiVUcNv31_A==,Kota Bogor,Prov. Jawa Barat,Baik,Akatek,Aktif,Akademi Teknologi Bogor,Swasta,2,4.000.000 - 4.000.000
tF03YlCX8tbcBa5tZMxG4TMOsS6C5H6LL-rGEi1If-USBy_HrNckTJnzPjqyUOeaNFrOSw==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,
