id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah,kelompok,pembina,kode_pt,email,no_tel,no_fax,website,alamat,nm_singkat,kode_pos,kecamatan_pt,lintang_pt,bujur_pt,tgl_berdiri_pt,tgl_sk_pendirian_sp,sk_pendirian_sp,akreditasi_pt,status_akreditasi
9PKknCD6nW8k_Ss07_f848fMBpP3nBoZBn2O4_-bcCe_-3PJedRHSey_gIgEtGUFiKJDTg==,Kab. Deli Serdang,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014134  ,akper_ybs@yahoo.com,061-6620661, 061-6620661, ,Gedung PBSI V Medan Estate ,-,20371,Tidak Diisi,0.0,0.0,2005-03-03T00:00:00Z,2005-03-03T00:00:00Z,24DO2005,-,-
4hMGs5dghur41QagWBQlpUT79GmdlQV3Pvvjx_CFQ4V2Fy5pzZLbrKU3y7dE0d-G8regGg==,Tidak Diisi,Prov. Riau,-,-,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI X,104068  ,akbid_ds2005@yahoo.com,0769-21-877,0769-21-877,-,Jalan Hangtuah No 02 ,-,29318,Tidak Diisi,0.0,0.0,2003-05-07T00:00:00Z,2003-05-07T00:00:00Z,56DO2003,-,-
zaL31nVqKzxF28MAm_OxMDmiOtxnZoYkvBVkugmymRl5Vu9cnTuMyPC15MLxvuMHePUFLQ==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,"STIA ""AAN""",Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,980.000 - 16.025.000,Perguruan Tinggi Swasta,LLDIKTI V,053019  ,stiaaan79@gmail.com,0274-517471,0274-517471, www.stia-aan.ac.id,Blunyahrejo Karangwaru Tegalrejo,"STIA ""AAN""",55241,Kec. Tegalrejo,-7.770327,110.366161,1979-06-07T00:00:00Z,2018-08-01T00:00:00Z,629/KPT/I/2018,Baik Sekali,-
uSo86wzBRA1Uq4I3d7v98N4HWstXp9UU0_cBr6Vy00iib6G-EEQk_hPJH1PDjd7ctLwhSw==,Kab. Toba Samosir,Prov. Sumatera Utara,-,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014227  ,akfar.arjuna@gmail.com,(0632) 331380,(0632) 331380,-,"Jl. Arjuna Pintubosi - Laguboti
Kecamatan Laguboti
Kabupaten Toba Samosir",Akademi Farmasi,22381,Kec. Lagu Boti,0.0,0.0,2010-12-23T00:00:00Z,2010-12-23T00:00:00Z,242/D/O/2010,-,-
8tWpYkx03T7joE6FYuPNrQCsgcrPxsSduNSTSrtSX0Aj82_W4c2xoZCqb8ATl2V9pstGBQ==,Kota Surakarta,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064166  ,office@akbara.ac.id,0271-655 505,0271-664881,www.akbara.ac.id,"Jl. Kol. Sutarto 58 Jebres, Surakarta",-,57126,Kec. Jebres,-7.5471414,110.8498705,2016-06-09T00:00:00Z,2016-06-09T00:00:00Z,202/KPT/I/2016,-,-
KU0t-JmzhmKXGqy7zl3Stag8hSlSqvItQdHnZLHoB5zHx9gP3BHN1FuHOk4pcyq9RcAjTw==,Kota Binjai,Prov. Sumatera Utara,-,-,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014181  ,-,061-7715-6852,061-7715-6852,-,Jl Cut Nyak Dien No 37 B-c ,-,12345,Kec. Binjai Kota,0.0,0.0,2007-10-01T00:00:00Z,2018-07-16T00:00:00Z,163/M/KPT/2018,-,-
UkJpDuApvyebMhQex2ZJSy0zOR0lx14BhZMOLyazGhtBMXUEVXNhOcEkRSYhNMczPqhSDQ==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.900.000,Perguruan Tinggi Swasta,LLDIKTI III,033184  ,interstudi.stdi@gmail.com,021-71793985,021-71790477,www.interstudi.edu,"Jln. Kapten Tendean No. 02
Kebayoran Baru
JAKARTA SELATAN",STDI Interstudi,12720,Tidak Diisi,0.0,0.0,2007-01-04T00:00:00Z,2007-01-04T00:00:00Z,07DO2007,Baik,-
JUNUFvfUaUuNoQbNg4RPgXyCoJ6xyCrywOtixWCrdLr2Oe78YJjzEjt0KuzEF4crhrn0Bg==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,37,450.000 - 17.585.000,Perguruan Tinggi Swasta,LLDIKTI IV,041027  ,sektor@email.unikom.ac.id,022-2503430 ,022-2503371,www.unikom.ac.id,Jalan Dipatiukur No 112-114 ,UNIKOM,40132,Tidak Diisi,-6.8872121,107.6154694,2000-08-08T00:00:00Z,2000-08-08T00:00:00Z,126DO2000,Unggul,-
2n6PUZxn2BTAfSVjKQ7VFxN9XAaQSDUYwAu23sjptpVLpz2sifS6DQlct7c0zfAty-hyuQ==,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,1.500.000 - 5.500.000,Perguruan Tinggi Swasta,LLDIKTI I,014175  ,husada_madina@yahoo.com,0636-7003136,0636-3213136, Http//akbidmadinahusada.ac.id,Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal ,AKBID MADINA HUSADA,22919,Kec. Panyabungan Kota,0.0,0.0,2007-06-01T00:00:00Z,2007-08-03T00:00:00Z,138/D/O/2007,Baik,-
E1lOVsbfNN4V_hX54krXGIYey4j04Hi_QjwIZEbtAqzdXg30bL4Q1tXq0e6SpwH1Y0MWgQ==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,"STT ""WARGA""",Aktif,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",Swasta,5,4.750.000 - 23.725.000,Perguruan Tinggi Swasta,LLDIKTI VI,063121  ,stt_warga@sttw.ac.id,0271621178,0271621176,sttw.ac.id,-,"STT ""WARGA""",-,Tidak Diisi,-7.5996407,110.8058953,2020-03-12T00:00:00Z,2020-03-12T00:00:00Z,384/M/2020,Baik,-
