id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah,kelompok,pembina,kode_pt,email,no_tel,no_fax,website,alamat,nm_singkat,kode_pos,kecamatan_pt,lintang_pt,bujur_pt,tgl_berdiri_pt,tgl_sk_pendirian_sp,sk_pendirian_sp,akreditasi_pt,status_akreditasi
klKpyvRDKeP3KY_e30zHXjQMHrcEg9kxGHfQ-3H-2WKba8UEIuf2pV789zZOlMf21S0kVA==,Kab. Deli Serdang,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014134  ,akper_ybs@yahoo.com,061-6620661, 061-6620661, ,Gedung PBSI V Medan Estate ,-,20371,Tidak Diisi,0.0,0.0,2005-03-03T00:00:00Z,2005-03-03T00:00:00Z,24DO2005,-,-
FLEmrmx-xLUN93fMBtnlfd5WAT44U1nPZJLDtoXTP8ytd1GeEUjBWTXNmUqyQsE8nDc9QQ==,Tidak Diisi,Prov. Riau,-,-,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI X,104068  ,akbid_ds2005@yahoo.com,0769-21-877,0769-21-877,-,Jalan Hangtuah No 02 ,-,29318,Tidak Diisi,0.0,0.0,2003-05-07T00:00:00Z,2003-05-07T00:00:00Z,56DO2003,-,-
hiSjdIO8WRDduhaCE5lRxvSBA4AXMtkyv8PWGC-aPiw2jp1FbPtltmz7TanS0W4ObFIGgg==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,"STIA ""AAN""",Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,980.000 - 16.025.000,Perguruan Tinggi Swasta,LLDIKTI V,053019  ,stiaaan79@gmail.com,0274-517471,0274-517471, www.stia-aan.ac.id,Blunyahrejo Karangwaru Tegalrejo,"STIA ""AAN""",55241,Kec. Tegalrejo,-7.770327,110.366161,1979-06-07T00:00:00Z,2018-08-01T00:00:00Z,629/KPT/I/2018,Baik Sekali,-
iy6LSL3pBApYPb7Eu30xYK9eO1Cu0Iksc7-k2na1ZFFQWcawOHsKblFp1B2rET04cMGNgg==,Kab. Toba Samosir,Prov. Sumatera Utara,-,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014227  ,akfar.arjuna@gmail.com,(0632) 331380,(0632) 331380,-,Jl. Arjuna Pintubosi - Laguboti Kecamatan Laguboti Kabupaten Toba Samosir,Akademi Farmasi,22381,Kec. Lagu Boti,0.0,0.0,2010-12-23T00:00:00Z,2010-12-23T00:00:00Z,242/D/O/2010,-,-
D5HnebX8n69cbGb0vPZM4WsRn1TjYpBgI82Kc7iJ5bM5ZIe1pmuSv16V7y4sYQiXyKC5BA==,Kota Surakarta,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI VI,064166  ,office@akbara.ac.id,0271-655 505,0271-664881,www.akbara.ac.id,"Jl. Kol. Sutarto 58 Jebres, Surakarta",-,57126,Kec. Jebres,-7.5471414,110.8498705,2016-06-09T00:00:00Z,2016-06-09T00:00:00Z,202/KPT/I/2016,-,-
Wg9-EqDfUkrDL0Edjzr_TnRKFgkkgHbRl2WfKxlCHut88zE_-4fPV__whEpT5PVo91JOCw==,Kota Binjai,Prov. Sumatera Utara,-,-,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,-,Perguruan Tinggi Swasta,LLDIKTI I,014181  ,-,061-7715-6852,061-7715-6852,-,Jl Cut Nyak Dien No 37 B-c ,-,12345,Kec. Binjai Kota,0.0,0.0,2007-10-01T00:00:00Z,2018-07-16T00:00:00Z,163/M/KPT/2018,-,-
6_-qpzfB4DHc2HDld2wiD7-ylZGQd63cpZd3uaC27XMbodKX7N75S4Uk4O9hVN1xpr4_2A==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.900.000,Perguruan Tinggi Swasta,LLDIKTI III,033184  ,interstudi.stdi@gmail.com,021-71793985,021-71790477,www.interstudi.edu,Jln. Kapten Tendean No. 02 Kebayoran Baru JAKARTA SELATAN,STDI Interstudi,12720,Tidak Diisi,0.0,0.0,2007-01-04T00:00:00Z,2007-01-04T00:00:00Z,07DO2007,Baik,-
c8S-9SuOq3V4sb4ZaCv7nNG6At6Cuy_3aI2Hm5ShWdhdVM_iCpDxL5YfAPA_ZOkXZ8wKFA==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,37,450.000 - 17.585.000,Perguruan Tinggi Swasta,LLDIKTI IV,041027  ,sektor@email.unikom.ac.id,022-2503430 ,022-2503371,www.unikom.ac.id,Jalan Dipatiukur No 112-114 ,UNIKOM,40132,Tidak Diisi,-6.8872121,107.6154694,2000-08-08T00:00:00Z,2000-08-08T00:00:00Z,126DO2000,Unggul,-
GgRQWjdhP5i7dcN5zy0Qj20aXxZlpXF423x_Yf8xU6y0uUiv0zWUA-hsQdc2ppDqQ5T80g==,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,1.500.000 - 5.500.000,Perguruan Tinggi Swasta,LLDIKTI I,014175  ,husada_madina@yahoo.com,0636-7003136,0636-3213136, Http//akbidmadinahusada.ac.id,Jl Willem Iskandar No 154-f Panyabungan Mandailing Natal ,AKBID MADINA HUSADA,22919,Kec. Panyabungan Kota,0.0,0.0,2007-06-01T00:00:00Z,2007-08-03T00:00:00Z,138/D/O/2007,Baik,-
5CeNFA5vzbmiwQ7QIkh9U_Q4mLN7g4_cHKywJS_0gZTHJ3SOkHBiUOWWHwIKvCURLOz9TA==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,"STT ""WARGA""",Aktif,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",Swasta,5,4.750.000 - 23.725.000,Perguruan Tinggi Swasta,LLDIKTI VI,063121  ,stt_warga@sttw.ac.id,0271621178,0271621176,sttw.ac.id,-,"STT ""WARGA""",-,Tidak Diisi,-7.5996407,110.8058953,2020-03-12T00:00:00Z,2020-03-12T00:00:00Z,384/M/2020,Baik,-
