id_sp,kab_kota_pt,provinsi_pt,akreditasi,nama_singkat,status_pt,nama_pt,jenis_pt,jumlah_prodi,range_biaya_kuliah
3QODEm8bmUoBBUrMYZz3_Czyvg8b25LGAAJjVxLEXAvNde-PHgVMbDjJZhH1Pxu_6aSlPw==,Kab. Deli Serdang,Prov. Sumatera Utara,-,-,Alih Bentuk,Akademi Keperawatan Binalita Sudama,Swasta,1,-
gNcgGKSgqWMfHJl225qZdppEVrSJhOBdsNMtsUXPfqkMRO4Pgm1F-boa18Zk7QgL2rWMiQ==,Tidak Diisi,Prov. Riau,-,-,Alih Kelola,Akademi Kebidanan Dayang Suri,Swasta,1,-
tJMM7ZLNfcjymX2QE1sKH_olHriU-NuVSmX4rRBLyVKajpxRK-qFphfMljzl8ycrF9YKnw==,Kota Yogyakarta,Prov. D.I. Yogyakarta,Baik Sekali,"STIA ""AAN""",Aktif,Sekolah Tinggi Ilmu Administrasi Aan,Swasta,4,980.000 - 16.025.000
JUoRCaTfNoJvrNZGSsQkOZfURCTx1ZW-vF9hSqb1Hl_VYFDtF19qfRGcToGyudh8Hyallg==,Kab. Toba Samosir,Prov. Sumatera Utara,-,Akademi Farmasi,Alih Bentuk,Akademi Farmasi Yayasan Tenaga Pembangunan Arjuna Laguboti,Swasta,1,-
vl40lysCAKocj4377MrviXcQy4EOk8CicHe6IQDR6bL5HmDPQL3Rx9Dr534MmNvoIk3EHg==,Kota Surakarta,Prov. Jawa Tengah,-,-,Alih Bentuk,Akademi Teknologi Bank Darah Surakarta,Swasta,1,-
yXCcykA5lk6DRACIBXfQ0S3pmY1_swbgEQCZZNMpJsfY9fXZVd2Tix1VYSLsFHnq_HiIVA==,Kota Binjai,Prov. Sumatera Utara,-,-,Tutup,Akademi Kebidanan Eunice Rajawali Binjai,Swasta,1,-
hdS3XxYsWgqXswkOlzCMQE5CbMDcGuIuSn3kLNGhaSpra0vzSJI4lbLLq58iTCV1Zxx8Gg==,Kota Jakarta Selatan,Prov. D.K.I. Jakarta,Baik,STDI Interstudi,Aktif,Sekolah Tinggi Desain Interstudi,Swasta,4,9.000.000 - 9.900.000
fSA4A_ES2FpzzK5r_N0ZVcpy7lOa2Qg4Tz9s4gcnBAA4BqbjAgWr288knYBfd9eGB8yKYQ==,Kota Bandung,Prov. Jawa Barat,Unggul,UNIKOM,Aktif,Universitas Komputer Indonesia,Swasta,37,450.000 - 17.585.000
eqp2vDdkVdddZDgKR4XIzuTM7v81-HUU2HdnTMgnWMd-jOgJQQA8k6ukqTjiwnSGCmq6rg==,Kab. Mandailing Natal,Prov. Sumatera Utara,Baik,AKBID MADINA HUSADA,Aktif,Akademi Kebidanan Madina Husada,Swasta,1,1.500.000 - 5.500.000
aFbxD89Ej3oGpUhg40X4kwsI2tgfzXa41FvZeouWa6WpENabjI4nPsBVIzFk0r08_Mu-mA==,Kab. Sukoharjo,Prov. Jawa Tengah,Baik,"STT ""WARGA""",Aktif,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",Swasta,5,4.750.000 - 23.725.000
OhGvn_hgW5_91JEu5XFgdBYbc6LTLPR7S1cdhp7bM0ifEXDM2W8ilSuMb2QOvF4T96KLBA==,Kota Jakarta Pusat,Prov. D.K.I. Jakarta,Unggul,UMJ,Aktif,Universitas Muhammadiyah Jakarta,Swasta,65,11.201 - 24.500.000
GmToBS1LRPMfBw-PoT4Y4Q0Sg0AeD8AV0ygwA8HwmP3qrpLnAIZqATugvVnjnQmiQEAymQ==,Kota Bandar Lampung,Prov. Lampung,-,IMPM,Aktif,Institut Maritim Prasetiya Mandiri,Swasta,7,3.000.000 - 6.000.000
KLe4c3HASmoreK3oMUB_vW6KNvlM_Ppk9jPy7jMEHTbgjh9pysPd0rwXIMr9csAklNIwbQ==,Kota Makassar,Prov. Sulawesi Selatan,Baik Sekali,STIMI YAPMI Makassar,Aktif,Sekolah Tinggi Ilmu Manajemen Indonesia YAPMI,Swasta,1,-
EErz_VpvTxYS_PWkPekW8_cg11KKyLd-5Bv2ZqTcbohsN2EORwsO_5rQfhkxMePawTYdeA==,Kota Balikpapan,Prov. Kalimantan Timur,Baik Sekali,STIE Balikpapan,Aktif,Sekolah Tinggi Ilmu Ekonomi Balikpapan,Swasta,3,1.125.000 - 7.800.000
oBlWi37j3p4sjVfRsxhmEkkrs0GPeWk_ljUGitpAheCzfIhbUZA49KfWtVVPwe2oNnXOuw==,Kota Bogor,Prov. Jawa Barat,Baik,Akatek,Aktif,Akademi Teknologi Bogor,Swasta,2,4.000.000 - 4.000.000
FPCxtCMpHJngGB2BgGaX5N7IG8yeyC2klC6C8lWJ2SNq4U2KdZMqp7YdHd4fi6VlunS7Hg==,Kota Gorontalo,Prov. Gorontalo,Baik,STMIK Ichsan,Alih Bentuk,Sekolah Tinggi Manajemen Informatika dan Komputer Ichsan Gorontalo,Swasta,5,-
gDsUSS3XYCy8--WK9bo8mGspkhcdd1bX-fSamp47qZeQj0C4fUuh_XGeqMDMd7wXmnFi7w==,Kota Payakumbuh,Prov. Sumatera Barat,Baik,STT-PAYAKUMBUH,Aktif,Sekolah Tinggi Teknologi Payakumbuh,Swasta,3,-
oVdvikUIS71yoGaRbUBDLV68gFDP1YlPI7oolty1mkHaw-02VbwPCz4rMUgQeakJ8BR8sw==,Kab. Tabanan,Prov. Bali,B,IKIP SARASWATI,Aktif,IKIP Saraswati,Swasta,7,3.190.000 - 3.190.000
