parent_institution_name,prodi_name,jenjang,wilayah,no_sk,tahun_sk,akreditasi_prodi,tanggal_kadaluarsa
IKIP Veteran Jawa Tengah,Pendidikan Ekonomi,S1,06,4377/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,Ekonomi Pembangunan,S1,09,322/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
Universitas Islam Negeri Sunan Kalijaga,Aqidah Dan Filsafat Islam,S2,PTAN,969/SK/BAN-PT/Akred/M/II/2021,2021,A,2026-02-23
Akademi Maritim Suaka Bahari,Teknika,D-III,04,1000/SK/BAN-PT/Akred/Dipl-III/II/2021,2021,Baik Sekali,2026-02-23
Universitas Karimun,Akuntansi,S1,17,1039/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Teknologi Sumbawa,Ekonomi Pembangunan,S1,08,1007/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STKIP Muhammadiyah Bone,Pendidikan Ekonomi,S1,09,1012/SK/BAN-PT/Akred/S/II/2021,2021,Baik Sekali,2026-02-23
Universitas Islam Madura,Akuntansi,S1,07,1004/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Sekolah Tinggi Ilmu Komputer Ambon,Teknik Informatika,S1,12,1028/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Institut Agama Islam Uluwiyah Mojokerto,Ekonomi Syariah,S1,PTAS,1003/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Institut Ilmu Keislaman Zainul Hasan Genggong,Pendidikan Bahasa Arab,S1,PTAS,991/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
"Institut Agama Islam Darullughah Wadda'wah Bangil, Pasuruan",Ekonomi Syariah,S1,PTAS,1017/SK/BAN-PT/Akred/S/II/2021,2021,B,2026-02-23
Universitas Galuh Ciamis,Teknik Mesin,S1,04,1038/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Tidar,Pendidikan Matematika,S1,PTN,1043/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Politeknik Ahli Usaha Perikanan,Penyuluhan Perikanan,D-IV,PTKL,987/SK/BAN-PT/Akred/ST/II/2021,2021,Baik Sekali,2026-02-23
Institut Seni Budaya Indonesia Bandung,Antropologi Budaya,S1,PTN,1034/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Padjadjaran,Akuntansi,S2,PTN,1065/SK/BAN-PT/Ak-PPJ/M/II/2021,2021,A,2025-12-30
Universitas Nahdlatul Ulama Surakarta,Ekonomi Syariah,S1,06,1044/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Pesantren Tinggi Darul  Ulum,Ilmu Administrasi Niaga,S1,07,2707/SK/BAN-PT/Akred/S/V/2021,2021,B,2026-02-25
Universitas Sains Dan Teknologi Jayapura,Teknik Lingkungan,S1,14,2643/SK/BAN-PT/Akred/S/V/2021,2021,B,2026-05-04
Universitas Pembangunan Nasional Veteran Jakarta,Teknik Informatika,S1,PTN,1016/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-19
"AKADEMI FARMASI BINA FARMASI, PALU",FARMASI,D-III,16,0412/LAM-PTKes/Akr/Dip/XI/2020,2020,C,2025-11-19
"SEKOLAH TINGGI ILMU KESEHATAN RUMAH SAKIT ANWAR MEDIKA, SIDOARJO",TEKNOLOGI LABORATORIUM MEDIS,D-III,07,0497/LAM-PTKes/Akr/Dip/Khs/XI/2020,2020,B,2025-11-26
Politeknik Negeri Bali,Teknik Sipil,D-III,PTN,10515/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
STMIK Time,Teknik Informatika,S1,01,10556/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-30
STKIP PGRI Blitar,Pendidikan Pancasila Dan Kewarganegaraan,S1,07,4412/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Sekolah Tinggi Ilmu Manajemen YKPN,Manajemen Perusahaan,D-III,05,3754/SK/BAN-PT/Ak-PPJ/Dipl-III/X/2019,2019,B,-
STKIP Muhammadiyah Sorong,Pendidikan Biologi,S1,14,4365/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Universitas Muhammadiyah Palembang,Budidaya Perairan,S1,02,4564/SK/BAN-PT/Ak-PPJ/S/XI/2019,2019,B,-
Universitas Kristen Papua Sorong,Teologi,S1,14,1015/SK/BAN-PT/Ak-PPJ/S/II/2021,2021,B,2026-02-19
Universitas Tamansiswa,Teknik Sipil,S1,02,1027/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
Universitas Papua,Ekowisata,D-III,PTN,1047/SK/BAN-PT/Akred/Dipl-III/II/2021,2021,Baik,2026-02-23
Universitas Ibrahimy Sukorejo Situbondo,Manajemen Dan Bisnis Syariah,S1,07,1049/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STKIP PGRI Sukabumi,Pendidikan Ekonomi,S1,04,1054/SK/BAN-PT/Akred/S/II/2021,2021,Baik,2026-02-23
STAI Bakti Negara Tegal,Pendidikan Agama Islam,S1,PTAS,4769/SK/BAN-PT/Ak-PPJ/S/XII/2019,2019,B,-
STMIK Musi Rawas,Teknik Informatika,S1,02,5670/SK/BAN-PT/Ak-PKP/S/XII/2019,2019,C,-
STKIP Muhammadiyah Bulukumba,Pendidikan Biologi,S1,09,6/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
Universitas Khairun,Teknologi Pertanian,S1,PTN,82/SK/BAN-PT/Ak-PPJ/S/I/2020,2020,B,-
STKIP PGRI Jombang,Pendidikan Bahasa Indonesia,S1,07,3293/SK/BAN-PT/Ak-PNB/S/V/2022,2022,B,2026-08-27
Universitas Pamulang,Akuntansi,D-III,04,10537/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
Politeknik Negeri Padang,Administrasi Bisnis,D-III,PTN,10541/SK/BAN-PT/Ak-PPJ/Dipl-III/VIII/2021,2021,B,2026-08-27
Universitas Bengkulu,Pendidikan Matematika,S1,PTN,10560/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
IKIP Gunung Sitoli,Pendidikan Ekonomi,S1,01,10557/SK/BAN-PT/Ak-PPJ/S/VIII/2021,2021,B,2026-08-27
