prodi_name,jenjang,akreditasi_prodi,institution_code
PENDIDIKAN EKONOMI,S1,B,banpt-IKIP VETERAN JAWA TENGAH
EKONOMI PEMBANGUNAN,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH PALOPO
EKONOMI PEMBANGUNAN,S1,Baik,banpt-3215
PENDIDIKAN EKONOMI,S1,Baik Sekali,banpt-STKIP MUHAMMADIYAH BONE
AKUNTANSI,S1,B,banpt-80
TEKNIK INFORMATIKA,S1,Baik,banpt-3951
TEKNIK MESIN,S1,Baik,banpt-UNIVERSITAS GALUH CIAMIS
EKONOMI SYARIAH,S1,Baik,banpt-3139
ILMU ADMINISTRASI NIAGA,S1,B,banpt-2510
TEKNIK LINGKUNGAN,S1,B,banpt-2667
TEKNIK INFORMATIKA,S1,B,banpt-3710
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-STKIP PGRI BLITAR
PENDIDIKAN BIOLOGI,S1,B,banpt-STKIP MUHAMMADIYAH SORONG
BUDIDAYA PERAIRAN,S1,B,banpt-236
TEOLOGI,S1,B,banpt-UNIVERSITAS KRISTEN PAPUA SORONG
TEKNIK SIPIL,S1,Baik,banpt-3915
MANAJEMEN DAN BISNIS SYARIAH,S1,Baik,banpt-UNIVERSITAS IBRAHIMY SUKOREJO SITUBONDO
PENDIDIKAN EKONOMI,S1,Baik,banpt-STKIP PGRI SUKABUMI
TEKNIK INFORMATIKA,S1,C,banpt-STMIK MUSI RAWAS
PENDIDIKAN BIOLOGI,S1,B,banpt-STKIP MUHAMMADIYAH BULUKUMBA
PENDIDIKAN BAHASA INDONESIA,S1,B,banpt-STKIP PGRI JOMBANG
PENDIDIKAN EKONOMI,S1,B,banpt-IKIP GUNUNG SITOLI
PERENCANAAN WILAYAH DAN KOTA,S1,B,banpt-3128
SISTEM INFORMASI,S1,B,banpt-1774
HUKUM EKONOMI SYARI`AH,S1,Unggul,banpt-3341
INFORMATIKA,S1,B,banpt-3866
TEKNIK INDUSTRI,S1,C,banpt-SEKOLAH TINGGI TEKNOLOGI MITRA KARYA
TEKNIK ELEKTRO,S1,C,banpt-SEKOLAH TINGGI TEKNOLOGI MITRA KARYA
DESAIN KOMUNIKASI VISUAL,S1,Baik,banpt-500
EKONOMI SYARIAH,S1,Baik,banpt-INSTITUT MANAJEMEN KOPERASI INDONESIA
STATISTIKA,S1,B,banpt-3224
AKUNTANSI,S1,B,banpt-2817
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-4013
MANAJEMEN,S1,B,banpt-2034
AGRIBISNIS,S1,B,banpt-2870
PENDIDIKAN BIOLOGI,S1,B,banpt-STKIP PGRI SUMATERA BARAT
PENDIDIKAN EKONOMI,S1,B,banpt-STKIP PGRI SUMATERA BARAT
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-STKIP PGRI SUMATERA BARAT
EKONOMI PEMBANGUNAN,S1,Baik,banpt-UNIVERSITAS TEKNOLOGI SULAWESI UTARA
PENDIDIKAN BAHASA INDONESIA,S1,Baik,banpt-3643
EKONOMI SYARIAH,S1,Baik,banpt-369
PARIWISATA,S1,Baik,banpt-441
AKUNTANSI,S1,Baik,banpt-743
ILMU HUKUM,S1,Baik,banpt-810
PENDIDIKAN OLAHRAGA,S1,Baik,banpt-1903
BUDIDAYA PERAIRAN,S1,Baik,banpt-1931
BAHASA INGGRIS,S1,Baik,banpt-1918
PENDIDIKAN SEJARAH,S1,Baik,banpt-1194
AKUNTANSI,S1,Baik,banpt-3970
PENDIDIKAN BIOLOGI,S1,Baik,banpt-2941
ADMINISTRASI PUBLIK,S1,Baik Sekali,banpt-2344
PENDIDIKAN KHUSUS,S1,Baik,banpt-3963
SENI RUPA MURNI,S1,Baik Sekali,banpt-2754
MANAJEMEN,S1,B,banpt-1223
AGROTEKNOLOGI,S1,B,banpt-3630
ILMU KOMUNIKASI,S1,B,banpt-2661
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-STKIP SETIABUDHI
AKUNTANSI,S1,Baik,banpt-2068
AGRIBISNIS,S1,Baik,banpt-3891
SISTEM INFORMASI,S1,B,banpt-3284
AKUNTANSI,S1,B,banpt-3270
PENDIDIKAN FISIKA,S1,B,banpt-1344
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,banpt-STKIP PGRI TULUNGAGUNG
ILMU KOMUNIKASI,S1,B,banpt-3563
PENDIDIKAN MATEMATIKA,S1,B,banpt-2059
PENDIDIKAN JASMANI,S1,B,banpt-2686
ILMU FILSAFAT,S1,B,banpt-3658
ARSITEKTUR,S1,B,banpt-256
KOMUNIKASI DAN PENYIARAN ISLAM,S1,B,banpt-2114
PENDIDIKAN BAHASA INDONESIA,S1,Baik,banpt-2941
PARIWISATA,S1,B,banpt-UNIVERSITAS GARUT
TEKNIK INFORMATIKA,S1,Baik,banpt-STMIK IBBI
AKUNTANSI,S1,B,banpt-1635
ILMU ADMINISTRASI NEGARA,S1,B,banpt-UNIVERSITAS MADAKO TOLI-TOLI
HUKUM EKONOMI SYARI'AH,S1,B,banpt-1002
PENDIDIKAN EKONOMI,S1,B,banpt-STKIP PEMBANGUNAN INDONESIA
EKONOMI PEMBANGUNAN,S1,B,banpt-3289
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-STKIP PGRI LAMONGAN
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-3961
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-1934
PENDIDIKAN,S1,B,banpt-STKIP MUHAMMADIYAH MUARA BUNGO
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-2004
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-STKIP NIAS SELATAN
PSIKOLOGI,S1,B,banpt-141
PENDIDIKAN SEJARAH,S1,B,banpt-1740
PENDIDIKAN GURU MADRASAH IBTIDAIYAH,S1,B,banpt-1725
TEKNIK SIPIL,S1,B,banpt-UNIVERSITAS WIDYA DHARMA
PENDIDIKAN SENI KARAWITAN KEAGAMAAN HINDU,S1,A,banpt-3122
TEKNIK INFORMATIKA,S1,B,banpt-1780
ILMU ADMINISTRASI NEGARA,S1,B,banpt-2191
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,banpt-80
PENDIDIKAN ISLAM ANAK USIA DINI,S1,B,banpt-2349
SISTEM KOMPUTER,S1,B,banpt-2398
PENDIDIKAN TEKNOLOGI INFORMASI,S1,B,banpt-1970
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-STKIP SUAR BANGLI
EKONOMI PEMBANGUNAN,S1,B,banpt-814
BIOLOGI,S1,B,banpt-525
TEKNIK SIPIL,S1,Baik,banpt-UNIVERSITAS AZZAHRA
TEKNIK SIPIL,S1,Baik,banpt-2034
TEKNIK INDUSTRI,S1,Baik,banpt-3830
PSIKOLOGI,S1,Baik Sekali,banpt-3827
AKUNTANSI,S1,B,banpt-1872
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-STKIP NIAS SELATAN
ILMU PEMERINTAHAN,S1,B,banpt-UNIVERSITAS MADAKO TOLI-TOLI
MANAJEMEN,S1,B,banpt-UNIVERSITAS MADAKO TOLI-TOLI
SISTEM INFORMASI,S1,B,banpt-2060
TEOLOGI,S1,B,banpt-3822
MANAJEMEN,S1,B,banpt-3289
MANAJEMEN,S1,B,banpt-2289
ILMU HUKUM,S1,A,banpt-51
SISTEM INFORMASI,S1,B,banpt-3710
HUKUM,S1,B,banpt-2344
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-2205
MANAJEMEN,S1,B,banpt-3602
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-STKIP NIAS SELATAN
PENDIDIKAN  BAHASA INGGRIS,S1,Baik,banpt-2498
ARSITEKTUR,S1,Baik,banpt-678
ILMU HUKUM,S1,Baik,banpt-466
BUDIDAYA PERAIRAN,S1,B,banpt-319
ILMU HUKUM,S1,B,banpt-474
SASTRA INGGRIS,S1,B,banpt-1044
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-STKIP PGRI JOMBANG
MANAJEMEN,S1,B,banpt-2416
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-2142
PENDIDIKAN PANCASILA DAN KEWARGANEGARAAN,S1,B,banpt-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI PONTIANAK
TEKNIK INDUSTRI,S1,B,banpt-UNIVERSITAS GALUH CIAMIS
EKONOMI PEMBANGUNAN,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB
AKUNTANSI,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI MUHAMMADIYAH TANJUNG REDEB
PENDIDIKAN BAHASA DAN SASTRA DAERAH,S1,B,banpt-SEKOLAH TINGGI KEGURUAN DAN ILMU PENDIDIKAN MUHAMMADIYAH KUNINGAN
MANAJEMEN,S1,A,banpt-1146
SISTEM INFORMASI,S1,B,banpt-SEKOLAH TINGGI MANAJEMEN INFORMATIKA DAN KOMPUTER WIDYA PRATAMA
MANAJEMEN SUMBER DAYA PERAIRAN,S1,B,banpt-3280
ILMU ADMINISTRASI NEGARA,S1,B,banpt-2034
DESAIN PRODUK,S1,B,banpt-2144
TEKNIK PERTANIAN,S1,B,banpt-2971
PENDIDIKAN MATEMATIKA,S1,B,banpt-1903
KOMUNIKASI PENYIARAN ISLAM,S1,B,banpt-1903
SASTRA INDONESIA,S1,B,banpt-366
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-1989
AGROTEKNOLOGI,S1,B,banpt-3416
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-INSTITUT KEGURUAN DAN ILMU PENDIDIKAN PGRI BOJONEGORO
PENDIDIKAN MATEMATIKA,S1,B,banpt-135
AGRIBISNIS,S1,B,banpt-2604
AKUNTANSI,S1,B,banpt-3336
PENDIDIKAN BIOLOGI,S1,B,banpt-2059
KIMIA,S1,B,banpt-525
AKUNTANSI,S1,B,banpt-3901
SENI MUSIK,S1,B,banpt-3723
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-3961
PENDIDIKAN GURU SEKOLAH DASAR,S1,B,banpt-463
AGROTEKNOLOGI,S1,B,banpt-2358
PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,S1,B,banpt-2004
PENDIDIKAN OLAH RAGA,S1,B,banpt-3296
DESAIN PRODUK,S1,A,banpt-3161
ILMU HUKUM,S1,B,banpt-137
MANAJEMEN,S1,B,banpt-1823
STATISTIKA,S1,Baik,banpt-2498
PENDIDIKAN KIMIA,S1,Baik,banpt-3820
AGRIBISNIS,S1,Baik,banpt-3075
PENDIDIKAN KIMIA,S1,Baik,banpt-2941
TEKNIK INDUSTRI,S1,Baik Sekali,banpt-1019
BIOLOGI,S1,Baik,banpt-2848
AKUNTANSI,S1,B,banpt-43
MANAJEMEN,S1,B,banpt-2927
MANAJEMEN,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI PERTIWI
AKUNTANSI,S1,B,banpt-SEKOLAH TINGGI ILMU EKONOMI YPPI
TEKNIK INFORMATIKA,S1,B,banpt-2691
MANAJEMEN,S1,B,banpt-2547
MANAJEMEN,S1,B,banpt-2308
ILMU ADMINISTRASI NEGARA,S1,Baik,banpt-3809
TEKNIK INDUSTRI,S1,Tidak Terakreditasi,banpt-3963
PENDIDIKAN MATEMATIKA,S1,B,banpt-STKIP NIAS SELATAN
ILMU KOMUNIKASI,S1,B,banpt-887
EKONOMI PEMBANGUNAN,S1,B,banpt-UNIVERSITAS MADAKO TOLI-TOLI
HUKUM EKONOMI SYARIAH,S1,B,banpt-2114
ILMU KOMUNIKASI,S1,B,banpt-815
SASTRA INGGRIS,S1,B,banpt-2541
AGRIBISNIS,S1,Baik,banpt-1194
PENDIDIKAN MATEMATIKA,S1,Baik,banpt-4036
ADMINISTRASI PUBLIK,S1,B,banpt-2963
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-1990
MANAJEMEN,S1,B,banpt-2349
PENDIDIKAN BAHASA INGGRIS,S1,B,banpt-STKIP MUHAMMADIYAH BONE
TADRIS BAHASA INGGRIS,S1,B,banpt-1930
PENDIDIKAN BAHASA DAN SASTRA INDONESIA,S1,B,banpt-2901
ILMU ADMINISTRASI NEGARA,S1,B,banpt-3099
PENDIDIKAN AGAMA ISLAM,S1,B,banpt-2226
MANAJEMEN,S1,B,banpt-1022
ANTROPOLOGI SOSIAL,S1,B,banpt-2547
PEMANFAATAN SUMBER DAYA PERIKANAN,S1,B,banpt-2547
