institution_code,institution_name,email,akreditasi_institusi,link
1,Akademi Akupunktur Surabaya,"akademi.akupunktur@gmail.com, aasi@sby.dnet.net.id",Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74003
2,Akademi Analis Farmasi Dan Makanan Sunan Giri,,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74100
3,Akademi Analis Kesehatan Delima Husada Gresik,aakdelimahusadagresik@yahoo.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74121
4,Akademi Analis Kesehatan Malang,aakmal_cip@yahoo.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74108
5,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,"akafarma.mitrasehat@yahoo.co.id,akfarmitrasehatms@yahoo.com",Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74117
6,Akademi Farmasi Surabaya,akfar.sby@gmail.com,Baik Sekali,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74129
7,Akademi Farmasi Yannas Husada Bangkalan,akfaryannashusadamadura@gmail.com,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74131
8,Akademi Gizi Karya Husada Kediri,gizikhkediri@gmail.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74128
9,Akademi Kebidanan Aifa Husada,"akbid@aifahusada.com, aifa_husada@yahoo.com",Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74095
10,Akademi Kebidanan Ar-Rahma,mail@akbidarrahma.ac.id,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74096
11,Akademi Kebidanan Berlian Nusantara,,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74110
12,Akademi Kebidanan Dharma Praja Bondowoso,dpraja@akbiddharmapraja.ac.id,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74115
13,Akademi Kebidanan Global Medika,,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74114
14,Akademi Kebidanan Mandiri Gresik,akbidmandiri_gresik@yahoo.co.id,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74092
15,Akademi Kebidanan Mitra Sehat Sidoarjo,akbidmitrasehatsidoarjo@yahoo.co.id,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74089
16,Akademi Kebidanan Sakinah,akbid_sakinah@yahoo.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74104
17,Akademi Kebidanan Wahana Sehat Sidoarjo,akbid_wahanasehat_sda@yahoo.co.id,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74113
18,Akademi Kebidanan Wiyata Mitra Husada Nganjuk,akbidwimisada17@gmail.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74103
19,Akademi Kelautan Banyuwangi,akaba.banyuwangi@yahoo.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74053
20,Akademi Keperawatan Bahrul Ulum Jombang,,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74038
21,Akademi Keperawatan Dian Husada,,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74040
22,Akademi Keperawatan Kosgoro Mojokerto,akperkosgoro@yahoo.co.id / Info@akperkosgoro.ac.id,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74125
23,Akademi Keperawatan Pemerintah Kabupaten Ngawi,"admin@akperngawi.ac.id, AKPER_ngawi@yahoo.com",Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74080
24,Akademi Kesehatan Arga Husada,argahusada_pare@yahoo.com,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74107
25,Akademi Kesehatan Dharma Husada Kediri,"akbid_dharma_kdr@yahoo.com, akperdh@gmail.com",Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74138
26,Akademi Kesehatan Sumenep,akademikesehatansumenep@gmail.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74133
27,Akademi Komunitas Darussalam Blokagung,akbpblokagung@gmail.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76006
28,Akademi Komunitas Kebun Anom,,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76005
29,Akademi Komunitas Kopi Al-Hasan,,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76008
30,Akademi Komunitas Nurul Jadid,yayasan.mahad.nuruljadid.jbr@gmail.com,Baik,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76007
31,Akademi Komunitas Penabulu Samudra Wiyata,,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76010
32,Akademi Komunitas Semen Indonesia,aksi.semenindonesia@gmail.com,Belum Terakreditasi/Kedaluarsa,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76001
