institution_code,institution_name,body_type,link,fee,student_amount,lecturer_amount,contact,description,unknown_field
quipper-1,PPM School of Management,Sekolah Tinggi Swasta,https://campus.quipper.com/directory/ppm-school-of-management,Rp6.000.000 kisaran per-semester,938,82,"{""website"": ""www.ppmschool.ac.id"", ""email"": ""smb-ppm@ppm-manajemen.ac.id"", ""phone"": ""0878-7618-5364""}","PPM School of Management merupakan pelopor dan salah satu institusi lembaga pendidikan yang unggul di bidang studi Manajemen di Indonesia. Bentuk keunggulan kampus ini antara lain menjalin kemitraan dengan berbagai organisasi baik organisasi pemerintah, BUMN, swasta atau pun organisasi nirlaba dalam berbagi pengalaman di bidang pembelajaran teori dan praktik manajemen. Dengan kerja sama ini tentu kamu akan mendapatkan banyak pengalaman, terutama di bidang praktisi pada saat kuliah nanti, Quipperian! Selain itu, untuk memperkaya pengetahuan mahasiswanya, PPM School of Management merancang kurikulum yang terintegrasi dengan soft skill development hingga sertifikasi yang memudahkan lulusannya berkarier di berbagai negara di dunia. Kampus ini juga memiliki berbagai kegiatan pertukaran mahasiswa ke berbagai universitas yang tersebar di Australia, Prancis, Korea, India, Taiwan, Vietnam, dan negara ASEAN lainnya. Keren banget, kan?",{}
quipper-2,Universitas Prasetiya Mulya,Universitas Swasta,https://campus.quipper.com/directory/universitas-prasetiya-mulya,Rp 22.000.000 – Rp 25.000.000 kisaran per-semester,4704,185,"{""website"": ""www.prasetiyamulya.ac.id"", ""email"": ""info@prasetiyamulya.ac.id"", ""phone"": ""(021) 304-50-500 / 0815-1166-2005""}","Universitas Prasetiya Mulya, atau yang lebih dikenal dengan nama Prasmul, didirikan pada tahun 1982 berkat inisiasi lebih dari 70 pengusaha Indonesia terkemuka kala itu, di antaranya Soedono Salim (Salim Group), William Soeryadjaya (Astra International), Susanta Lyman (Lyman Group), dan Eka Tjipta Widjaja (Sinarmas Group) yang berkolaborasi dengan para akademisi seperti Harry Tjan Silalahi dan Jusuf Wanandi. Awalnya, Prasetiya Mulya lahir sebagai pionir program MBA di Indonesia dan berkembang dengan menghadirkan program S1 tahun 2005.",{}
quipper-3,Politeknik Internasional Bali,Politeknik Swasta,https://campus.quipper.com/directory/politeknik-internasional-bali,Culinary Arts: Rp35.000.000 per semester | Hotel Management: Rp16.500.000 per semester | Event Management: Rp15.500.000 per semester | Digital Business: Rp10.656.250 per semester,,,"{""website"": ""www.pib.ac.id"", ""email"": ""admission@pib.ac.id"", ""phone"": ""085157377153""}","Politeknik Internasional Bali (PIB), The Leading Vocational Campus for Tourism, Digital, and Creative Industries, secara resmi didirikan melalui Surat Keputusan Kementerian Riset, Teknologi, dan Pendidikan Tinggi Republik Indonesia No.187/KPT/I/2017.",{}
quipper-4,Universitas Kristen Krida Wacana (Ukrida),Universitas Swasta,https://campus.quipper.com/directory/universitas-kristen-krida-wacana,Rp 12.000.000 kisaran per-semester (non-kedokteran),3000,300,"{""website"": ""www.ukrida.ac.id"", ""email"": ""admisi@ukrida.ac.id"", ""phone"": ""021-5669999, 021-5666952, ext 1171/1172, 081280961970""}","Universitas Kristen Krida Wacana (UKRIDA) merupakan perguruan tinggi swasta yang berdiri sejak tahun 1967 di bawah naungan GKI Sinode Jakarta Barat. UKRIDA memiliki tiga kampus dan dua rumah sakit pendidikan, dengan 5 fakultas dan 13 program studi, serta didukung program soft skills untuk menyiapkan mahasiswanya siap terjun di dunia karier.",{}
quipper-5,Universitas Esa Unggul (UEU),Universitas Swasta,https://campus.quipper.com/directory/universitas-esa-unggul,Rp11.000.000 - Rp14.000.000 kisaran per-semester,15749,592,"{""website"": ""www.esaunggul.ac.id"", ""email"": ""humas@esaunggul.ac.id"", ""phone"": ""021-5674223""}","Universitas Esa Unggul didirikan tahun 1993 di bawah naungan Yayasan Pendidikan Kemala Mencerdaskan Bangsa. Universitas Esa Unggul adalah Perguruan Tinggi Swasta terkemuka dan menjadi salah satu universitas swasta terbaik di Indonesia yang memiliki visi, Menjadi perguruan tinggi kelas dunia berbasis intelektualitas, kreatifitas dan kewirausahaan yang unggul dalam mutu pengelolaan (proses) dan hasil (output) kegiatan Tridharma Perguruan Tinggi. Adapun misinya adalah: menyelenggarakan pendidikan yang bermutu dan relevan, menciptakan suasana akademik yang kondusif, dan menciptakan pemimpin yang berkarakter dan berdaya saing tinggi.",{}
quipper-6,Universitas Atma Jaya Yogyakarta (UAJY),Universitas Swasta,https://campus.quipper.com/directory/universitas-atma-jaya-yogyakarta,Rp9.000.000 kisaran per-semester,,,"{""website"": ""www.uajy.ac.id"", ""email"": ""kkp.promosi@uajy.ac.id"", ""phone"": ""0274 487711""}","Pendirian Universitas Atma Jaya Yogyakarta digagas dan diawali oleh Pengurus Ikatan Sarjana Katolik (ISKAT) cabang Yogyakarta. Pada tanggal 13 Mei 1965, terbentuklah Yayasan Universitas Katolik Indonesia Atma Jaya Cabang Yogyakarta, yang sekarang menjadi Yayasan Slamet Rijadi Yogyakarta.",{}
quipper-7,Universitas Medika Suherman,Universitas Swasta,https://campus.quipper.com/directory/universitas-medika-suherman,-,1092,93,"{""website"": ""www.medikasuherman.ac.id"", ""email"": ""info@medikasuherman.ac.id"", ""phone"": ""02189111110""}","Universitas Medika Suherman pada mulanya bernama Sekolah Tinggi Ilmu Kesehatan (STIKes) Medika Cikarang yang didirikan pada tahun 2005. Lalu pada tahun 2018, STIKes Medika Cikarang berubah bentuk menjadi Institut Medika Drg. Suherman. Barulah kemudian pada tahun 2021 resmi menyandang nama Universitas Medika Suherman (UMS) sampai sekarang. Saat ini, UMS memiliki 14 program studi yang terbagi menjadi 3 fakultas. Selain itu, kampus ini juga telah meraih akreditasi B dari Badan Akreditasi Perguruan Tinggi (BAN-PT).",{}
quipper-8,Universitas Islam Negeri Mataram,Universitas Negeri,https://campus.quipper.com/directory/universitas-islam-negeri-mataram,Rp400.000 - Rp4.300.000 per semester (tidak termasuk Pascasarjana),16841,404,"{""website"": ""www.uinmataram.ac.id"", ""email"": ""info@uinmataram.ac.id"", ""phone"": ""0370-621298""}","Berdirinya Universitas Islam Negeri (UIN) Mataram merupakan perwujudan dari gagasan umat Islam Nusa Tenggara Barat yang merupakan penduduk mayoritas untuk mencetak kader pemimpin dan intelektual muslim. Sebelum berbentuk universitas, kampus ini dikenal dengan nama Insitut Agama Islam Negeri (IAIN) Mataram hingga akhirnya resmi beralih status menjadi UIN Mataram pada tanggal 8 April 2017. Kampus ini menawarkan lebih dari 30 pilihan program studi yang terbagi ke dalam enam fakultas, yaitu Fakultas Tarbiyah dan Keguruan, Fakultas Syariah, Fakultas Dakwah dan Ilmu Komunikasi, Fakultas Ushuluddin dan Studi Agama, Fakultas Ekonomi dan Bisnis Islam, serta Pascasarjana.",{}
quipper-9,Universitas Musamus (UNMUS),Universitas Negeri,https://campus.quipper.com/directory/universitas-musamus-unmus,,12147,342,"{""website"": ""www.unmus.ac.id"", ""email"": ""info@unmus.ac.id"", ""phone"": ""+0971325923""}","Universitas Musamus (UNMUS) didirikan pada tahun 2001 dengan nama Sekolah Tinggi Teknologi Merauke (STTM). Kemudian pada tahun 2006 terjadi perubahan status dari STTM menjadi Universitas Musamus Merauke (UNIMMER). Pada saat itu, status UNIMMER adalah Universitas Swasta.",{}
quipper-10,Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan (STIEBP) Jakarta,Lainnya,https://campus.quipper.com/directory/sekolah-tinggi-ilmu-ekonomi-bhakti-pembangunan-jakarta,Rp1.485.000 - Rp3.960.000 per semester,1150,44,"{""website"": ""www.stiebp.ac.id"", ""email"": null, ""phone"": ""0217362445""}","Sekolah Tinggi Ilmu Ekonomi Bhakti Pembangunan (STIEBP) telah berdiri sejak tahun 1988 dan meraih akreditasi B dari Badan Akreditasi Nasional Perguruan Tinggi (BAN-PT). Saat ini, STIEBP menyediakan 5 program studi yang seluruhnya juga telah terakreditasi B oleh BAN-PT. Adapun 5 program studi tersebut terbagi menjadi 3 jenjang pendidikan yaitu 2 program sarjana (S1), 1 program magister (S2), dan 2 program diploma (D3).",{}
