faculty,prodi,institution_code
Ekonomi,Manajemen,quipper-1
Ekonomi,Akuntansi,quipper-1
Ekonomi,Bisnis,quipper-1
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Business Mathematics,quipper-2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Computer Systems Engineering,quipper-2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Digital Business Technology,quipper-2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Food Business Technology,quipper-2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Product Design Engineering,quipper-2
"School of Applied STEM (Science, Technology, Engineering, and Mathematics)",Renewable Energy Engineering,quipper-2
School of Business and Economics,Accounting,quipper-2
School of Business and Economics,Branding,quipper-2
School of Business and Economics,Business,quipper-2
School of Business and Economics,Business Economics,quipper-2
School of Business and Economics,Event,quipper-2
School of Business and Economics,Finance and Banking,quipper-2
School of Business and Economics,Financial Technology,quipper-2
School of Business and Economics,International Business Law,quipper-2
School of Business and Economics,Hospitality Business,quipper-2
Event Management,Event Management,quipper-3
Culinary Arts,Seni Kuliner,quipper-3
Hotel Management,Manajemen Perhotelan,quipper-3
Fakultas Kedokteran dan Ilmu Kesehatan,Pendidikan Dokter,quipper-4
Fakultas Kedokteran dan Ilmu Kesehatan,Ilmu Keperawatan,quipper-4
Fakultas Kedokteran dan Ilmu Kesehatan,Lainnya,quipper-4
Fakultas Ekonomi dan Bisnis,Akuntansi,quipper-4
Fakultas Ekonomi dan Bisnis,Manajemen,quipper-4
Fakultas Psikologi,Psikologi,quipper-4
Fakultas Ilmu Sosial dan Humaniora,Sastra Inggris,quipper-4
Fakultas Teknik dan Ilmu Komputer,Teknik Elektro,quipper-4
Fakultas Teknik dan Ilmu Komputer,Teknik Industri,quipper-4
Fakultas Teknik dan Ilmu Komputer,Teknik Sipil,quipper-4
Fakultas Teknik dan Ilmu Komputer,Teknik Informatika,quipper-4
Fakultas Teknik dan Ilmu Komputer,Sistem Informasi,quipper-4
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Guru SD,quipper-5
Fakultas Keguruan dan Ilmu Pendidikan,Pendidikan Bahasa Inggris,quipper-5
Fakultas Ilmu Komunikasi,Marketing Communication,quipper-5
Fakultas Ilmu Komunikasi,Jurnalistik,quipper-5
Fakultas Ilmu Komunikasi,Humas,quipper-5
Fakultas Ilmu Komunikasi,Broadcasting,quipper-5
Fakultas Ilmu Komputer,Sistem Informasi,quipper-5
Fakultas Ilmu Komputer,Teknik Informatika,quipper-5
Fakultas Teknik,Teknik Industri,quipper-5
Fakultas Teknik,Perencanaan Wilayah dan Kota,quipper-5
Fakultas Teknik,Survei dan Pemetaan,quipper-5
Fakultas Fisioterapi,Fisioterapi,quipper-5
Fakultas Desain dan Industri Kreatif,Desain Komunikasi Visual,quipper-5
Fakultas Desain dan Industri Kreatif,Desain Produk,quipper-5
Fakultas Desain dan Industri Kreatif,Desain Interior,quipper-5
Fakultas Desain dan Industri Kreatif,,quipper-5
Fakultas Ekonomi dan Bisnis,Akuntansi Sektor Bisnis,quipper-5
Fakultas Ekonomi dan Bisnis,Manajemen Bisnis,quipper-5
Fakultas Psikologi,Psikologi,quipper-5
Fakultas Hukum,Ilmu Hukum,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Kesehatan Masyarakat,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Ilmu Gizi,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Rekam Medik & Informasi Kesehatan,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Keperawatan,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Manajemen Informasi Kesehatan,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Bioteknologi,quipper-5
Fakultas Ilmu-Ilmu Kesehatan,Farmasi,quipper-5
Pascasarjana,Ilmu Komputer,quipper-5
Pascasarjana,Manajemen,quipper-5
Pascasarjana,Akuntansi,quipper-5
Pascasarjana,Ilmu Administrasi,quipper-5
Pascasarjana,Ilmu Hukum,quipper-5
Pascasarjana,Ilmu Komunikasi,quipper-5
Fakultas Teknologi Industri,Sistem Informasi,quipper-6
Fakultas Teknologi Industri,Teknik Industri,quipper-6
Fakultas Teknologi Industri,Informatika,quipper-6
Fakultas Teknik,Teknik Sipil,quipper-6
Fakultas Teknik,Arsitektur,quipper-6
Fakultas Hukum,Hukum,quipper-6
Fakultas Teknobiologi,Biologi,quipper-6
