prodi_code,institution_code,faculty,prodi,akreditasi_prodi
prodi-1,rencanamu-97,UNKNOWN,AGROTEKNOLOGI,B
prodi-2,rencanamu-97,UNKNOWN,PETERNAKAN,B
prodi-3,rencanamu-97,UNKNOWN,AGRIBISNIS,B
prodi-4,rencanamu-97,UNKNOWN,BUDIDAYA PERAIRAN,B
prodi-5,rencanamu-97,UNKNOWN,KEHUTANAN,C
prodi-6,rencanamu-97,UNKNOWN,TEKNOLOGI INDUSTRI PERTANIAN,C
prodi-7,rencanamu-97,UNKNOWN,PENDIDIKAN MATEMATIKA,B
prodi-8,rencanamu-97,UNKNOWN,PENDIDIKAN BAHASA INGGRIS,B
prodi-9,rencanamu-97,UNKNOWN,PENDIDIKAN BIOLOGI,B
prodi-10,rencanamu-97,UNKNOWN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B
prodi-11,rencanamu-97,UNKNOWN,PENDIDIKAN FISIKA,B
prodi-12,rencanamu-97,UNKNOWN,PENDIDIKAN EKONOMI,B
prodi-13,rencanamu-97,UNKNOWN,PENDIDIKAN GURU SD,A
prodi-14,rencanamu-97,UNKNOWN,PENDIDIKAN GEOGRAFI,B
prodi-15,rencanamu-97,UNKNOWN,PENDIDIKAN GURU PAUD,C
prodi-16,rencanamu-97,UNKNOWN,ILMU ADMINISTRASI NEGARA,B
prodi-17,rencanamu-97,UNKNOWN,ILMU ADMINISTRASI NIAGA,B
prodi-18,rencanamu-97,UNKNOWN,ILMU HUBUNGAN INTERNASIONAL,B
prodi-19,rencanamu-97,UNKNOWN,EKONOMI PEMBANGUNAN,B
prodi-20,rencanamu-97,UNKNOWN,PENDIDIKAN TEKNIK INFORMATIKA,C
prodi-21,rencanamu-97,UNKNOWN,TEKNIK SIPIL,B
prodi-22,rencanamu-97,UNKNOWN,KEBIDANAN,C
prodi-23,rencanamu-97,UNKNOWN,ARSITEKTUR,C
prodi-24,rencanamu-97,UNKNOWN,MANAJEMEN INFORMATIKA,B
prodi-25,rencanamu-264,UNKNOWN,PENDIDIKAN AGAMA ISLAM,B
prodi-26,rencanamu-264,UNKNOWN,PENDIDIKAN BAHASA INGGRIS,B
prodi-27,rencanamu-264,UNKNOWN,PENDIDIKAN EKONOMI,B
prodi-28,rencanamu-264,UNKNOWN,"PENDIDIKAN JASMANI, KESEHATAN DAN REKREASI",B
prodi-29,rencanamu-264,UNKNOWN,PENDIDIKAN KIMIA,B
prodi-30,rencanamu-264,UNKNOWN,PENDIDIKAN BIOLOGI,C
prodi-31,rencanamu-264,UNKNOWN,AKUNTANSI,C
prodi-32,rencanamu-264,UNKNOWN,MANAJEMEN,C
prodi-33,rencanamu-264,UNKNOWN,KESEHATAN MASYARAKAT,B
prodi-34,rencanamu-218,UNKNOWN,MANAJEMEN SYARIAH,A
prodi-35,rencanamu-218,UNKNOWN,PENDIDIKAN AGAMA ISLAM,A
prodi-36,rencanamu-218,UNKNOWN,PENDIDIKAN ANAK USIA DINI,B
prodi-37,rencanamu-218,UNKNOWN,PERBANKAN SYARIAH,B
prodi-38,rencanamu-218,UNKNOWN,BIMBINGAN DAN KONSELING,B
prodi-39,rencanamu-218,UNKNOWN,PENDIDIKAN BAHASA INGGRIS,B
prodi-40,rencanamu-218,UNKNOWN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B
prodi-41,rencanamu-218,UNKNOWN,PENDIDIKAN MATEMATIKA,B
prodi-42,rencanamu-218,UNKNOWN,PENDIDIKAN KEWARGANEGARAAN,B
prodi-43,rencanamu-218,UNKNOWN,PENDIDIKAN AKUNTANSI,A
prodi-44,rencanamu-218,UNKNOWN,ADMINISTRASI NEGARA,B
prodi-45,rencanamu-218,UNKNOWN,ILMU KOMUNIKASI,A
prodi-46,rencanamu-218,UNKNOWN,ILMU KESEJAHTERAAN SOSIAL,A
prodi-47,rencanamu-218,UNKNOWN,AGRIBISNIS,B
prodi-48,rencanamu-218,UNKNOWN,AGROTEKNOLOGI,B
prodi-49,rencanamu-218,UNKNOWN,ILMU DAN TEKNOLOGI PANGAN,B
prodi-50,rencanamu-218,UNKNOWN,TEKNOLOGI HASIL PERTANIAN,B
prodi-51,rencanamu-218,UNKNOWN,AKUNTANSI,A
prodi-52,rencanamu-218,UNKNOWN,EKONOMI PEMBANGUNAN,B
prodi-53,rencanamu-218,UNKNOWN,MANAJEMEN,A
prodi-54,rencanamu-218,UNKNOWN,ILMU HUKUM,A
prodi-55,rencanamu-218,UNKNOWN,TEKNIK ELEKTRO,B
prodi-56,rencanamu-218,UNKNOWN,TEKNIK MESIN,B
prodi-57,rencanamu-218,UNKNOWN,TEKNIK SIPIL,B
prodi-58,rencanamu-218,UNKNOWN,PENDIDIKAN DOKTER,B
prodi-59,rencanamu-194,UNKNOWN,PSIKOLOGI,B
prodi-60,rencanamu-194,UNKNOWN,AKUNTANSI,B
prodi-61,rencanamu-194,UNKNOWN,MANAJEMEN,A
prodi-62,rencanamu-194,UNKNOWN,ILMU HUKUM,B
prodi-63,rencanamu-194,UNKNOWN,ARSITEKTUR,B
prodi-64,rencanamu-194,UNKNOWN,TEKNIK ELEKTRO,B
prodi-65,rencanamu-194,UNKNOWN,TEKNIK INDUSTRI,B
prodi-66,rencanamu-194,UNKNOWN,TEKNIK MESIN,B
prodi-67,rencanamu-194,UNKNOWN,TEKNIK SIPIL,B
prodi-68,rencanamu-194,UNKNOWN,TEKNIK INFORMATIKA,C
prodi-69,rencanamu-194,UNKNOWN,ILMU ADMINISTRASI NEGARA,A
prodi-70,rencanamu-194,UNKNOWN,ILMU KOMUNIKASI,B
prodi-71,rencanamu-194,UNKNOWN,ILMU PEMERINTAHAN,B
prodi-72,rencanamu-194,UNKNOWN,BIOLOGI,B
prodi-73,rencanamu-194,UNKNOWN,AGRIBISNIS,A
prodi-74,rencanamu-194,UNKNOWN,AGROTEKNOLOGI,-
prodi-75,rencanamu-158,UNKNOWN,AL-AHWAL AL-SYAKHSIYAH,B
prodi-76,rencanamu-158,UNKNOWN,AKUNTANSI,B
prodi-77,rencanamu-158,UNKNOWN,EKONOMI PEMBANGUNAN,B
prodi-78,rencanamu-158,UNKNOWN,MANAJEMEN,B
prodi-79,rencanamu-158,UNKNOWN,SASTRA INGGRIS,B
prodi-80,rencanamu-158,UNKNOWN,PENDIDIKAN AGAMA ISLAM,B
prodi-81,rencanamu-158,UNKNOWN,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,B
prodi-82,rencanamu-158,UNKNOWN,PENDIDIKAN BIOLOGI,B
prodi-83,rencanamu-158,UNKNOWN,PENDIDIKAN MATEMATIKA,B
prodi-84,rencanamu-158,UNKNOWN,ADMINISTRASI NEGARA,C
