institution_code,institution_name,email,akreditasi_institusi,link
1,Akademi Akupunktur Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74003
2,Akademi Analis Farmasi Dan Makanan Sunan Giri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74100
3,Akademi Analis Kesehatan Delima Husada Gresik,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74121
4,Akademi Analis Kesehatan Malang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74108
5,Akademi Farmasi Mitra Sehat Mandiri Sidoarjo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74117
6,Akademi Farmasi Surabaya,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74129
7,Akademi Farmasi Yannas Husada Bangkalan,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74131
8,Akademi Gizi Karya Husada Kediri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74128
9,Akademi Kebidanan Aifa Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74095
10,Akademi Kebidanan Ar-Rahma,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74096
11,Akademi Kebidanan Berlian Nusantara,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74110
12,Akademi Kebidanan Dharma Praja Bondowoso,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74115
13,Akademi Kebidanan Global Medika,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74114
14,Akademi Kebidanan Mandiri Gresik,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74092
15,Akademi Kebidanan Mitra Sehat Sidoarjo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74089
16,Akademi Kebidanan Sakinah,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74104
17,Akademi Kebidanan Wahana Sehat Sidoarjo,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74113
18,Akademi Kebidanan Wiyata Mitra Husada Nganjuk,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74103
19,Akademi Kelautan Banyuwangi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74053
20,Akademi Keperawatan Bahrul Ulum Jombang,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74038
21,Akademi Keperawatan Dian Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74040
22,Akademi Keperawatan Kosgoro Mojokerto,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74125
23,Akademi Keperawatan Pemerintah Kabupaten Ngawi,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74080
24,Akademi Kesehatan Arga Husada,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74107
25,Akademi Kesehatan Dharma Husada Kediri,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74138
26,Akademi Kesehatan Sumenep,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/74133
27,Akademi Komunitas Darussalam Blokagung,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76006
28,Akademi Komunitas Kebun Anom,,,https://lldikti7.kemdikbud.go.id/detail-perguruan-tinggi/76005
