prodi_code,prodi_name,jenjang,akreditasi_prodi,institution_code
1,Akupunktur,D3,Baik,1
2,Analis Farmasi Dan Makanan,D3,Baik,2
3,Farmasi,D3,Baik,2
4,Analis Kesehatan,D3,BAIK SEKALI,3
5,Teknologi Laboratorium Medis,D3,-,4
6,Farmasi,D3,Baik Sekali,5
7,Farmasi,D3,BAIK SEKALI,6
8,Farmasi,D3,Baik,7
9,Gizi,D3,Baik Sekali,8
10,Kebidanan,D3,BAIK SEKALI,9
11,Kebidanan,D3,Baik,10
12,Kebidanan,D3,-,11
13,Kebidanan,D3,B,12
14,Kebidanan,D3,-,13
15,Kebidanan,D3,Baik Sekali,14
16,Kebidanan,D3,Baik,15
17,Kebidanan,D3,Baik Sekali,16
18,Kebidanan,D3,-,17
19,Kebidanan,D3,B,18
20,Ketatalaksanaan Pelayaran Niaga Dan Kepel,D3,B,19
21,Manajemen Logistik,D3,Baik,19
22,Nautika,D3,-,19
23,Keperawatan,D3,Baik,20
24,Keperawatan,D3,B,21
25,Keperawatan,D3,Baik,22
26,Keperawatan,D3,B,23
27,Farmasi,D3,C,24
28,Fisioterapi,D3,-,24
29,Kebidanan,D3,Baik,25
30,Keperawatan,D3,BAIK SEKALI,25
31,Farmasi,D3,Baik,26
32,Administrasi Jaringan Komputer,D2,Baik,27
33,Produksi Tekstil,D2,Baik,27
34,Kesehatan Kulit dan Rambut,D1,Baik,27
35,Budi Daya Tanaman Kopi,D2,-,28
36,Pemasaran Komoditas Kopi,D2,-,28
37,Budi Daya Tanaman Kopi,D2,-,29
38,Komputer Akutansi,D2,Baik,30
39,Perikanan Tangkap,D1,-,31
40,Otomasi Perkantoran,D2,Baik,32
41,Teknik Operasional Mesin dan Peralatan Industri,D2,Baik,32
42,Teknik Perawatan Mesin dan Peralatan Industri,D2,Baik,32
43,Administrasi Perkantoran,D2,Tidak Terakreditasi,33
44,Seni Kuliner,D3,Baik,34
45,Seni Kuliner,D3,Baik,35
46,Manajemen Informatika,D3,Baik,36
47,Sistem Informasi,D3,Baik,37
48,Sistem Informasi Akuntansi,D3,Baik,37
49,Teknologi Informasi,D3,Baik,37
50,Manajemen Keuangan,D3,Baik,38
51,Keuangan Dan Perbankan,D3,-,39
52,Manajemen Perpajakan,D3,-,39
53,Perhotelan,D3,-,40
54,Usaha Perjalanan Wisata,D3,-,40
55,Perhotelan,D3,Baik,41
56,Usaha Perjalanan Wisata,D3,Baik,41
57,Perhotelan,D3,B,42
58,Usaha Perjalanan Wisata,D3,Baik,42
59,Refraksi Optisi,D3,C,43
