primary_key,institution_name,rank
1,Universitas Airlangga,5
2,Universitas Brawijaya,7
3,Institut Teknologi Sepuluh Nopember,14
4,Universitas Negeri Malang,21
5,Universitas Islam Negeri Sunan Ampel Surabaya,24
6,Universitas Islam Negeri Maulana Malik Ibrahim Malang,32
7,Universitas Jember,33
8,Universitas Muhammadiyah Malang,35
9,Universitas Negeri Surabaya,40
10,Universitas Kristen Petra,45
11,Universitas Muhammadiyah Surabaya,75
12,Universitas Islam Malang,83
13,Universitas Surabaya,91
14,Universitas Pembangunan Nasional Veteran Jawa Timur,97
15,Universitas Muhammadiyah Ponorogo,100
16,Universitas Muhammadiyah Sidoarjo,110
17,Universitas Katolik Widya Mandala Surabaya,113
18,Universitas Trunojoyo Madura,114
19,Universitas Ciputra,126
20,Universitas Nahdlatul Ulama Surabaya,128
21,Universitas Muhammadiyah Jember,129
22,Universitas Merdeka Malang,137
23,Universitas 17 Agustus 1945 Surabaya,139
24,Universitas Narotama,140
25,Universitas PGRI Madiun,142
26,Universitas Dr. Soetomo,143
27,Universitas Islam Darul Ulum Lamongan,144
28,Universitas Wijaya Kusuma Surabaya,161
29,Institut Teknologi Nasional Malang,174
30,Universitas Nusantara PGRI Kediric,188
31,Universitas Islam Lamongan,195
32,Universitas Dinamika,204
33,Universitas Muhammadiyah Gresik,214
34,Universitas Pesantren Tinggi Darul 'Ulum,218
35,Universitas PGRI Adi Buana,219
36,Universitas Bhayangkara Surabaya,221
37,Universitas Tribhuwana Tungga Dewi,223
38,Universitas Kanjuruhan Malang,226
39,Universitas Hang Tuah,229
40,Universitas Kadiri,241
41,Universitas Islam Kadiri,251
42,Universitas Maarif Hasyim Latif,254
43,Universitas Merdeka Pasuruan,271
44,Universitas Nahdlatul Ulama Sidoarjo,273
45,Universitas Islam Raden Rahmat,278
46,Universitas Wisnuwardhana,280
47,Universitas Nahdlatul Ulama Sunan Giri,286
48,Universitas Islam Madura Pamekasan,289
49,Universitas Darussalam Gontor,295
50,Universitas Abdurachman Saleh,298
51,Universitas Yudharta Pasuruan,300
52,Universitas Ma Chung,301
53,Universitas Islam Majapahit,306
54,Universitas Nurul Jadid,312
55,Universitas Katolik Widya Mandala Madiun,321
56,Universitas KH. A. Wahab Hasbullah,326
57,Universitas Nahdlatul Ulama Blitar,346
58,Universitas Islam Jember,349
59,Universitas Gresik,350
60,Universitas WR Supratman,358
61,Universitas Internasional Semen Indonesia,359
62,Universitas PGRI Banyuwangi,364
63,Universitas Darul 'ulum,371
64,Universitas Widya Gama,381
65,Universitas Kahuripan Kediri,384
66,Universitas Wijaya Putra,388
67,Universitas Hasyim Asy'ari,392
68,Universitas Bakti Indonesia,397
69,Universitas Islam Balitar,399
70,Universitas Katolik Darma Cendika,400
71,Universitas 17 Agustus 1945 Banyuwangi,401
72,Universitas Wiraraja,404
73,Universitas Tulungagung,405
74,Universitas Katolik Widya Karya,413
75,Universitas Widya Kartika,424
76,Universitas PGRI Ronggolawe,428
77,Universitas Madura,432
78,Universitas Panca Marga,437
79,Universitas Soerjo,440
80,Universitas Doktor Nugroho Magetan,453
81,Universitas Billfath,466
82,Universitas Merdeka Madiun,467
83,Universitas Merdeka Surabaya,475
84,Universitas Gajayana Malang,481
85,Universitas Bojonegoro,486
86,Universitas Sunan Giri Surabaya,504
87,Universitas Wahidiyah,511
88,Universitas Teknologi Surabaya,512
89,Universitas Sunan Bonang,521
90,Universitas Bondowoso,525
91,Universitas 45 Surabaya,527
92,Universitas Mayjen Sungkono,529
93,Universitas Yos Soedarso,535
94,Universitas PGRI Wiranegara,564
95,Universitas Pawyatan Daha,579
96,Universitas Mochammad Sroedji Jember,585
97,Universitas Lumajang,598
98,Universitas Merdeka Ponorogo,Un
99,+ Add University,Legend:UnUnranked
